team,week,year,pass_completion_percentage_allowed,defensive_sack_rate,interception_rate,defensive_passer_rating,opponents_passing_play_success_rate,pass_completion_percentage_allowed_relative_rank,defensive_sack_rate_relative_rank,interception_rate_relative_rank,defensive_passer_rating_relative_rank,opponents_passing_play_success_rate_relative_rank,pass_completion_percentage_allowed_competitive_rank,defensive_sack_rate_competitive_rank,interception_rate_competitive_rank,defensive_passer_rating_competitive_rank,opponents_passing_play_success_rate_competitive_rank,relative_score,competitive_score,defense_total_score,defense_total_rank
Air Force,1,2022,0.6451612903225806,0.0,0.0,382.52688172043014,0.7419354838709677,6.0,11.0,11.0,6.0,9.0,81.0,140.0,140.0,48.0,83.0,71.25688988106984,70.19186158482134,51.20743193282857,875.0
Akron,1,2022,0.7,0.0625,0.0,379.02777777777777,0.7666666666666667,7.0,3.0,9.0,5.0,6.0,114.0,54.0,140.0,50.0,77.0,74.00154186842133,71.41583183216068,55.3646261292015,523.0
Alabama,1,2022,0.36363636363636365,0.0,0.0,192.61363636363637,0.5,1.0,12.0,12.0,12.0,12.0,5.0,140.0,140.0,137.0,138.0,68.0,68.56480004808165,45.79947096627396,1383.0
Appalachian State,1,2022,0.6666666666666666,0.1,0.0,411.1111111111111,0.8611111111111112,10.0,3.0,12.0,3.0,5.0,97.0,24.0,140.0,23.0,54.0,74.21627316705832,74.03290229515616,62.54536392245197,163.0
Arizona,1,2022,0.4666666666666667,0.0625,0.0,272.7777777777777,1.1333333333333333,2.0,4.0,12.0,11.0,4.0,13.0,54.0,140.0,126.0,15.0,75.87346087191958,73.67480106519959,62.0723381708371,184.0
Arkansas,1,2022,0.6190476190476191,0.06666666666666667,0.0,359.1269841269841,0.7142857142857143,8.0,8.0,12.0,6.0,11.0,68.0,48.0,140.0,70.0,98.0,70.29095724864226,71.87720229576924,55.49808451584576,515.0
Arkansas State,1,2022,0.1875,0.2,0.0,105.72916666666667,0.5625,1.0,1.0,12.0,12.0,11.0,1.0,2.0,140.0,140.0,132.0,76.08699808795411,75.11544597534446,66.05399164510769,93.0
Army,1,2022,0.7058823529411765,0.0,0.0,454.4117647058824,1.8235294117647058,10.0,12.0,12.0,1.0,4.0,119.0,140.0,140.0,8.0,2.0,71.7147711623415,75.79035993907128,66.56818799365374,85.0
Auburn,1,2022,0.5714285714285714,0.027777777777777776,0.0,328.0952380952381,0.7142857142857143,5.0,10.0,12.0,8.0,9.0,41.0,97.0,140.0,101.0,98.0,71.07129457484817,70.65214954167081,52.40289288950379,757.0
Ball State,1,2022,0.7714285714285715,0.027777777777777776,0.0,454.64285714285717,1.2285714285714286,10.0,8.0,11.0,2.0,2.0,133.0,97.0,140.0,7.0,6.0,76.93336160323068,73.16188054233743,60.997907501652236,229.0
Baylor,1,2022,0.41379310344827586,0.06451612903225806,0.0,239.6551724137931,0.7586206896551724,2.0,4.0,12.0,11.0,9.0,8.0,51.0,140.0,133.0,78.0,71.00250936592201,72.01169065134485,56.078730238375584,471.0
Boise State,1,2022,0.6818181818181818,0.0,0.0,426.51515151515144,1.0454545454545454,10.0,11.0,11.0,2.0,3.0,107.0,140.0,140.0,15.0,23.0,71.84312041645828,72.02314809681687,56.36384297594492,453.0
Boston College,1,2022,0.6190476190476191,0.08695652173913043,0.0,331.3492063492063,1.0,8.0,2.0,11.0,6.0,4.0,68.0,34.0,140.0,98.0,30.0,74.63191068922646,73.17324450313325,60.333507546364984,248.0
Bowling Green,1,2022,0.7608695652173914,0.041666666666666664,0.0,433.6050724637682,0.9130434782608695,10.0,7.0,11.0,2.0,4.0,132.0,71.0,140.0,12.0,42.0,71.99078040134926,71.85250701642913,55.94447665159407,477.0
Buffalo,1,2022,0.7352941176470589,0.02857142857142857,0.0,404.0441176470588,0.7352941176470589,9.0,6.0,10.0,3.0,7.0,128.0,95.0,140.0,25.0,88.0,70.32731317881392,70.36136627763119,51.38748100825691,854.0
BYU,1,2022,0.5862068965517241,0.03333333333333333,0.0,317.81609195402297,0.6206896551724138,3.0,5.0,11.0,9.0,10.0,52.0,81.0,140.0,106.0,125.0,69.56469570444203,70.00273554050128,50.18196034454698,982.0
California,1,2022,0.6666666666666666,0.04,0.0,361.45833333333326,0.7083333333333334,7.0,4.0,12.0,9.0,9.0,97.0,74.0,140.0,68.0,100.0,71.69327451258411,70.52521702294284,52.245669315603976,770.0
Central Michigan,1,2022,0.675,0.024390243902439025,0.0,413.6458333333333,0.75,10.0,10.0,11.0,2.0,9.0,99.0,102.0,140.0,19.0,81.0,71.50713928736744,71.24124780137552,54.13633677715396,617.0
