id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415209101849903,Air Force,Mountain West,Northern Iowa,MVFC,Air Force,Northern Iowa,0,0,401415209,4014152091,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Matthew Dapore kickoff for 65 yds for a touchback,,2022-09-03T17:09:31.000Z,1,Air Force,2022
401415209101849905,Northern Iowa,MVFC,Air Force,Mountain West,Air Force,Northern Iowa,0,0,401415209,4014152091,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,13,Pass Reception,Theo Day pass complete to Deion McShane for 13 yds to the NIowa 38 for a 1ST down,1.1247514790418309,2022-09-03T17:09:31.000Z,1,Air Force,2022
401415209101849907,Northern Iowa,MVFC,Air Force,Mountain West,Air Force,Northern Iowa,0,0,401415209,4014152091,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,62,62,1,10,False,20,Pass Reception,Theo Day pass complete to Quan Hampton for 20 yds to the AFA 42 for a 1ST down,1.6580681691073666,2022-09-03T17:09:31.000Z,1,Air Force,2022
401415209101849909,Northern Iowa,MVFC,Air Force,Mountain West,Air Force,Northern Iowa,0,0,401415209,4014152091,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,42,42,1,10,False,5,Penalty,"AIR FORCE Penalty, False Start (TEAM) to the AFA 47",,2022-09-03T17:09:31.000Z,1,Air Force,2022
401415209101849912,Northern Iowa,MVFC,Air Force,Mountain West,Air Force,Northern Iowa,0,0,401415209,4014152091,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,47,47,1,15,False,4,Rush,Dom Williams run for 4 yds to the AFA 43,-0.1529747063673473,2022-09-03T17:09:31.000Z,1,Air Force,2022
401415209101849914,Northern Iowa,MVFC,Air Force,Mountain West,Air Force,Northern Iowa,0,0,401415209,4014152091,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,43,43,2,11,False,0,Pass Incompletion,Theo Day pass incomplete,-1.052222351415418,2022-09-03T17:09:31.000Z,1,Air Force,2022
401415209101849917,Northern Iowa,MVFC,Air Force,Mountain West,Air Force,Northern Iowa,0,0,401415209,4014152091,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,43,43,3,11,False,2,Rush,Theo Day run for 2 yds to the AFA 41,-0.5453034055618611,2022-09-03T17:09:31.000Z,1,Air Force,2022
401415209101878101,Northern Iowa,MVFC,Air Force,Mountain West,Air Force,Northern Iowa,0,0,401415209,4014152091,1,8,1,"{'minutes': 12, 'seconds': 18}",3,3,41,41,4,9,False,0,Punt,"Cael Loecher punt for 34 yds, downed at the AFA 7",,2022-09-03T17:13:35.000Z,1,Air Force,2022
401415209101878103,Air Force,Mountain West,Northern Iowa,MVFC,Air Force,Northern Iowa,0,0,401415209,4014152092,2,1,1,"{'minutes': 12, 'seconds': 18}",3,3,7,93,1,10,False,2,Rush,Brad Roberts run for 2 yds to the AFA 9,-0.19818242222171723,2022-09-03T17:13:35.000Z,1,Air Force,2022
401415209101878104,Air Force,Mountain West,Northern Iowa,MVFC,Air Force,Northern Iowa,0,0,401415209,4014152092,2,2,1,"{'minutes': 12, 'seconds': 18}",3,3,9,91,2,8,False,13,Rush,Haaziq Daniels run for 13 yds to the AFA 22 for a 1ST down,0.79970483178264563,2022-09-03T17:13:35.000Z,1,Air Force,2022
