id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403957101849902,Alabama,SEC,Auburn,SEC,Alabama,Auburn,0,0,401403957,4014039571,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,14,Kickoff Return (Offense),"Will Reichard kickoff for 58 yds , Jarquez Hunter return for 14 yds to the Aub 21",,2022-11-26T20:39:24.000Z,13,Alabama,2022
401403957101854501,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039571,1,2,1,"{'minutes': 14, 'seconds': 54}",3,3,79,79,1,10,False,-5,Penalty,"AUBURN Penalty, False Start (Kilian Zierer) to the Aub 16",,2022-11-26T20:40:45.000Z,13,Alabama,2022
401403957101856501,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039571,1,3,1,"{'minutes': 14, 'seconds': 34}",3,3,84,84,1,15,False,0,Rush,Robby Ashford run for no gain to the Aub 16,-0.256875365382990496,2022-11-26T20:41:19.000Z,13,Alabama,2022
401403957101858601,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039571,1,4,1,"{'minutes': 14, 'seconds': 13}",3,3,84,84,2,15,False,8,Rush,Tank Bigsby run for 8 yds to the Aub 24,0.170037191263196165,2022-11-26T20:41:37.000Z,13,Alabama,2022
401403957101866601,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039571,1,5,1,"{'minutes': 13, 'seconds': 33}",3,3,76,76,3,7,False,0,Pass Incompletion,Robby Ashford pass incomplete,-0.210148091863023185,2022-11-26T20:42:20.000Z,13,Alabama,2022
401403957101867401,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039571,1,6,1,"{'minutes': 13, 'seconds': 25}",3,3,76,76,4,7,False,0,Punt,"Oscar Chapman punt for 42 yds, fair catch by Jahmyr Gibbs at the Alab 34",,2022-11-26T20:43:24.000Z,13,Alabama,2022
401403957101874401,Alabama,SEC,Auburn,SEC,Alabama,Auburn,0,0,401403957,4014039572,2,1,1,"{'minutes': 12, 'seconds': 55}",3,3,34,66,1,10,False,13,Rush,Jahmyr Gibbs run for 13 yds to the Alab 47 for a 1ST down,1.2414699561563065,2022-11-26T20:44:08.000Z,13,Alabama,2022
401403957101874701,Alabama,SEC,Auburn,SEC,Alabama,Auburn,0,0,401403957,4014039572,2,2,1,"{'minutes': 12, 'seconds': 52}",3,3,47,53,1,10,False,0,Pass Incompletion,Bryce Young pass incomplete,-1.1527089917962545,2022-11-26T20:44:37.000Z,13,Alabama,2022
401403957101875501,Alabama,SEC,Auburn,SEC,Alabama,Auburn,0,0,401403957,4014039572,2,3,1,"{'minutes': 12, 'seconds': 44}",3,3,47,53,2,10,False,7,Rush,Jahmyr Gibbs run for 7 yds to the Aub 46,0.5762190096355492,2022-11-26T20:44:50.000Z,13,Alabama,2022
401403957101879401,Alabama,SEC,Auburn,SEC,Alabama,Auburn,0,0,401403957,4014039572,2,4,1,"{'minutes': 12, 'seconds': 5}",3,3,54,46,3,3,False,0,Rush,Bryce Young run for no gain to the Aub 46,-1.1119298595815223,2022-11-26T20:45:33.000Z,13,Alabama,2022
401403957101885801,Alabama,SEC,Auburn,SEC,Alabama,Auburn,0,0,401403957,4014039572,2,5,1,"{'minutes': 11, 'seconds': 41}",3,3,54,46,4,3,False,0,Punt,James Burnip punt for 46 yds for a touchback,,2022-11-26T20:46:09.000Z,13,Alabama,2022
401403957101888801,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039573,3,1,1,"{'minutes': 11, 'seconds': 11}",3,3,80,80,1,10,False,0,Pass Reception,Robby Ashford pass complete to Jarquez Hunter for no gain to the Aub 20,-0.55866937967252815,2022-11-26T20:49:30.000Z,13,Alabama,2022
401403957101889901,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039573,3,2,1,"{'minutes': 11, 'seconds': 0}",3,3,80,80,2,10,False,25,Rush,Robby Ashford run for 25 yds to the Aub 45 for a 1ST down,2.66811393796126595,2022-11-26T20:49:51.000Z,13,Alabama,2022
401403957101896901,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039573,3,3,1,"{'minutes': 10, 'seconds': 30}",3,3,55,55,1,10,False,6,Rush,Tank Bigsby run for 6 yds to the Alab 49,0.381188623321730,2022-11-26T20:50:31.000Z,13,Alabama,2022
401403957101904401,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039573,3,4,1,"{'minutes': 9, 'seconds': 55}",2,3,49,49,2,4,False,0,Timeout,"Timeout AUBURN, clock 09:55",,2022-11-26T20:51:13.000Z,13,Alabama,2022
401403957101905001,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039573,3,5,1,"{'minutes': 9, 'seconds': 49}",2,3,49,49,2,4,False,8,Rush,Tank Bigsby run for 8 yds to the Alab 41 for a 1ST down,0.6549049880981156,2022-11-26T20:54:16.000Z,13,Alabama,2022
401403957101908101,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039573,3,6,1,"{'minutes': 9, 'seconds': 18}",2,3,41,41,1,10,False,15,Penalty,"Ashford, Robby pass incomplete to Brown, Camden, PENALTY ALABAMA pass interference (Ricks, Eli) 15 yards to the ALABAMA26, NO PLAY, 1ST DOWN AUBURN.",,2022-11-26T20:55:29.000Z,13,Alabama,2022
401403957101908901,Auburn,SEC,Alabama,SEC,Alabama,Auburn,0,0,401403957,4014039573,3,7,1,"{'minutes': 9, 'seconds': 10}",2,3,26,26,1,10,False,2,Pass Reception,Robby Ashford pass complete to Tank Bigsby for 2 yds to the Alab 24,-0.2528871890516275,2022-11-26T20:55:51.000Z,13,Alabama,2022
401403957101916801,Auburn,SEC,Alabama,SEC,Alabama,Auburn,7,0,401403957,4014039573,3,8,1,"{'minutes': 8, 'seconds': 31}",2,3,24,24,2,8,True,24,Rushing Touchdown,"Robby Ashford run for 24 yds for a TD, (Alex McPherson KICK)",2.972889311459808,2022-11-26T20:57:48.000Z,13,Alabama,2022
401403957101916803,Auburn,SEC,Alabama,SEC,Alabama,Auburn,7,0,401403957,4014039574,4,1,1,"{'minutes': 8, 'seconds': 31}",2,3,65,65,2,8,False,19,Kickoff Return (Offense),"Alex McPherson kickoff for 46 yds , Ja'Corey Brooks return for 19 yds to the Alab 38",,2022-11-26T20:57:48.000Z,13,Alabama,2022
401403957101917901,Alabama,SEC,Auburn,SEC,Alabama,Auburn,0,7,401403957,4014039574,4,2,1,"{'minutes': 8, 'seconds': 20}",3,2,38,62,1,10,False,0,Pass Incompletion,Bryce Young pass incomplete to Cameron Latu,-1.0879950771673279,2022-11-26T21:02:10.000Z,13,Alabama,2022
401403957101918801,Alabama,SEC,Auburn,SEC,Alabama,Auburn,0,7,401403957,4014039574,4,3,1,"{'minutes': 8, 'seconds': 11}",3,2,38,62,2,10,False,52,Pass Reception,Bryce Young pass complete to Jermaine Burton for 52 yds to the Aub 10 for a 1ST down,3.5271718755973765,2022-11-26T21:02:57.000Z,13,Alabama,2022
401403957101925501,Alabama,SEC,Auburn,SEC,Alabama,Auburn,0,7,401403957,4014039574,4,4,1,"{'minutes': 7, 'seconds': 44}",3,2,90,10,1,10,False,1,Rush,Jase McClellan run for 1 yd to the Aub 9,-0.226209360963340,2022-11-26T21:03:25.000Z,13,Alabama,2022
401403957101929301,Alabama,SEC,Auburn,SEC,Alabama,Auburn,0,7,401403957,4014039574,4,5,1,"{'minutes': 7, 'seconds': 6}",3,2,91,9,2,9,False,4,Rush,Jase McClellan run for 4 yds to the Aub 5,-0.021563425955808,2022-11-26T21:04:25.000Z,13,Alabama,2022
401403957101937401,Alabama,SEC,Auburn,SEC,Alabama,Auburn,7,7,401403957,4014039574,4,6,1,"{'minutes': 6, 'seconds': 25}",3,2,95,5,3,5,True,5,Rushing Touchdown,"Bryce Young run for 5 yds for a TD, (Will Reichard KICK)",2.76159962916859,2022-11-26T21:05:24.000Z,13,Alabama,2022
401403957101937403,Alabama,SEC,Auburn,SEC,Alabama,Auburn,7,7,401403957,4014039575,5,1,1,"{'minutes': 6, 'seconds': 25}",3,2,35,65,3,5,False,0,Kickoff,Will Reichard kickoff for 65 yds for a touchback,,2022-11-26T21:08:10.000Z,13,Alabama,2022
401403957101938201,Auburn,SEC,Alabama,SEC,Alabama,Auburn,7,7,401403957,4014039575,5,2,1,"{'minutes': 6, 'seconds': 17}",2,3,75,75,1,10,False,-4,Rush,Tank Bigsby run for a loss of 4 yards to the Aub 21,-1.01636075209856185,2022-11-26T21:09:05.000Z,13,Alabama,2022
401403957101946301,Auburn,SEC,Alabama,SEC,Alabama,Auburn,7,7,401403957,4014039575,5,3,1,"{'minutes': 5, 'seconds': 36}",2,3,79,79,2,14,False,-1,Pass Reception,Robby Ashford pass complete to Tank Bigsby for a loss of 1 yard to the Aub 20,-0.19975172239814931,2022-11-26T21:09:46.000Z,13,Alabama,2022
401403957101948601,Auburn,SEC,Alabama,SEC,Alabama,Auburn,7,7,401403957,4014039575,5,4,1,"{'minutes': 5, 'seconds': 13}",2,3,80,80,3,15,False,5,Rush,Tank Bigsby run for 5 yds to the Aub 25,0.00732448688245666,2022-11-26T21:10:10.000Z,13,Alabama,2022
401403957101954901,Auburn,SEC,Alabama,SEC,Alabama,Auburn,7,7,401403957,4014039575,5,5,1,"{'minutes': 4, 'seconds': 50}",2,3,75,75,4,10,False,-5,Penalty,"AUBURN Penalty, False Start (Derick Hall) to the Aub 20",,2022-11-26T21:11:03.000Z,13,Alabama,2022
401403957101957001,Auburn,SEC,Alabama,SEC,Alabama,Auburn,7,7,401403957,4014039575,5,6,1,"{'minutes': 4, 'seconds': 29}",2,3,80,80,4,15,False,0,Punt,"Oscar Chapman punt for 45 yds, fair catch by Kool-Aid McKinstry at the Alab 35",,2022-11-26T21:11:55.000Z,13,Alabama,2022
401403957101957901,Alabama,SEC,Auburn,SEC,Alabama,Auburn,7,7,401403957,4014039576,6,1,1,"{'minutes': 4, 'seconds': 20}",3,2,35,65,1,10,False,6,Rush,Jahmyr Gibbs run for 6 yds to the Alab 41,0.3983464844048346,2022-11-26T21:12:22.000Z,13,Alabama,2022
401403957101959901,Alabama,SEC,Auburn,SEC,Alabama,Auburn,7,7,401403957,4014039576,6,2,1,"{'minutes': 4, 'seconds': 0}",3,2,41,59,2,4,False,0,Pass Incompletion,Bryce Young pass incomplete to Kendrick Law,-1.1629301570993986,2022-11-26T21:12:45.000Z,13,Alabama,2022
401403957101964401,Alabama,SEC,Auburn,SEC,Alabama,Auburn,7,7,401403957,4014039576,6,3,1,"{'minutes': 3, 'seconds': 55}",3,2,41,59,3,4,False,13,Pass Reception,Bryce Young pass complete to Kendrick Law for 13 yds to the Aub 46 for a 1ST down,2.4640132752514345,2022-11-26T21:13:57.000Z,13,Alabama,2022
401403957101966101,Alabama,SEC,Auburn,SEC,Alabama,Auburn,7,7,401403957,4014039576,6,4,1,"{'minutes': 3, 'seconds': 38}",3,2,54,46,1,10,False,7,Pass Reception,Bryce Young pass complete to Jahmyr Gibbs for 7 yds to the Aub 39,0.5297482918793790,2022-11-26T21:15:59.000Z,13,Alabama,2022
