id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426345101849903,Appalachian State,Sun Belt,Texas State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Michael Hughes kickoff for 64 yds,,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101849905,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,4,Pass Reception,Layne Hatcher pass complete to Charles Brown for 4 yds to the TexSt 29,-0.1142886249388964,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101849906,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,29,71,2,6,False,5,Pass Reception,Layne Hatcher pass complete to Ashtyn Hawkins for 5 yds to the TexSt 34,0.0912547629899487,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101849907,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,34,66,3,1,False,6,Pass Reception,Layne Hatcher pass complete to Charles Brown for 6 yds to the TexSt 40 for a 1ST down,1.3438883775265938,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101849908,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,40,60,1,10,False,7,Pass Reception,Layne Hatcher pass complete to Julian Ortega-Jones for 7 yds to the TexSt 47,0.7032387839448688,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101849909,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,47,53,2,3,False,5,Pass Reception,Layne Hatcher pass complete to Marcell Barbee for 5 yds to the AppSt 48 for a 1ST down,0.3674279839188496,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101849910,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,52,48,1,10,False,6,Rush,Lincoln Pare run for 6 yds to the AppSt 42,0.3287785418261394,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101849911,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,52,48,2,10,False,0,Pass Incompletion,Layne Hatcher pass incomplete to Lincoln Pare,-1.0509966519448302,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101849912,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,9,1,"{'minutes': 15, 'seconds': 0}",3,3,52,48,3,10,False,17,Pass Reception,Layne Hatcher pass complete to Javen Banks for 17 yds to the AppSt 31 for a 1ST down,2.9695842328994038,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101849913,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,10,1,"{'minutes': 15, 'seconds': 0}",3,3,69,31,1,10,False,12,Pass Reception,Layne Hatcher pass complete to Marcell Barbee for 12 yds to the AppSt 19 for a 1ST down,0.237498541435425,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101849914,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,11,1,"{'minutes': 15, 'seconds': 0}",3,3,81,19,1,10,False,15,Penalty,"No Huddle-Shotgun Hatcher,Layne pass incomplete short right to Barbee,Marcell PENALTY APP Pass Interference (Tucker,Milan) 15 yards from APP19 to APP04, 1ST DOWN. NO PLAY.",,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101898101,Texas State,Sun Belt,Appalachian State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263451,1,12,1,"{'minutes': 10, 'seconds': 18}",3,3,96,4,1,4,False,0,Interception,"Layne Hatcher pass intercepted, touchback.",-5.311809481286025,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101898103,Appalachian State,Sun Belt,Texas State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263452,2,1,1,"{'minutes': 10, 'seconds': 18}",3,3,80,80,1,10,False,0,Pass Incompletion,Chase Brice pass incomplete to Miller Gibbs,-0.55866937967252815,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101898104,Appalachian State,Sun Belt,Texas State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263452,2,2,1,"{'minutes': 10, 'seconds': 18}",3,3,80,80,2,10,False,6,Rush,Nate Noel run for 6 yds to the AppSt 26,0.13583141189955050,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101898105,Appalachian State,Sun Belt,Texas State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263452,2,3,1,"{'minutes': 10, 'seconds': 18}",3,3,74,74,3,4,False,7,Pass Reception,Chase Brice pass complete to Nate Noel for 7 yds to the AppSt 33 for a 1ST down,1.37983909423693165,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
401426345101898106,Appalachian State,Sun Belt,Texas State,Sun Belt,Texas State,Appalachian State,0,0,401426345,4014263452,2,4,1,"{'minutes': 10, 'seconds': 18}",3,3,67,67,1,10,False,2,Rush,Daetrich Harrington run for 2 yds to the AppSt 31,-0.6004584738687671,2022-10-08T23:06:40.000Z,6,Appalachian State,2022
