id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404028101849903,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,0,0,401404028,4014040281,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Eddie Czaplicki kickoff for 65 yds for a touchback,,2022-11-06T02:46:11.000Z,10,Arizona State,2022
401404028101854701,UCLA,Pac-12,Arizona State,Pac-12,Arizona State,UCLA,0,0,401404028,4014040281,1,2,1,"{'minutes': 14, 'seconds': 52}",3,3,75,75,1,10,False,0,Interception,Dorian Thompson-Robinson pass intercepted,-0.9222448802786785,2022-11-06T02:47:30.000Z,10,Arizona State,2022
401404028101854703,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,0,0,401404028,4014040282,2,1,1,"{'minutes': 14, 'seconds': 52}",3,3,60,40,1,10,False,9,Rush,Xazavian Valladay run for 9 yds to the UCLA 31,0.839961749584607,2022-11-06T02:47:30.000Z,10,Arizona State,2022
401404028101854704,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,0,0,401404028,4014040282,2,2,1,"{'minutes': 14, 'seconds': 52}",3,3,69,31,2,1,False,3,Pass Reception,Trenton Bourguet pass complete to Xazavian Valladay for 3 yds to the UCLA 28 for a 1ST down,-0.414927079785697,2022-11-06T02:47:30.000Z,10,Arizona State,2022
401404028101854705,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,0,0,401404028,4014040282,2,3,1,"{'minutes': 14, 'seconds': 52}",3,3,72,28,1,10,False,2,Rush,Xazavian Valladay run for 2 yds to the UCLA 26,-0.2736731894519623,2022-11-06T02:47:30.000Z,10,Arizona State,2022
401404028101854706,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,0,0,401404028,4014040282,2,4,1,"{'minutes': 14, 'seconds': 52}",3,3,74,26,2,8,False,12,Pass Reception,Trenton Bourguet pass complete to Jalin Conyers for 12 yds to the UCLA 14 for a 1ST down,0.4894044884113118,2022-11-06T02:47:30.000Z,10,Arizona State,2022
401404028101854707,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,0,0,401404028,4014040282,2,5,1,"{'minutes': 14, 'seconds': 52}",3,3,86,14,1,10,False,7,Rush,Xazavian Valladay run for 7 yds to the UCLA 7,0.3040362457915165,2022-11-06T02:47:30.000Z,10,Arizona State,2022
401404028101854708,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,0,0,401404028,4014040282,2,6,1,"{'minutes': 14, 'seconds': 52}",3,3,93,7,2,3,False,0,Pass Incompletion,Trenton Bourguet pass incomplete to Bryan Thompson,-0.426935182537628,2022-11-06T02:47:30.000Z,10,Arizona State,2022
401404028101854709,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,0,0,401404028,4014040282,2,7,1,"{'minutes': 14, 'seconds': 52}",3,3,93,7,3,3,False,0,Pass Incompletion,Trenton Bourguet pass incomplete to Elijhah Badger,-0.3357556437540317,2022-11-06T02:47:30.000Z,10,Arizona State,2022
401404028101888001,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,3,0,401404028,4014040282,2,8,1,"{'minutes': 11, 'seconds': 19}",3,3,93,7,4,3,True,25,Field Goal Good,Carter Brown 25 yd FG GOOD,,2022-11-06T02:57:42.000Z,10,Arizona State,2022
401404028101888002,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,3,0,401404028,4014040283,3,1,1,"{'minutes': 11, 'seconds': 19}",3,3,35,65,1,10,False,0,Kickoff,Eddie Czaplicki kickoff for 65 yds for a touchback,,2022-11-06T02:57:42.000Z,10,Arizona State,2022
401404028101888004,UCLA,Pac-12,Arizona State,Pac-12,Arizona State,UCLA,0,3,401404028,4014040283,3,2,1,"{'minutes': 11, 'seconds': 19}",3,3,75,75,1,10,False,2,Rush,Kazmeir Allen run for 2 yds to the UCLA 23,-0.45260367932203764,2022-11-06T02:57:42.000Z,10,Arizona State,2022
401404028101888005,UCLA,Pac-12,Arizona State,Pac-12,Arizona State,UCLA,0,3,401404028,4014040283,3,3,1,"{'minutes': 11, 'seconds': 19}",3,3,77,77,2,12,False,0,Pass Incompletion,Dorian Thompson-Robinson pass incomplete to Logan Loya,-0.2489092113983693,2022-11-06T02:57:42.000Z,10,Arizona State,2022
401404028101888006,UCLA,Pac-12,Arizona State,Pac-12,Arizona State,UCLA,0,3,401404028,4014040283,3,4,1,"{'minutes': 11, 'seconds': 19}",3,3,77,77,3,12,False,22,Pass Reception,Dorian Thompson-Robinson pass complete to Logan Loya for 22 yds to the UCLA 45 for a 1ST down,2.9353086070738712,2022-11-06T02:57:42.000Z,10,Arizona State,2022
401404028101888007,UCLA,Pac-12,Arizona State,Pac-12,Arizona State,UCLA,0,3,401404028,4014040283,3,5,1,"{'minutes': 11, 'seconds': 19}",3,3,55,55,1,10,False,34,Rush,Kazmeir Allen run for 34 yds to the ArzSt 21 for a 1ST down,1.644316423520872,2022-11-06T02:57:42.000Z,10,Arizona State,2022
401404028101888008,UCLA,Pac-12,Arizona State,Pac-12,Arizona State,UCLA,0,3,401404028,4014040283,3,6,1,"{'minutes': 11, 'seconds': 19}",3,3,21,21,1,10,False,3,Rush,Kazmeir Allen run for 3 yds to the ArzSt 18,-0.122124214578021,2022-11-06T02:57:42.000Z,10,Arizona State,2022
401404028101888009,UCLA,Pac-12,Arizona State,Pac-12,Arizona State,UCLA,0,3,401404028,4014040283,3,7,1,"{'minutes': 11, 'seconds': 19}",3,3,18,18,2,7,False,4,Rush,Keegan Jones run for 4 yds to the ArzSt 14,-0.034777934693167,2022-11-06T02:57:42.000Z,10,Arizona State,2022
401404028101914501,UCLA,Pac-12,Arizona State,Pac-12,Arizona State,UCLA,7,3,401404028,4014040283,3,8,1,"{'minutes': 8, 'seconds': 54}",3,3,14,14,3,3,True,14,Rushing Touchdown,"Dorian Thompson-Robinson run for 14 yds for a TD, (Nicholas Barr-Mira KICK)",2.789198963066681,2022-11-06T02:59:55.000Z,10,Arizona State,2022
401404028101915101,UCLA,Pac-12,Arizona State,Pac-12,Arizona State,UCLA,7,3,401404028,4014040284,4,1,1,"{'minutes': 8, 'seconds': 48}",3,3,65,65,1,10,False,25,Kickoff,"RJ Lopez kickoff for 65 yds , Daniyel Ngata return for 25 yds to the ArzSt 25",,2022-11-06T03:04:02.000Z,10,Arizona State,2022
401404028101915103,Arizona State,Pac-12,UCLA,Pac-12,Arizona State,UCLA,3,7,401404028,4014040284,4,2,1,"{'minutes': 8, 'seconds': 48}",3,3,25,75,1,10,False,0,Rush,Xazavian Valladay run for no gain to the ArzSt 25,-0.70297002204365193,2022-11-06T03:04:02.000Z,10,Arizona State,2022
