id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404022101849902,Arizona,Pac-12,USC,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Tyler Loop kickoff for 65 yds for a touchback,,2022-10-29T23:10:43.000Z,9,Arizona,2022
401404022101854401,USC,Pac-12,Arizona,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,75,75,1,10,False,5,Pass Reception,Caleb Williams pass complete to Tahj Washington for 5 yds to the USC 30,0.0945451165334843,2022-10-29T23:11:36.000Z,9,Arizona,2022
401404022101857901,USC,Pac-12,Arizona,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,3,1,"{'minutes': 14, 'seconds': 20}",3,3,70,70,2,5,False,4,Rush,Travis Dye run for 4 yds to the USC 34,-0.1175789784824320,2022-10-29T23:12:12.000Z,9,Arizona,2022
401404022101864601,USC,Pac-12,Arizona,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,4,1,"{'minutes': 13, 'seconds': 53}",3,3,66,66,3,1,False,5,Rush,Travis Dye run for 5 yds to the USC 39 for a 1ST down,1.2457729452054032,2022-10-29T23:12:34.000Z,9,Arizona,2022
401404022101865601,USC,Pac-12,Arizona,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,5,1,"{'minutes': 13, 'seconds': 43}",3,3,61,61,1,10,False,0,Pass Incompletion,Caleb Williams pass incomplete,-1.1077677360468863,2022-10-29T23:12:44.000Z,9,Arizona,2022
401404022101866101,USC,Pac-12,Arizona,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,6,1,"{'minutes': 13, 'seconds': 38}",3,3,61,61,2,10,False,5,Pass Reception,Caleb Williams pass complete to Kyle Ford for 5 yds to the USC 44,0.0652590263432646,2022-10-29T23:13:28.000Z,9,Arizona,2022
401404022101869001,USC,Pac-12,Arizona,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,7,1,"{'minutes': 13, 'seconds': 9}",3,3,56,56,3,5,False,22,Pass Reception,Caleb Williams pass complete to Kyle Ford for 22 yds to the Ariz 34 for a 1ST down,2.9607985852548177,2022-10-29T23:14:04.000Z,9,Arizona,2022
401404022101874701,USC,Pac-12,Arizona,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,8,1,"{'minutes': 12, 'seconds': 52}",3,3,34,34,1,10,False,4,Rush,Travis Dye run for 4 yds to the Ariz 30,-0.063267952570744,2022-10-29T23:14:22.000Z,9,Arizona,2022
401404022101876901,USC,Pac-12,Arizona,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,9,1,"{'minutes': 12, 'seconds': 30}",3,3,30,30,2,6,False,-5,Penalty,"USC Penalty, False Start (-5 Yards) to the Ariz 35",,2022-10-29T23:14:56.000Z,9,Arizona,2022
401404022101877901,USC,Pac-12,Arizona,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,10,1,"{'minutes': 12, 'seconds': 20}",3,3,35,35,2,11,False,8,Rush,Travis Dye run for 8 yds to the Ariz 27,0.544902596030024,2022-10-29T23:15:33.000Z,9,Arizona,2022
401404022101887101,USC,Pac-12,Arizona,Pac-12,Arizona,USC,0,0,401404022,4014040221,1,11,1,"{'minutes': 11, 'seconds': 28}",3,3,27,27,3,3,False,-1,Rush,Caleb Williams run for a loss of 1 yard to the Ariz 28,-1.0004132511000565,2022-10-29T23:16:03.000Z,9,Arizona,2022
401404022101894301,USC,Pac-12,Arizona,Pac-12,Arizona,USC,3,0,401404022,4014040221,1,12,1,"{'minutes': 10, 'seconds': 56}",3,3,28,28,4,4,True,45,Field Goal Good,Denis Lynch 45 yd FG GOOD,,2022-10-29T23:17:07.000Z,9,Arizona,2022
401404022101894302,USC,Pac-12,Arizona,Pac-12,Arizona,USC,3,0,401404022,4014040222,2,1,1,"{'minutes': 10, 'seconds': 56}",3,3,65,65,4,4,False,0,Kickoff,Alex Stadthaus kickoff for 65 yds for a touchback,,2022-10-29T23:17:07.000Z,9,Arizona,2022
401404022101895701,Arizona,Pac-12,USC,Pac-12,Arizona,USC,0,3,401404022,4014040222,2,2,1,"{'minutes': 10, 'seconds': 42}",3,3,25,75,1,10,False,6,Rush,Jonah Coleman run for 6 yds to the Ariz 31,0.3333748010525683,2022-10-29T23:20:39.000Z,9,Arizona,2022
401404022101899901,Arizona,Pac-12,USC,Pac-12,Arizona,USC,0,3,401404022,4014040222,2,3,1,"{'minutes': 10, 'seconds': 0}",3,3,31,69,2,4,False,18,Pass Reception,Jayden de Laura pass complete to Michael Wiley for 18 yds to the Ariz 49 for a 1ST down,1.8210131147758142,2022-10-29T23:22:18.000Z,9,Arizona,2022
401404022101907201,Arizona,Pac-12,USC,Pac-12,Arizona,USC,0,3,401404022,4014040222,2,4,1,"{'minutes': 9, 'seconds': 27}",3,3,49,51,1,10,False,0,Pass Incompletion,Jayden de Laura pass incomplete,-1.1301991718133413,2022-10-29T23:22:25.000Z,9,Arizona,2022
401404022101908301,Arizona,Pac-12,USC,Pac-12,Arizona,USC,0,3,401404022,4014040222,2,5,1,"{'minutes': 9, 'seconds': 16}",3,3,49,51,2,10,False,7,Rush,Michael Wiley run for 7 yds to the USC 44,0.5745507866568983,2022-10-29T23:22:42.000Z,9,Arizona,2022
401404022101909901,Arizona,Pac-12,USC,Pac-12,Arizona,USC,0,3,401404022,4014040222,2,6,1,"{'minutes': 9, 'seconds': 0}",3,3,56,44,3,3,False,7,Pass Reception,Jayden de Laura pass complete to Tetairoa McMillan for 7 yds to the USC 37 for a 1ST down,1.4276069575726388,2022-10-29T23:23:28.000Z,9,Arizona,2022
401404022101919501,Arizona,Pac-12,USC,Pac-12,Arizona,USC,0,3,401404022,4014040222,2,7,1,"{'minutes': 8, 'seconds': 4}",3,3,63,37,1,10,False,11,Rush,Anthony Simpson run for 11 yds to the USC 26 for a 1ST down,0.3314065090685627,2022-10-29T23:24:04.000Z,9,Arizona,2022
401404022101925801,Arizona,Pac-12,USC,Pac-12,Arizona,USC,0,3,401404022,4014040222,2,8,1,"{'minutes': 7, 'seconds': 41}",3,3,74,26,1,10,False,3,Pass Reception,Jayden de Laura pass complete to Dorian Singer for 3 yds to the USC 23,-0.1464938748677045,2022-10-29T23:24:32.000Z,9,Arizona,2022
401404022101928901,Arizona,Pac-12,USC,Pac-12,Arizona,USC,0,3,401404022,4014040222,2,9,1,"{'minutes': 7, 'seconds': 10}",2,3,77,23,2,7,False,0,Timeout,"Timeout ARIZONA, clock 07:10",,2022-10-29T23:25:16.000Z,9,Arizona,2022
