id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415622101849906,Arkansas State,Sun Belt,Memphis,American Athletic,Memphis,Arkansas State,0,0,401415622,4014156221,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Tristan Mattson kickoff for 65 yds for a touchback,,2022-09-17T23:00:36.000Z,3,Arkansas State,2022
401415622101849909,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,0,401415622,4014156221,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,11,Pass Reception,Seth Henigan pass complete to Gabriel Rogers for 11 yds to the Memph 36 for a 1ST down,0.9305625119459905,2022-09-17T23:00:36.000Z,3,Arkansas State,2022
401415622101849910,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,0,401415622,4014156221,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,36,64,1,10,False,0,Pass Incompletion,Seth Henigan pass incomplete,-1.0411553203440639,2022-09-17T23:00:36.000Z,3,Arkansas State,2022
401415622101849912,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,0,401415622,4014156221,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,36,64,2,10,False,0,Pass Incompletion,Seth Henigan pass incomplete,-0.63103783382599236,2022-09-17T23:00:36.000Z,3,Arkansas State,2022
401415622101849914,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,0,401415622,4014156221,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,36,64,3,10,False,0,Pass Incompletion,Seth Henigan pass incomplete,-0.32221199814427326,2022-09-17T23:00:36.000Z,3,Arkansas State,2022
401415622101849917,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,0,401415622,4014156221,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,36,64,4,10,False,0,Punt,Joe Doyle punt for 64 yds for a touchback,,2022-09-17T23:00:36.000Z,3,Arkansas State,2022
401415622101859901,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,0,401415622,4014156221,1,7,1,"{'minutes': 14, 'seconds': 0}",3,3,36,64,4,10,False,0,Punt,Joe Doyle punt for 64 yds for a touchback,,2022-09-17T23:06:27.000Z,3,Arkansas State,2022
401415622101859903,Arkansas State,Sun Belt,Memphis,American Athletic,Memphis,Arkansas State,0,0,401415622,4014156222,2,1,1,"{'minutes': 14, 'seconds': 0}",3,3,80,80,1,10,False,1,Rush,Johnnie Lang run for 1 yd to the ArkSt 21,-0.46882789768185694,2022-09-17T23:06:27.000Z,3,Arkansas State,2022
401415622101859904,Arkansas State,Sun Belt,Memphis,American Athletic,Memphis,Arkansas State,0,0,401415622,4014156222,2,2,1,"{'minutes': 14, 'seconds': 0}",3,3,79,79,2,9,False,0,Pass Incompletion,James Blackman pass incomplete,-0.31009262307283426,2022-09-17T23:07:30.000Z,3,Arkansas State,2022
401415622101859905,Arkansas State,Sun Belt,Memphis,American Athletic,Memphis,Arkansas State,0,0,401415622,4014156222,2,3,1,"{'minutes': 14, 'seconds': 0}",3,3,79,79,3,9,False,24,Pass Reception,James Blackman pass complete to Seydou Traore for 24 yds to the ArkSt 45 for a 1ST down,2.888365079043429,2022-09-17T23:07:30.000Z,3,Arkansas State,2022
401415622101859906,Arkansas State,Sun Belt,Memphis,American Athletic,Memphis,Arkansas State,0,0,401415622,4014156222,2,4,1,"{'minutes': 14, 'seconds': 0}",3,3,55,55,1,10,False,2,Rush,Johnnie Lang run for 2 yds to the ArkSt 47,-0.6797853383066688,2022-09-17T23:07:30.000Z,3,Arkansas State,2022
401415622101859907,Arkansas State,Sun Belt,Memphis,American Athletic,Memphis,Arkansas State,0,0,401415622,4014156222,2,5,1,"{'minutes': 14, 'seconds': 0}",3,3,53,53,2,8,False,2,Rush,Johnnie Lang run for 2 yds to the ArkSt 49,-0.6391351689786351,2022-09-17T23:07:30.000Z,3,Arkansas State,2022
401415622101885201,Arkansas State,Sun Belt,Memphis,American Athletic,Memphis,Arkansas State,0,0,401415622,4014156222,2,6,1,"{'minutes': 11, 'seconds': 47}",2,3,51,51,3,6,False,0,Timeout,"Timeout ARKANSAS ST, clock 11:47",,2022-09-17T23:10:05.000Z,3,Arkansas State,2022
401415622101885202,Arkansas State,Sun Belt,Memphis,American Athletic,Memphis,Arkansas State,0,0,401415622,4014156222,2,7,1,"{'minutes': 11, 'seconds': 47}",2,3,53,53,2,8,False,2,Rush,Johnnie Lang run for 2 yds to the ArkSt 49,-0.6391351689786351,2022-09-17T23:13:25.000Z,3,Arkansas State,2022
401415622101886001,Arkansas State,Sun Belt,Memphis,American Athletic,Memphis,Arkansas State,7,0,401415622,4014156222,2,8,1,"{'minutes': 11, 'seconds': 39}",2,3,51,51,3,6,True,51,Passing Touchdown,"James Blackman pass complete to Seydou Traore for 51 yds for a TD, (Dominic Zvada KICK)",5.5955337446016689,2022-09-17T23:13:46.000Z,3,Arkansas State,2022
401415622101886003,Arkansas State,Sun Belt,Memphis,American Athletic,Memphis,Arkansas State,7,0,401415622,4014156223,3,1,1,"{'minutes': 11, 'seconds': 39}",2,3,65,65,0,0,False,0,Kickoff,Tristan Mattson kickoff for 65 yds for a touchback,,2022-09-17T23:18:22.000Z,3,Arkansas State,2022
401415622101886005,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,7,401415622,4014156223,3,2,1,"{'minutes': 11, 'seconds': 39}",3,2,25,75,1,10,False,8,Rush,Brandon Thomas run for 8 yds to the Memph 33,0.9104368550610653,2022-09-17T23:18:22.000Z,3,Arkansas State,2022
401415622101886006,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,7,401415622,4014156223,3,3,1,"{'minutes': 11, 'seconds': 39}",3,2,33,67,2,2,False,-1,Rush,Brandon Thomas run for a loss of 1 yard to the Memph 32,-1.2995909961762165,2022-09-17T23:18:22.000Z,3,Arkansas State,2022
401415622101886007,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,7,401415622,4014156223,3,4,1,"{'minutes': 11, 'seconds': 39}",3,2,32,68,3,3,False,10,Pass Reception,Seth Henigan pass complete to Javon Ivory for 10 yds to the Memph 42 for a 1ST down,1.9052060487971572,2022-09-17T23:18:22.000Z,3,Arkansas State,2022
401415622101886008,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,7,401415622,4014156223,3,5,1,"{'minutes': 11, 'seconds': 39}",3,2,42,58,1,10,False,42,Pass Reception,Seth Henigan pass complete to Eddie Lewis for 42 yds to the ArkSt 16 for a 1ST down,1.9929804907469411,2022-09-17T23:18:22.000Z,3,Arkansas State,2022
401415622101886009,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,7,401415622,4014156223,3,6,1,"{'minutes': 11, 'seconds': 39}",3,2,84,16,1,10,False,3,Rush,Brandon Thomas run for 3 yds to the ArkSt 13,-0.1055990016463056,2022-09-17T23:18:22.000Z,3,Arkansas State,2022
401415622101886010,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,7,401415622,4014156223,3,7,1,"{'minutes': 11, 'seconds': 39}",3,2,87,13,2,7,False,7,Pass Reception,Seth Henigan pass complete to Marcayll Jones for 7 yds to the ArkSt 6 for a 1ST down,0.621831951873403,2022-09-17T23:18:22.000Z,3,Arkansas State,2022
401415622101886011,Memphis,American Athletic,Arkansas State,Sun Belt,Memphis,Arkansas State,0,7,401415622,4014156223,3,8,1,"{'minutes': 11, 'seconds': 39}",3,2,94,6,1,6,False,0,Rush,Brandon Thomas run for no gain to the ArkSt 6,-0.476177221716661,2022-09-17T23:18:22.000Z,3,Arkansas State,2022
