id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403947101849907,Arkansas,SEC,Ole Miss,SEC,Arkansas,Ole Miss,0,0,401403947,4014039471,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Jake Bates kickoff for 65 yds for a touchback,,2022-11-20T00:40:00.000Z,12,Arkansas,2022
401403947101849912,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039471,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,0,Penalty,"DART, Jaxson pass to the right complete for 11 yards to MINGO, Jonathan caught at the MIS32 and advanced to the MIS36 (BLAIR, Simeon), out of bounds. PENALTY MIS Pass Interference on HEATH, Malik enforced half the distance from the goal, 12 yards to the MIS13 [NHSG]. NO PLAY (replay the down).",,2022-11-20T00:40:00.000Z,12,Arkansas,2022
401403947101849916,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039471,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,87,87,1,22,False,-2,Rush,Dayton Wade run for a loss of 2 yards to the Miss 11,-0.1223182423292091,2022-11-20T00:40:00.000Z,12,Arkansas,2022
401403947101849919,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039471,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,89,89,2,24,False,25,Pass Reception,Jaxson Dart pass complete to Quinshon Judkins for 25 yds to the Miss 36 for a 1ST down,2.2089982118745279,2022-11-20T00:40:00.000Z,12,Arkansas,2022
401403947101849922,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039471,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,64,64,1,10,False,6,Pass Reception,Jaxson Dart pass complete to Jordan Watkins for 6 yds to the Miss 42,0.4008542507084805,2022-11-20T00:40:00.000Z,12,Arkansas,2022
401403947101866501,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039471,1,6,1,"{'minutes': 13, 'seconds': 34}",3,3,58,58,2,4,False,-4,Fumble Recovery (Opponent),"Jaxson Dart run for a loss of 4 yards to the Miss 38 Jaxson Dart fumbled, recovered by Ark Drew Sanders",,2022-11-20T00:43:28.000Z,12,Arkansas,2022
401403947101866503,Arkansas,SEC,Ole Miss,SEC,Arkansas,Ole Miss,0,0,401403947,4014039472,2,1,1,"{'minutes': 13, 'seconds': 34}",3,3,62,38,1,10,False,1,Rush,Raheim Sanders run for 1 yd to the Miss 37,-0.596824390353605,2022-11-20T00:43:03.000Z,12,Arkansas,2022
401403947101866504,Arkansas,SEC,Ole Miss,SEC,Arkansas,Ole Miss,0,0,401403947,4014039472,2,2,1,"{'minutes': 13, 'seconds': 34}",3,3,63,37,2,9,False,3,Rush,KJ Jefferson run for 3 yds to the Miss 34,-0.3192628664887742,2022-11-20T00:43:28.000Z,12,Arkansas,2022
401403947101866505,Arkansas,SEC,Ole Miss,SEC,Arkansas,Ole Miss,0,0,401403947,4014039472,2,3,1,"{'minutes': 13, 'seconds': 34}",3,3,66,34,3,6,False,0,Pass Incompletion,KJ Jefferson pass incomplete,-1.0211448619280806,2022-11-20T00:43:28.000Z,12,Arkansas,2022
401403947101866506,Arkansas,SEC,Ole Miss,SEC,Arkansas,Ole Miss,0,0,401403947,4014039472,2,4,1,"{'minutes': 13, 'seconds': 34}",3,3,66,34,4,6,False,-5,Penalty,"ARKANSAS Penalty, False Start (-5 Yards) to the Miss 39",,2022-11-20T00:43:28.000Z,12,Arkansas,2022
401403947101877001,Arkansas,SEC,Ole Miss,SEC,Arkansas,Ole Miss,0,0,401403947,4014039472,2,5,1,"{'minutes': 12, 'seconds': 29}",3,3,61,39,4,11,False,0,Punt,"Max Fletcher punt for 28 yds, downed at the Miss 11",,2022-11-20T00:45:57.000Z,12,Arkansas,2022
401403947101877002,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039472,2,6,1,"{'minutes': 12, 'seconds': 29}",3,2,89,89,1,10,False,0,Timeout,"Timeout ARKANSAS, clock 12:29",,2022-11-20T00:45:57.000Z,12,Arkansas,2022
401403947101877004,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039473,3,1,1,"{'minutes': 12, 'seconds': 29}",3,2,89,89,1,10,False,8,Pass Reception,Jaxson Dart pass complete to Malik Heath for 8 yds to the Miss 19,0.60394863137329494,2022-11-20T00:45:57.000Z,12,Arkansas,2022
401403947101877005,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039473,3,2,1,"{'minutes': 12, 'seconds': 29}",3,2,81,81,2,2,False,8,Rush,Zach Evans run for 8 yds to the Miss 27 for a 1ST down,0.2269082425324402,2022-11-20T00:45:57.000Z,12,Arkansas,2022
401403947101877006,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039473,3,3,1,"{'minutes': 12, 'seconds': 29}",3,2,73,73,1,10,False,4,Rush,Zach Evans run for 4 yds to the Miss 31,-0.1248442803913914,2022-11-20T00:45:57.000Z,12,Arkansas,2022
401403947101877007,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039473,3,4,1,"{'minutes': 12, 'seconds': 29}",3,2,69,69,2,6,False,1,Rush,Jaxson Dart run for 1 yd to the Miss 32,-0.5946656686879459,2022-11-20T00:45:57.000Z,12,Arkansas,2022
401403947101877008,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039473,3,5,1,"{'minutes': 12, 'seconds': 29}",3,2,68,68,3,5,False,0,Pass Incompletion,Jaxson Dart pass incomplete,-0.41485368810697841,2022-11-20T00:45:57.000Z,12,Arkansas,2022
401403947101894501,Ole Miss,SEC,Arkansas,SEC,Arkansas,Ole Miss,0,0,401403947,4014039473,3,6,1,"{'minutes': 10, 'seconds': 54}",3,2,68,68,4,5,False,0,Punt,Fraser Masin punt for 37 yds,,2022-11-20T00:51:13.000Z,12,Arkansas,2022
401403947101894503,Arkansas,SEC,Ole Miss,SEC,Arkansas,Ole Miss,0,0,401403947,4014039474,4,1,1,"{'minutes': 10, 'seconds': 54}",2,3,31,69,1,10,False,2,Rush,Raheim Sanders run for 2 yds to the Ark 33,-0.5660789348414364,2022-11-20T00:51:13.000Z,12,Arkansas,2022
401403947101894504,Arkansas,SEC,Ole Miss,SEC,Arkansas,Ole Miss,0,0,401403947,4014039474,4,2,1,"{'minutes': 10, 'seconds': 54}",2,3,33,67,2,8,False,-1,Rush,Raheim Sanders run for a loss of 1 yard to the Ark 32,-0.7376633653114135,2022-11-20T00:51:13.000Z,12,Arkansas,2022
401403947101894505,Arkansas,SEC,Ole Miss,SEC,Arkansas,Ole Miss,0,0,401403947,4014039474,4,3,1,"{'minutes': 10, 'seconds': 54}",2,3,32,68,3,9,False,20,Pass Reception,KJ Jefferson pass complete to Trey Knox for 20 yds to the Miss 48 for a 1ST down,3.2247994689879426,2022-11-20T00:51:13.000Z,12,Arkansas,2022
