id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401416600101854301,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,0,0,401416600,4014166001,1,1,1,"{'minutes': 14, 'seconds': 56}",3,3,35,65,1,10,False,13,Kickoff,"Ben VonGunten kickoff for 57 yds , Dameon Gomes return for 13 yds to the MurrS 21",,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101854302,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,0,401416600,4014166001,1,2,1,"{'minutes': 14, 'seconds': 56}",3,3,79,79,1,10,False,2,Rush,Cortezz Jones run for 2 yds to the MurrS 23,-0.3794776766448038,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101854303,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,0,401416600,4014166001,1,3,1,"{'minutes': 14, 'seconds': 56}",3,3,77,77,2,8,False,11,Pass Reception,LaMartez Brooks pass complete to Dameon Gomes for 11 yds to the MurrS 34 for a 1ST down,1.3732430767323454,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101854304,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,0,401416600,4014166001,1,4,1,"{'minutes': 14, 'seconds': 56}",3,3,66,66,1,10,False,0,Pass Incompletion,Isaac McNamee pass incomplete to Quindarrius Mayes,-0.9864556271674072,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101854305,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,0,401416600,4014166001,1,5,1,"{'minutes': 14, 'seconds': 56}",3,3,66,66,2,10,False,3,Rush,LaMartez Brooks run for 3 yds to the MurrS 37,-0.2472652683788095,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101854306,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,0,401416600,4014166001,1,6,1,"{'minutes': 14, 'seconds': 56}",3,3,63,63,3,7,False,6,Pass Reception,Isaac McNamee pass complete to Dameon Gomes for 6 yds to the MurrS 43,0.1968082066449677,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101854307,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,0,0,401416600,4014166001,1,7,1,"{'minutes': 14, 'seconds': 56}",3,3,35,65,1,10,False,13,Kickoff,"Ben VonGunten kickoff for 57 yds , Dameon Gomes return for 13 yds to the MurrS 21",,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101874901,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,0,401416600,4014166001,1,8,1,"{'minutes': 12, 'seconds': 50}",3,3,57,57,4,1,False,0,Rush,Cortezz Jones run for no gain to the MurrS 43,-0.6263179213691368,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101874905,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,0,401416600,4014166001,1,9,1,"{'minutes': 12, 'seconds': 50}",3,3,57,57,4,1,False,0,Rush,Cortezz Jones run for no gain to the MurrS 43,-0.6263179213691368,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101874902,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,0,0,401416600,4014166002,2,1,1,"{'minutes': 12, 'seconds': 50}",3,3,57,43,1,10,False,0,Pass Reception,John Paddock pass complete to Tanner Koziol for no gain to the MurrS 43,-0.9391692565688832,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101874903,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,0,0,401416600,4014166002,2,2,1,"{'minutes': 12, 'seconds': 50}",3,3,57,43,2,10,False,8,Pass Reception,John Paddock pass complete to Yo'Heinz Tyler for 8 yds to the MurrS 35,0.7190243061398204,2022-09-17T18:39:33.000Z,3,Ball State,2022
401416600101874904,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,0,0,401416600,4014166002,2,3,1,"{'minutes': 12, 'seconds': 50}",3,3,65,35,3,2,False,22,Rush,Will Jones run for 22 yds to the MurrS 13 for a 1ST down,1.033585823314070,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101885901,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,7,0,401416600,4014166002,2,4,1,"{'minutes': 11, 'seconds': 40}",3,3,87,13,1,10,True,13,Passing Touchdown,"John Paddock pass complete to Brady Hunt for 13 yds for a TD, (Ben VonGunten KICK)",2.538929215045847,2022-09-17T18:14:34.000Z,3,Ball State,2022
401416600101886501,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,7,0,401416600,4014166003,3,1,1,"{'minutes': 11, 'seconds': 34}",3,3,35,65,1,10,False,14,Kickoff,"Ben VonGunten kickoff for 63 yds , Dameon Gomes return for 14 yds to the MurrS 16",,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101886502,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,7,401416600,4014166003,3,2,1,"{'minutes': 11, 'seconds': 34}",3,3,84,84,1,10,False,8,Rush,Jawaun Northington run for 8 yds to the MurrS 24,0.7075355959754850,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101886503,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,7,401416600,4014166003,3,3,1,"{'minutes': 11, 'seconds': 34}",3,3,76,76,2,2,False,2,Rush,LaMartez Brooks run for 2 yds to the MurrS 22,-0.1349425812327763,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101886504,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,7,401416600,4014166003,3,4,1,"{'minutes': 11, 'seconds': 34}",3,3,78,78,3,4,False,0,Pass Incompletion,Isaac McNamee pass incomplete to DeQuan Dallas,-0.27376738663221633,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101886505,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,7,0,401416600,4014166003,3,5,1,"{'minutes': 11, 'seconds': 34}",3,3,35,65,1,10,False,14,Kickoff,"Ben VonGunten kickoff for 63 yds , Dameon Gomes return for 14 yds to the MurrS 16",,2022-09-17T18:05:28.000Z,3,Ball State,2022
401416600101899401,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,7,401416600,4014166003,3,6,1,"{'minutes': 10, 'seconds': 5}",3,3,78,78,4,4,False,14,Punt,"Lewis Halton punt for 47 yds, punt out-of-bounds at the BalSt 45 , Jayshon Jackson returns for 14 yds to the BalSt 45",,2022-09-17T18:19:20.000Z,3,Ball State,2022
401416600101899407,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,7,401416600,4014166003,3,7,1,"{'minutes': 10, 'seconds': 5}",3,3,78,78,4,4,False,14,Punt,"Lewis Halton punt for 47 yds, punt out-of-bounds at the BalSt 45 , Jayshon Jackson returns for 14 yds to the BalSt 45",,2022-09-17T18:19:20.000Z,3,Ball State,2022
401416600101899402,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,7,0,401416600,4014166004,4,1,1,"{'minutes': 10, 'seconds': 5}",3,3,45,55,1,10,False,0,Pass Incompletion,John Paddock pass incomplete to Tanner Koziol,-1.1618692012952412,2022-09-17T18:19:20.000Z,3,Ball State,2022
401416600101899403,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,7,0,401416600,4014166004,4,2,1,"{'minutes': 10, 'seconds': 5}",3,3,45,55,2,10,False,15,Pass Reception,John Paddock pass complete to Jayshon Jackson for 15 yds to the MurrS 40 for a 1ST down,2.2494332946742652,2022-09-17T18:19:20.000Z,3,Ball State,2022
401416600101899404,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,7,0,401416600,4014166004,4,3,1,"{'minutes': 10, 'seconds': 5}",3,3,60,40,1,10,False,0,Pass Incompletion,John Paddock pass incomplete to Amir Abdur-Rahman,-0.8457687366186874,2022-09-17T18:19:20.000Z,3,Ball State,2022
401416600101899405,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,7,0,401416600,4014166004,4,4,1,"{'minutes': 10, 'seconds': 5}",3,3,60,40,2,10,False,4,Pass Reception,John Paddock pass complete to Dean Tate for 4 yds to the MurrS 36,-0.1428365974503070,2022-09-17T18:19:20.000Z,3,Ball State,2022
401416600101899406,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,7,0,401416600,4014166004,4,5,1,"{'minutes': 10, 'seconds': 5}",3,3,64,36,3,6,False,1,Pass Reception,John Paddock pass complete to Will Jones for 1 yd to the MurrS 35,-0.8257832323656516,2022-09-17T18:19:20.000Z,3,Ball State,2022
401416600101917501,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,7,0,401416600,4014166004,4,6,1,"{'minutes': 8, 'seconds': 24}",3,3,65,35,4,5,False,0,Pass Incompletion,John Paddock pass incomplete to Amir Abdur-Rahman,-1.996562289628013,2022-09-17T18:23:48.000Z,3,Ball State,2022
401416600101917505,Ball State,Mid-American,Murray State,OVC,Ball State,Murray State,7,0,401416600,4014166004,4,7,1,"{'minutes': 8, 'seconds': 24}",3,3,65,35,4,5,False,0,Pass Incompletion,John Paddock pass incomplete to Amir Abdur-Rahman,-1.996562289628013,2022-09-17T18:23:48.000Z,3,Ball State,2022
401416600101917502,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,7,401416600,4014166005,5,1,1,"{'minutes': 8, 'seconds': 24}",3,3,65,65,1,10,False,0,Rush,Jawaun Northington run for no gain to the MurrS 35,-1.0146424556055624,2022-09-17T18:23:48.000Z,3,Ball State,2022
401416600101917503,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,7,401416600,4014166005,5,2,1,"{'minutes': 8, 'seconds': 24}",3,3,65,65,2,10,False,1,Rush,Jawaun Northington run for 1 yd to the MurrS 34,-0.50270383927307983,2022-09-17T18:23:48.000Z,3,Ball State,2022
401416600101917504,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,7,401416600,4014166005,5,3,1,"{'minutes': 8, 'seconds': 24}",3,3,66,66,3,11,False,9,Pass Reception,Isaac McNamee pass complete to Taylor Shields for 9 yds to the MurrS 43,0.472881542359794514,2022-09-17T18:23:48.000Z,3,Ball State,2022
401416600101937201,Murray State,OVC,Ball State,Mid-American,Ball State,Murray State,0,7,401416600,4014166005,5,4,1,"{'minutes': 6, 'seconds': 27}",3,3,57,57,4,2,False,0,Punt,Lewis Halton punt for 57 yds for a touchback,,2022-09-17T18:29:31.000Z,3,Ball State,2022
