id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401424416101849902,Baylor,Big 12,Albany,CAA,Baylor,Albany,0,0,401424416,4014244161,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Noah Rauschenberg kickoff for 65 yds for a touchback,,2022-09-03T23:02:42.000Z,1,Baylor,2022
401424416101854401,Albany,CAA,Baylor,Big 12,Baylor,Albany,0,0,401424416,4014244161,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,75,75,1,10,False,3,Rush,Todd Sibley run for 3 yds to the Alban 28,-0.2957674139440157,2022-09-03T23:03:59.000Z,1,Baylor,2022
401424416101858001,Albany,CAA,Baylor,Big 12,Baylor,Albany,0,0,401424416,4014244161,1,3,1,"{'minutes': 14, 'seconds': 19}",3,3,72,72,2,7,False,0,Pass Incompletion,Reese Poffenbarger pass incomplete to Thomas Greaney,-0.5594317282120231,2022-09-03T23:04:31.000Z,1,Baylor,2022
401424416101858701,Albany,CAA,Baylor,Big 12,Baylor,Albany,0,0,401424416,4014244161,1,4,1,"{'minutes': 14, 'seconds': 12}",3,3,72,72,3,7,False,6,Rush,Reese Poffenbarger run for 6 yds to the Alban 34,0.1315188240426890,2022-09-03T23:05:10.000Z,1,Baylor,2022
401424416101867201,Albany,CAA,Baylor,Big 12,Baylor,Albany,0,0,401424416,4014244161,1,5,1,"{'minutes': 13, 'seconds': 27}",3,3,66,66,4,1,False,-5,Penalty,"ALBANY Penalty, Delay of Game (-5 Yards) to the Alban 29",,2022-09-03T23:06:05.000Z,1,Baylor,2022
401424416101868001,Albany,CAA,Baylor,Big 12,Baylor,Albany,0,0,401424416,4014244161,1,6,1,"{'minutes': 13, 'seconds': 19}",3,3,71,71,4,6,False,0,Punt,"Tyler Pastula punt for 47 yds, fair catch by Gavin Holmes at the Bayl 24",,2022-09-03T23:06:36.000Z,1,Baylor,2022
401424416101868701,Baylor,Big 12,Albany,CAA,Baylor,Albany,0,0,401424416,4014244162,2,1,1,"{'minutes': 13, 'seconds': 12}",3,3,24,76,1,10,False,8,Rush,Taye McWilliams run for 8 yds to the Bayl 32,0.8892177775023722,2022-09-03T23:07:28.000Z,1,Baylor,2022
401424416101875701,Baylor,Big 12,Albany,CAA,Baylor,Albany,0,0,401424416,4014244162,2,2,1,"{'minutes': 12, 'seconds': 42}",3,3,32,68,2,2,False,0,Pass Incompletion,Blake Shapen pass incomplete to Ben Sims,-1.0982813042056385,2022-09-03T23:07:46.000Z,1,Baylor,2022
401424416101876401,Baylor,Big 12,Albany,CAA,Baylor,Albany,0,0,401424416,4014244162,2,3,1,"{'minutes': 12, 'seconds': 35}",3,3,32,68,3,2,False,4,Rush,Taye McWilliams run for 4 yds to the Bayl 36 for a 1ST down,1.207489262343726,2022-09-03T23:08:35.000Z,1,Baylor,2022
401424416101878901,Baylor,Big 12,Albany,CAA,Baylor,Albany,0,0,401424416,4014244162,2,4,1,"{'minutes': 12, 'seconds': 10}",3,3,36,64,1,10,False,10,Pass Reception,Blake Shapen pass complete to Seth Jones for 10 yds to the Bayl 46 for a 1ST down,0.962295070090123,2022-09-03T23:09:04.000Z,1,Baylor,2022
401424416101886101,Baylor,Big 12,Albany,CAA,Baylor,Albany,0,0,401424416,4014244162,2,5,1,"{'minutes': 11, 'seconds': 38}",3,3,46,54,1,10,False,7,Rush,Qualan Jones run for 7 yds to the Alban 47,0.6465727155045757,2022-09-03T23:09:39.000Z,1,Baylor,2022
401424416101894001,Baylor,Big 12,Albany,CAA,Baylor,Albany,7,0,401424416,4014244162,2,6,1,"{'minutes': 10, 'seconds': 59}",3,3,53,47,2,3,True,47,Passing Touchdown,"Blake Shapen pass complete to Monaray Baldwin for 47 yds for a TD, (Isaiah Hankins KICK)",3.5383248221806323,2022-09-03T23:10:33.000Z,1,Baylor,2022
401424416101894003,Baylor,Big 12,Albany,CAA,Baylor,Albany,7,0,401424416,4014244163,3,1,1,"{'minutes': 10, 'seconds': 59}",3,3,35,65,2,3,False,0,Kickoff,Noah Rauschenberg kickoff for 65 yds for a touchback,,2022-09-03T23:14:19.000Z,1,Baylor,2022
401424416101894701,Albany,CAA,Baylor,Big 12,Baylor,Albany,0,7,401424416,4014244163,3,2,1,"{'minutes': 10, 'seconds': 52}",3,3,75,75,1,10,False,7,Rush,Reese Poffenbarger run for 7 yds to the Alban 32,0.6046424600863380,2022-09-03T23:15:24.000Z,1,Baylor,2022
401424416101897601,Albany,CAA,Baylor,Big 12,Baylor,Albany,0,7,401424416,4014244163,3,3,1,"{'minutes': 10, 'seconds': 23}",3,3,68,68,2,3,False,-5,Penalty,"ALBANY Penalty, False Start (Kevin Singer) to the Alban 27",,2022-09-03T23:16:00.000Z,1,Baylor,2022
