id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415214101854501,Boise State,Mountain West,New Mexico,Mountain West,New Mexico,Boise State,0,0,401415214,4014152141,1,1,1,"{'minutes': 14, 'seconds': 54}",3,3,65,65,0,0,False,22,Kickoff Return (Offense),"Will Ferrin kickoff for 65 yds , Luke Wysong return for 22 yds to the NMex 22",,2022-09-10T01:04:22.000Z,2,Boise State,2022
401415214101854702,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152141,1,2,1,"{'minutes': 14, 'seconds': 52}",3,3,22,78,1,10,False,-8,Sack,Miles Kendrick sacked by George Tarlas for a loss of 8 yards to the NMex 14,-1.0110537694349713,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101858201,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152141,1,3,1,"{'minutes': 14, 'seconds': 17}",3,3,14,86,2,18,False,1,Rush,Nathaniel Jones run for 1 yd to the NMex 15,-0.0611074491476753,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101866201,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152141,1,4,1,"{'minutes': 13, 'seconds': 37}",3,3,15,85,3,17,False,3,Rush,Miles Kendrick run for 3 yds to the NMex 18,-0.0169711431767130,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101868501,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152141,1,5,1,"{'minutes': 13, 'seconds': 14}",3,3,18,82,4,14,False,0,Punt,"Aaron Rodriguez punt for 54 yds, fair catch by Stefan Cobbs at the BoiSt 28",,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101869402,Boise State,Mountain West,New Mexico,Mountain West,New Mexico,Boise State,0,0,401415214,4014152142,2,1,1,"{'minutes': 13, 'seconds': 5}",3,3,72,72,1,10,False,-4,Pass Reception,Hank Bachmeier pass complete to George Holani for a loss of 4 yards to the BoiSt 24,-1.168206964881264307,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101877401,Boise State,Mountain West,New Mexico,Mountain West,New Mexico,Boise State,0,0,401415214,4014152142,2,2,1,"{'minutes': 12, 'seconds': 25}",3,3,76,76,2,14,False,4,Rush,George Holani run for 4 yds to the BoiSt 28,-0.041750237438094473,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101879601,Boise State,Mountain West,New Mexico,Mountain West,New Mexico,Boise State,0,0,401415214,4014152142,2,3,1,"{'minutes': 12, 'seconds': 3}",3,3,72,72,3,10,False,0,Pass Incompletion,Hank Bachmeier pass incomplete,-0.19252985967911142,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101884201,Boise State,Mountain West,New Mexico,Mountain West,New Mexico,Boise State,0,0,401415214,4014152142,2,4,1,"{'minutes': 11, 'seconds': 57}",3,3,72,72,4,10,False,0,Punt,"James Ferguson-Reynolds punt for 47 yds, fair catch by Luke Wysong at the NMex 25",,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101885002,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152143,3,1,1,"{'minutes': 11, 'seconds': 49}",3,3,25,75,1,10,False,0,Pass Incompletion,Miles Kendrick pass incomplete,-0.70297002204365193,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101886001,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152143,3,2,1,"{'minutes': 11, 'seconds': 39}",3,3,25,75,2,10,False,0,Pass Incompletion,Miles Kendrick pass incomplete,-0.34710487712173865,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101886601,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152143,3,3,1,"{'minutes': 11, 'seconds': 33}",3,3,25,75,3,10,False,0,Pass Incompletion,Miles Kendrick pass incomplete,-0.15871308844886392,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101887401,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152143,3,4,1,"{'minutes': 11, 'seconds': 25}",3,3,25,75,4,10,False,9,Punt,"Aaron Rodriguez punt for 57 yds , Stefan Cobbs returns for 9 yds to the BoiSt 27",,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101888802,Boise State,Mountain West,New Mexico,Mountain West,New Mexico,Boise State,0,0,401415214,4014152144,4,1,1,"{'minutes': 11, 'seconds': 11}",3,3,73,73,1,10,False,-6,Rush,George Holani run for a loss of 6 yards to the BoiSt 21,-1.22203805268636944,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101896501,Boise State,Mountain West,New Mexico,Mountain West,New Mexico,Boise State,0,0,401415214,4014152144,4,2,1,"{'minutes': 10, 'seconds': 34}",3,3,79,79,2,16,False,6,Rush,George Holani run for 6 yds to the BoiSt 27,0.06690669499012447,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101904401,Boise State,Mountain West,New Mexico,Mountain West,New Mexico,Boise State,0,0,401415214,4014152144,4,3,1,"{'minutes': 9, 'seconds': 55}",3,3,73,73,3,10,False,1,Pass Reception,Hank Bachmeier pass complete to Riley Smith for 1 yd to the BoiSt 28,-0.15292132396169488,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101908501,Boise State,Mountain West,New Mexico,Mountain West,New Mexico,Boise State,0,0,401415214,4014152144,4,4,1,"{'minutes': 9, 'seconds': 14}",3,3,72,72,4,9,False,0,Punt,"James Ferguson-Reynolds punt for 42 yds, fair catch by Luke Wysong at the NMex 30",,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101909302,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152145,5,1,1,"{'minutes': 9, 'seconds': 6}",3,3,30,70,1,10,False,-2,Rush,Nathaniel Jones run for a loss of 2 yards to the NMex 28,-1.10004248093874412,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101918001,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152145,5,2,1,"{'minutes': 8, 'seconds': 19}",3,3,28,72,2,12,False,4,Rush,Nathaniel Jones run for 4 yds to the NMex 32,-0.06440076299831521,2022-09-10T01:01:35.000Z,2,Boise State,2022
401415214101926301,New Mexico,Mountain West,Boise State,Mountain West,New Mexico,Boise State,0,0,401415214,4014152145,5,3,1,"{'minutes': 7, 'seconds': 36}",3,3,32,68,3,8,False,9,Pass Reception,Miles Kendrick pass complete to Luke Wysong for 9 yds to the NMex 41 for a 1ST down,2.19821741304297543,2022-09-10T01:01:35.000Z,2,Boise State,2022
