id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403971101849908,Bowling Green,Mid-American,UCLA,Pac-12,UCLA,Bowling Green,0,0,401403971,4014039711,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Mason Lawler kickoff for 65 yds for a touchback,,2022-09-03T18:29:33.000Z,1,Bowling Green,2022
401403971101849911,UCLA,Pac-12,Bowling Green,Mid-American,UCLA,Bowling Green,0,0,401403971,4014039711,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,-7,Pass Reception,"Dorian Thompson-Robinson pass complete to Kazmeir Allen for 3 yds to the UCLA 28 UCLA Penalty, Offensive Holding (-10 Yards) to the UCLA 18",-1.1457661500935084,2022-09-03T18:29:33.000Z,1,Bowling Green,2022
401403971101849918,UCLA,Pac-12,Bowling Green,Mid-American,UCLA,Bowling Green,0,0,401403971,4014039711,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,18,82,1,17,False,3,Rush,Zach Charbonnet run for 3 yds to the UCLA 21,-0.104576230603089297,2022-09-03T18:29:33.000Z,1,Bowling Green,2022
401403971101849921,UCLA,Pac-12,Bowling Green,Mid-American,UCLA,Bowling Green,0,0,401403971,4014039711,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,21,79,2,14,False,2,Pass Reception,Dorian Thompson-Robinson pass complete to Michael Ezeike for 2 yds to the UCLA 23,-0.11780597257035285,2022-09-03T18:29:33.000Z,1,Bowling Green,2022
401403971101849923,UCLA,Pac-12,Bowling Green,Mid-American,UCLA,Bowling Green,0,0,401403971,4014039711,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,23,77,3,12,False,0,Pass Incompletion,Dorian Thompson-Robinson pass incomplete,-0.11184027731402413,2022-09-03T18:29:33.000Z,1,Bowling Green,2022
401403971101865301,UCLA,Pac-12,Bowling Green,Mid-American,UCLA,Bowling Green,0,7,401403971,4014039711,1,6,1,"{'minutes': 13, 'seconds': 46}",3,3,23,77,4,12,True,11,Blocked Punt Touchdown,Charles Rosser 11 Yd Return of Blocked Punt (Mason Lawler Kick),-6.67623787829573967,2022-09-03T18:36:13.000Z,1,Bowling Green,2022
401403971101865303,Bowling Green,Mid-American,UCLA,Pac-12,UCLA,Bowling Green,7,0,401403971,4014039712,2,1,1,"{'minutes': 13, 'seconds': 46}",3,3,65,65,0,0,False,0,Kickoff,Mason Lawler kickoff for 65 yds for a touchback,,2022-09-03T18:36:13.000Z,1,Bowling Green,2022
401403971101865305,UCLA,Pac-12,Bowling Green,Mid-American,UCLA,Bowling Green,0,7,401403971,4014039712,2,2,1,"{'minutes': 13, 'seconds': 46}",3,3,25,75,1,10,False,-2,Sack,Dorian Thompson-Robinson sacked by Davon Ferguson for a loss of 2 yards to the UCLA 23,-0.8852575132705454,2022-09-03T18:36:13.000Z,1,Bowling Green,2022
401403971101865306,UCLA,Pac-12,Bowling Green,Mid-American,UCLA,Bowling Green,0,7,401403971,4014039712,2,3,1,"{'minutes': 13, 'seconds': 46}",3,3,23,77,2,12,False,9,Rush,Zach Charbonnet run for 9 yds to the UCLA 32,0.4961033721553942,2022-09-03T18:36:13.000Z,1,Bowling Green,2022
401403971101877901,UCLA,Pac-12,Bowling Green,Mid-American,UCLA,Bowling Green,7,7,401403971,4014039712,2,4,1,"{'minutes': 12, 'seconds': 20}",3,3,32,68,3,3,True,68,Rushing Touchdown,"Dorian Thompson-Robinson run for 68 yds for a TD, (Nicholas Barr-Mira KICK)",6.4669092608364727,2022-09-03T18:42:36.000Z,1,Bowling Green,2022
