id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401411123101849902,Clemson,ACC,Wake Forest,ACC,Wake Forest,Clemson,0,0,401411123,4014111231,1,1,1,"{'minutes': 15, 'seconds': 0}",3.0,3.0,65,65,1,10,False,21,Kickoff Return (Offense),"B.T. Potter kickoff for 61 yds , Donavon Greene return for 21 yds to the WFrst 25",,2022-09-24T16:06:41.000Z,4,Clemson,2022
401411123101855401,Wake Forest,ACC,Clemson,ACC,Wake Forest,Clemson,0,0,401411123,4014111231,1,2,1,"{'minutes': 14, 'seconds': 45}",3.0,3.0,25,75,1,10,False,8,Pass Reception,Sam Hartman pass complete to Taylor Morin for 8 yds to the WFrst 33,0.9104368550610653,2022-09-24T16:07:56.000Z,4,Clemson,2022
401411123101858401,Wake Forest,ACC,Clemson,ACC,Wake Forest,Clemson,0,0,401411123,4014111231,1,3,1,"{'minutes': 14, 'seconds': 15}",3.0,3.0,33,67,2,2,False,4,Rush,Justice Ellison run for 4 yds to the WFrst 37 for a 1ST down,0.1168074710825060,2022-09-24T16:08:35.000Z,4,Clemson,2022
401411123101864901,Wake Forest,ACC,Clemson,ACC,Wake Forest,Clemson,0,0,401411123,4014111231,1,4,1,"{'minutes': 13, 'seconds': 50}",3.0,3.0,37,63,1,10,False,9,Pass Reception,Sam Hartman pass complete to Taylor Morin for 9 yds to the WFrst 46,1.3755540761931897,2022-09-24T16:09:40.000Z,4,Clemson,2022
401411123101866901,Wake Forest,ACC,Clemson,ACC,Wake Forest,Clemson,0,0,401411123,4014111231,1,5,1,"{'minutes': 13, 'seconds': 30}",3.0,3.0,46,54,2,1,False,5,Rush,Justice Ellison run for 5 yds to the Clem 49 for a 1ST down,-0.0873738342526878,2022-09-24T16:10:14.000Z,4,Clemson,2022
401411123101868401,Wake Forest,ACC,Clemson,ACC,Wake Forest,Clemson,0,0,401411123,4014111231,1,6,1,"{'minutes': 13, 'seconds': 15}",3.0,3.0,51,49,1,10,False,2,Rush,Sam Hartman run for 2 yds to the Clem 47,-0.6159141942829951,2022-09-24T16:10:25.000Z,4,Clemson,2022
401411123101875401,Wake Forest,ACC,Clemson,ACC,Wake Forest,Clemson,0,0,401411123,4014111231,1,7,1,"{'minutes': 12, 'seconds': 45}",3.0,3.0,53,47,2,8,False,-1,Rush,Justice Ellison run for a loss of 1 yard to the Clem 48,-1.3186908576298819,2022-09-24T16:10:45.000Z,4,Clemson,2022
401411123101877001,Wake Forest,ACC,Clemson,ACC,Wake Forest,Clemson,0,0,401411123,4014111231,1,8,1,"{'minutes': 12, 'seconds': 29}",3.0,3.0,52,48,3,9,False,0,Pass Incompletion,Sam Hartman pass incomplete to Blake Whiteheart,-0.81144598068714834,2022-09-24T16:11:04.000Z,4,Clemson,2022
401411123101878201,Wake Forest,ACC,Clemson,ACC,Wake Forest,Clemson,0,0,401411123,4014111231,1,9,1,"{'minutes': 12, 'seconds': 17}",3.0,3.0,52,48,4,9,False,0,Punt,"Ivan Mora punt for 36 yds, downed at the Clem 12",,2022-09-24T16:11:20.000Z,4,Clemson,2022
401411123101884401,Clemson,ACC,Wake Forest,ACC,Wake Forest,Clemson,0,0,401411123,4014111232,2,1,1,"{'minutes': 11, 'seconds': 55}",3.0,3.0,88,88,1,10,False,53,Rush,Will Shipley run for 53 yds to the WFrst 35 for a 1ST down,3.75867120780736054,2022-09-24T16:14:45.000Z,4,Clemson,2022
401411123101887401,Clemson,ACC,Wake Forest,ACC,Wake Forest,Clemson,0,0,401411123,4014111232,2,2,1,"{'minutes': 11, 'seconds': 25}",3.0,3.0,35,35,1,10,False,0,Pass Reception,DJ Uiagalelei pass complete to Will Shipley for no gain to the WFrst 35,-0.6918622905019662,2022-09-24T16:15:09.000Z,4,Clemson,2022
401411123101889401,Clemson,ACC,Wake Forest,ACC,Wake Forest,Clemson,0,0,401411123,4014111232,2,3,1,"{'minutes': 11, 'seconds': 5}",3.0,3.0,35,35,2,10,False,-3,Rush,Will Shipley run for a loss of 3 yards to the WFrst 38,-1.5662698514982730,2022-09-24T16:15:39.000Z,4,Clemson,2022
401411123101896901,Clemson,ACC,Wake Forest,ACC,Wake Forest,Clemson,0,0,401411123,4014111232,2,4,1,"{'minutes': 10, 'seconds': 30}",3.0,3.0,38,38,3,13,False,15,Penalty,"Uiagalelei, DJ pass incomplete to Ngata, Joseph, PENALTY WAKEFOREST pass interference 15 yards to the WAKEFOREST23, NO PLAY, 1ST DOWN CLEMSON.",,2022-09-24T16:16:33.000Z,4,Clemson,2022
401411123101898401,Clemson,ACC,Wake Forest,ACC,Wake Forest,Clemson,0,0,401411123,4014111232,2,5,1,"{'minutes': 10, 'seconds': 15}",3.0,3.0,23,23,1,10,False,8,Pass Reception,DJ Uiagalelei pass complete to Jake Briningstool for 8 yds to the WFrst 15,0.4686479074717325,2022-09-24T16:17:08.000Z,4,Clemson,2022
401411123101905401,Clemson,ACC,Wake Forest,ACC,Wake Forest,Clemson,0,0,401411123,4014111232,2,6,1,"{'minutes': 9, 'seconds': 45}",3.0,3.0,15,15,2,2,False,1,Rush,Will Shipley run for 1 yd to the WFrst 14,-0.4250034569576545,2022-09-24T16:17:41.000Z,4,Clemson,2022
401411123101907401,Clemson,ACC,Wake Forest,ACC,Wake Forest,Clemson,0,0,401411123,4014111232,2,7,1,"{'minutes': 9, 'seconds': 25}",3.0,3.0,14,14,3,1,False,3,Rush,Will Shipley run for 3 yds to the WFrst 11 for a 1ST down,0.0985938141892255,2022-09-24T16:18:04.000Z,4,Clemson,2022
401411123101909001,Clemson,ACC,Wake Forest,ACC,Wake Forest,Clemson,0,0,401411123,4014111232,2,8,1,"{'minutes': 9, 'seconds': 9}",3.0,3.0,11,11,1,10,False,-5,Penalty,"CLEMSON Penalty, False Start (-5 Yards) to the WFrst 16",,2022-09-24T16:18:16.000Z,4,Clemson,2022
401411123101915401,Clemson,ACC,Wake Forest,ACC,Wake Forest,Clemson,0,0,401411123,4014111232,2,9,1,"{'minutes': 8, 'seconds': 45}",3.0,3.0,16,16,1,15,False,4,Rush,DJ Uiagalelei run for 4 yds to the WFrst 12,-0.026845784642967,2022-09-24T16:19:05.000Z,4,Clemson,2022
