id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426548101854803,Middle Tennessee,Conference USA,Colorado State,Mountain West,Colorado State,Middle Tennessee,7,0,401426548,4014265482,1,1,1,"{'minutes': 14, 'seconds': 51}",3,3,65,65,0,0,False,0,Kickoff,Scott Payne kickoff for 65 yds for a touchback,,2022-09-10T20:15:03.000Z,2,Colorado State,2022
401426548101855201,Colorado State,Mountain West,Middle Tennessee,Conference USA,Colorado State,Middle Tennessee,0,7,401426548,4014265482,1,2,1,"{'minutes': 14, 'seconds': 47}",3,3,25,75,1,10,False,4,Rush,A'Jon Vivens run for 4 yds to the ColSt 29,-0.1142886249388964,2022-09-10T20:15:03.000Z,2,Colorado State,2022
401426548101856601,Colorado State,Mountain West,Middle Tennessee,Conference USA,Colorado State,Middle Tennessee,0,7,401426548,4014265482,1,3,1,"{'minutes': 14, 'seconds': 33}",3,3,25,75,1,10,False,4,Rush,A'Jon Vivens run for 4 yds to the ColSt 29,-0.1142886249388964,2022-09-10T20:15:03.000Z,2,Colorado State,2022
401426548101857001,Colorado State,Mountain West,Middle Tennessee,Conference USA,Colorado State,Middle Tennessee,0,7,401426548,4014265482,1,4,1,"{'minutes': 14, 'seconds': 29}",3,3,29,71,2,6,False,-1,Rush,A'Jon Vivens run for a loss of 1 yard to the ColSt 28,-0.7409105172171424,2022-09-10T20:15:03.000Z,2,Colorado State,2022
401426548101858101,Colorado State,Mountain West,Middle Tennessee,Conference USA,Colorado State,Middle Tennessee,0,7,401426548,4014265482,1,5,1,"{'minutes': 14, 'seconds': 18}",3,3,29,71,2,6,False,-1,Rush,A'Jon Vivens run for a loss of 1 yard to the ColSt 28,-0.7409105172171424,2022-09-10T20:15:03.000Z,2,Colorado State,2022
401426548101865301,Colorado State,Mountain West,Middle Tennessee,Conference USA,Colorado State,Middle Tennessee,0,7,401426548,4014265482,1,6,1,"{'minutes': 13, 'seconds': 46}",3,3,28,72,3,7,False,0,Pass Incompletion,"Clay Millen pass incomplete to Tory Horton, broken up by Decorian Patterson",-0.26587881160037785,2022-09-10T20:15:03.000Z,2,Colorado State,2022
401426548101865601,Colorado State,Mountain West,Middle Tennessee,Conference USA,Colorado State,Middle Tennessee,0,7,401426548,4014265482,1,7,1,"{'minutes': 13, 'seconds': 43}",3,3,28,72,3,7,False,0,Pass Incompletion,Clay Millen pass incomplete,-0.26587881160037785,2022-09-10T20:15:03.000Z,2,Colorado State,2022
401426548101865901,Colorado State,Mountain West,Middle Tennessee,Conference USA,Colorado State,Middle Tennessee,0,7,401426548,4014265482,1,8,1,"{'minutes': 13, 'seconds': 40}",3,3,28,72,4,7,False,0,Punt,Paddy Turner punt for 42 yds,,2022-09-10T20:15:03.000Z,2,Colorado State,2022
401426548101866401,Colorado State,Mountain West,Middle Tennessee,Conference USA,Colorado State,Middle Tennessee,0,7,401426548,4014265482,1,9,1,"{'minutes': 13, 'seconds': 35}",3,3,28,72,4,7,False,0,Punt,Paddy Turner punt for 42 yds,,2022-09-10T20:22:44.000Z,2,Colorado State,2022
401426548101868301,Middle Tennessee,Conference USA,Colorado State,Mountain West,Colorado State,Middle Tennessee,7,0,401426548,4014265483,2,1,1,"{'minutes': 13, 'seconds': 16}",3,3,70,70,1,10,False,5,Pass Reception,Chase Cunningham pass complete to Yusuf Ali for 5 yds to the MTnSt 35,0.1029188553265588,2022-09-10T20:15:03.000Z,2,Colorado State,2022
