id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404002101849904,Colorado,Pac-12,Arizona,Pac-12,Arizona,Colorado,0,0,401404002,4014040021,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Cole Becker kickoff for 65 yds for a touchback,,2022-10-02T01:41:17.000Z,5,Colorado,2022
401404002101904101,Arizona,Pac-12,Colorado,Pac-12,Arizona,Colorado,7,0,401404002,4014040021,1,2,1,"{'minutes': 9, 'seconds': 58}",3,3,92,8,3,7,True,8,Passing Touchdown,Michael Wiley 8 Yd pass from Jayden de Laura (Tyler Loop Kick),2.9026099141960415,2022-10-02T01:43:12.000Z,5,Colorado,2022
401404002101904103,Arizona,Pac-12,Colorado,Pac-12,Arizona,Colorado,-6,-6,401404002,4014040021,1,3,1,"{'minutes': 9, 'seconds': 58}",3,3,35,65,1,10,False,60,Kickoff,"Tyler Loop kickoff for 65 yds for a touchback ARIZONA Penalty, off-side (-5 Yards)",,2022-10-02T01:53:12.000Z,5,Colorado,2022
401404002101936403,Colorado,Pac-12,Arizona,Pac-12,Arizona,Colorado,0,-6,401404002,4014040021,1,4,1,"{'minutes': 6, 'seconds': 35}",3,3,65,65,1,10,False,0,Kickoff,Cole Becker kickoff for 65 yds for a touchback,,2022-10-02T02:03:48.000Z,5,Colorado,2022
401404002101988003,Arizona,Pac-12,Colorado,Pac-12,Arizona,Colorado,-6,0,401404002,4014040021,1,5,1,"{'minutes': 1, 'seconds': 19}",3,3,35,65,1,10,False,0,Kickoff,Tyler Loop kickoff for 65 yds for a touchback,,2022-10-02T02:19:11.000Z,5,Colorado,2022
401404002101000098,Arizona,Pac-12,Colorado,Pac-12,Arizona,Colorado,0,0,401404002,4014040021,1,6,1,"{'minutes': 0, 'seconds': 0}",3,3,25,75,1,10,False,0,Pass Incompletion,pass incomplete to Jacob Cowing,-0.70297002204365193,2022-10-02T02:23:29.000Z,5,Colorado,2022
401404002101000099,Arizona,Pac-12,Colorado,Pac-12,Arizona,Colorado,0,0,401404002,4014040021,1,7,1,"{'minutes': 0, 'seconds': 0}",3,3,25,75,2,10,False,24,Rush,Michael Wiley run for 24 yds to the Ariz 49 for a 1ST down,2.85735793787203443,2022-10-02T02:23:29.000Z,5,Colorado,2022
401404002102918801,Arizona,Pac-12,Colorado,Pac-12,Arizona,Colorado,0,0,401404002,4014040021,1,8,2,"{'minutes': 8, 'seconds': 11}",3,3,35,65,1,10,False,19,Kickoff Return (Offense),"Tyler Loop kickoff for 65 yds , Nikko Reed return for 19 yds to the Colo 19",,2022-10-02T02:55:13.000Z,5,Colorado,2022
401404002102965703,Arizona,Pac-12,Colorado,Pac-12,Arizona,Colorado,0,-6,401404002,4014040021,1,9,2,"{'minutes': 3, 'seconds': 42}",3,3,35,65,1,10,False,0,Kickoff,Tyler Loop kickoff for 65 yds for a touchback,,2022-10-02T03:07:38.000Z,5,Colorado,2022
401404002102989403,Colorado,Pac-12,Arizona,Pac-12,Arizona,Colorado,0,1,401404002,4014040021,1,10,2,"{'minutes': 1, 'seconds': 5}",3,3,65,65,1,10,False,0,Kickoff,Cole Becker kickoff for 65 yds for a touchback,,2022-10-02T03:17:13.000Z,5,Colorado,2022
401404002103849901,Arizona,Pac-12,Colorado,Pac-12,Arizona,Colorado,0,0,401404002,4014040021,1,11,3,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Tyler Loop kickoff for 65 yds for a touchback,,2022-10-02T03:46:25.000Z,5,Colorado,2022
401404002103918903,Arizona,Pac-12,Colorado,Pac-12,Arizona,Colorado,-3,-6,401404002,4014040021,1,12,3,"{'minutes': 8, 'seconds': 10}",3,3,35,65,1,10,False,0,Kickoff,Tyler Loop kickoff for 65 yds for a touchback,,2022-10-02T03:57:13.000Z,5,Colorado,2022
401404002103954203,Colorado,Pac-12,Arizona,Pac-12,Arizona,Colorado,0,-3,401404002,4014040021,1,13,3,"{'minutes': 4, 'seconds': 57}",3,3,65,65,1,10,False,0,Kickoff,Cole Becker kickoff for 65 yds for a touchback,,2022-10-01T04:07:13.000Z,5,Colorado,2022
401404002103987702,Arizona,Pac-12,Colorado,Pac-12,Arizona,Colorado,1,1,401404002,4014040021,1,14,3,"{'minutes': 1, 'seconds': 22}",3,3,35,65,1,10,False,0,Kickoff,Tyler Loop kickoff for 65 yds for a touchback,,2022-10-01T04:19:34.000Z,5,Colorado,2022
