id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401416604101849903,Eastern Michigan,Mid-American,Buffalo,Mid-American,Eastern Michigan,Buffalo,0,0,401416604,4014166041,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Brady Pohl kickoff for 65 yds for a touchback,,2022-09-24T16:03:14.000Z,4,Eastern Michigan,2022
401416604101855601,Buffalo,Mid-American,Eastern Michigan,Mid-American,Eastern Michigan,Buffalo,0,0,401416604,4014166041,1,2,1,"{'minutes': 14, 'seconds': 43}",3,3,75,75,1,10,False,9,Pass Reception,Cole Snyder pass complete to Trevor Borland for 9 yds to the Buff 34,1.2523083597886239,2022-09-24T16:04:13.000Z,4,Eastern Michigan,2022
401416604101858501,Buffalo,Mid-American,Eastern Michigan,Mid-American,Eastern Michigan,Buffalo,0,0,401416604,4014166041,1,3,1,"{'minutes': 14, 'seconds': 14}",3,3,66,66,2,1,False,6,Rush,Ron Cook Jr. run for 6 yds to the Buff 40 for a 1ST down,0.0685461557890222,2022-09-24T16:04:37.000Z,4,Eastern Michigan,2022
401416604101864201,Buffalo,Mid-American,Eastern Michigan,Mid-American,Eastern Michigan,Buffalo,0,0,401416604,4014166041,1,4,1,"{'minutes': 13, 'seconds': 57}",3,3,60,60,1,10,False,59,Pass Reception,Cole Snyder pass complete to Quian Williams for 59 yds to the EMich 1 for a 1ST down,3.8188793290232324,2022-09-24T16:03:14.000Z,4,Eastern Michigan,2022
401416604101868401,Buffalo,Mid-American,Eastern Michigan,Mid-American,Eastern Michigan,Buffalo,0,0,401416604,4014166041,1,5,1,"{'minutes': 13, 'seconds': 15}",2,3,1,1,1,1,False,0,Timeout,"Timeout BUFFALO, clock 13:15",,2022-09-24T16:03:14.000Z,4,Eastern Michigan,2022
401416604101868801,Buffalo,Mid-American,Eastern Michigan,Mid-American,Eastern Michigan,Buffalo,7,0,401416604,4014166041,1,6,1,"{'minutes': 13, 'seconds': 11}",2,3,1,1,1,1,True,1,Rushing Touchdown,"Cole Snyder run for 1 yd for a TD, (Alex McNulty KICK)",0.938021275120443,2022-09-24T16:07:59.000Z,4,Eastern Michigan,2022
401416604101868804,Eastern Michigan,Mid-American,Buffalo,Mid-American,Eastern Michigan,Buffalo,0,0,401416604,4014166041,1,7,1,"{'minutes': 13, 'seconds': 11}",2,2,97,3,1,10,False,0,Timeout,"Timeout EASTRN MICHIGAN, clock 13:11",,2022-09-24T16:07:59.000Z,4,Eastern Michigan,2022
401416604101874202,Buffalo,Mid-American,Eastern Michigan,Mid-American,Eastern Michigan,Buffalo,7,7,401416604,4014166042,2,1,1,"{'minutes': 12, 'seconds': 57}",2,2,65,65,1,10,True,89,Kickoff Return Touchdown,Jaylon Jackson 89 Yd Kickoff Return (Jesus Gomez Kick),,2022-09-24T16:14:25.000Z,4,Eastern Michigan,2022
401416604101874203,Eastern Michigan,Mid-American,Buffalo,Mid-American,Eastern Michigan,Buffalo,15,15,401416604,4014166042,2,2,1,"{'minutes': 12, 'seconds': 57}",2,2,35,65,1,10,False,0,Kickoff,Brady Pohl kickoff for 65 yds for a touchback,,2022-09-24T16:14:25.000Z,4,Eastern Michigan,2022
401416604101874205,Buffalo,Mid-American,Eastern Michigan,Mid-American,Eastern Michigan,Buffalo,15,15,401416604,4014166042,2,3,1,"{'minutes': 12, 'seconds': 57}",2,2,75,75,1,10,False,4,Rush,Ron Cook Jr. run for 4 yds to the Buff 29,-0.1142886249388964,2022-09-24T16:14:25.000Z,4,Eastern Michigan,2022
