id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426555101849904,UCF,American Athletic,Florida Atlantic,Conference USA,Florida Atlantic,UCF,0,0,401426555,4014265551,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,74,Kickoff,"Ryker Casey kickoff for 62 yds FLA ATLANTIC Penalty, personal foul (Wyatt Sullivan) to the FlAtl 13",,2022-09-17T23:35:55.000Z,3,Florida Atlantic,2022
401426555101869901,Florida Atlantic,Conference USA,UCF,American Athletic,Florida Atlantic,UCF,7,0,401426555,4014265551,1,2,1,"{'minutes': 13, 'seconds': 0}",3,3,85,15,2,6,True,15,Rushing Touchdown,"Z. Mobley run for 15 yds for a TD, (M. Suarez KICK), (M. Suarez KICK), (M. Suarez KICK)",2.628943520560526,2022-09-17T23:41:26.000Z,3,Florida Atlantic,2022
401426555101874501,Florida Atlantic,Conference USA,UCF,American Athletic,Florida Atlantic,UCF,-6,-6,401426555,4014265551,1,3,1,"{'minutes': 12, 'seconds': 54}",3,3,35,65,1,10,False,15,Kickoff Return (Offense),"Carter Davis kickoff for 62 yds , Johnny Richardson return for 15 yds to the UCF 18",,2022-09-17T23:43:55.000Z,3,Florida Atlantic,2022
401426555101949001,UCF,American Athletic,Florida Atlantic,Conference USA,Florida Atlantic,UCF,0,-6,401426555,4014265551,1,4,1,"{'minutes': 5, 'seconds': 9}",3,3,65,65,1,10,False,12,Kickoff Return (Offense),"Ryker Casey kickoff for 65 yds , Jayshon Platt return for 12 yds to the FlAtl 12",,2022-09-18T00:08:04.000Z,3,Florida Atlantic,2022
401426555101999103,Florida Atlantic,Conference USA,UCF,American Athletic,Florida Atlantic,UCF,0,0,401426555,4014265551,1,5,1,"{'seconds': 8, 'minutes': 0}",3,3,35,65,1,10,False,0,Kickoff,Carter Davis kickoff for 65 yds for a touchback,,2022-09-18T00:15:32.000Z,3,Florida Atlantic,2022
401426555101000001,Florida Atlantic,Conference USA,UCF,American Athletic,Florida Atlantic,UCF,0,0,401426555,4014265551,1,6,1,"{'minutes': 0, 'seconds': 0}",3,3,13,87,1,10,False,34,Rush,Larry McCammon run for 34 yds to the FlAtl 47 for a 1ST down,2.60149618529432394,2022-09-17T23:35:55.000Z,3,Florida Atlantic,2022
401426555101000002,Florida Atlantic,Conference USA,UCF,American Athletic,Florida Atlantic,UCF,0,0,401426555,4014265551,1,7,1,"{'minutes': 0, 'seconds': 0}",3,3,47,53,1,10,False,19,Pass Reception,N'Kosi Perry pass complete to Jahmal Edrine for 19 yds to the UCF 34 for a 1ST down,1.1585732726596377,2022-09-17T23:35:55.000Z,3,Florida Atlantic,2022
401426555101000003,Florida Atlantic,Conference USA,UCF,American Athletic,Florida Atlantic,UCF,0,0,401426555,4014265551,1,8,1,"{'minutes': 0, 'seconds': 0}",3,3,66,34,1,10,False,0,Pass Incompletion,pass incomplete to Jahmal Edrine,-0.6630222646782312,2022-09-17T23:35:55.000Z,3,Florida Atlantic,2022
401426555101000004,Florida Atlantic,Conference USA,UCF,American Athletic,Florida Atlantic,UCF,0,0,401426555,4014265551,1,9,1,"{'minutes': 0, 'seconds': 0}",3,3,66,34,2,10,False,15,Rush,Larry McCammon run for 15 yds to the UCF 19 for a 1ST down,0.9953007969543782,2022-09-17T23:35:55.000Z,3,Florida Atlantic,2022
401426555101000005,Florida Atlantic,Conference USA,UCF,American Athletic,Florida Atlantic,UCF,0,0,401426555,4014265551,1,10,1,"{'minutes': 0, 'seconds': 0}",3,3,81,19,1,10,False,4,Rush,Larry McCammon run for 4 yds to the UCF 15,-0.024495891923003,2022-09-17T23:35:55.000Z,3,Florida Atlantic,2022
401426555102878902,UCF,American Athletic,Florida Atlantic,Conference USA,Florida Atlantic,UCF,0,0,401426555,4014265551,1,11,2,"{'minutes': 12, 'seconds': 10}",3,3,65,65,1,10,False,0,Kickoff,Ryker Casey kickoff for 65 yds for a touchback,,2022-09-18T00:30:52.000Z,3,Florida Atlantic,2022
401426555102919603,UCF,American Athletic,Florida Atlantic,Conference USA,Florida Atlantic,UCF,0,0,401426555,4014265551,1,12,2,"{'minutes': 8, 'seconds': 3}",3,3,65,65,1,10,False,0,Kickoff,Ryker Casey kickoff for 65 yds for a touchback,,2022-09-18T00:43:29.000Z,3,Florida Atlantic,2022
401426555103907403,UCF,American Athletic,Florida Atlantic,Conference USA,Florida Atlantic,UCF,-6,0,401426555,4014265551,1,13,3,"{'minutes': 9, 'seconds': 25}",3,3,65,65,1,10,False,0,Kickoff,Ryker Casey kickoff for 65 yds for a touchback,,2022-09-18T01:48:02.000Z,3,Florida Atlantic,2022
