id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401411104101854603,Western Carolina,Southern,Georgia Tech,ACC,Georgia Tech,Western Carolina,0,0,401411104,4014111041,1,1,1,"{'minutes': 14, 'seconds': 53}",3,3,65,65,0,0,False,18,Kickoff Return (Offense),"Paxton Robertson kickoff for 57 yds , Hassan Hall return for 18 yds to the GTech 26",,2022-09-10T23:04:15.000Z,2,Georgia Tech,2022
401411104101854604,Georgia Tech,ACC,Western Carolina,Southern,Georgia Tech,Western Carolina,0,0,401411104,4014111041,1,2,1,"{'minutes': 14, 'seconds': 53}",3,3,26,74,1,10,False,12,Pass Reception,Jeff Sims pass complete to Peje' Harris for 12 yds to the GTech 38 for a 1ST down,1.0537726717814753,2022-09-10T23:04:15.000Z,2,Georgia Tech,2022
401411104101854605,Georgia Tech,ACC,Western Carolina,Southern,Georgia Tech,Western Carolina,0,0,401411104,4014111041,1,3,1,"{'minutes': 14, 'seconds': 53}",3,3,38,62,1,10,False,7,Rush,Nate McCollum run for 7 yds to the GTech 45,0.7103851122578036,2022-09-10T23:04:15.000Z,2,Georgia Tech,2022
401411104101854606,Georgia Tech,ACC,Western Carolina,Southern,Georgia Tech,Western Carolina,0,0,401411104,4014111041,1,4,1,"{'minutes': 14, 'seconds': 53}",3,3,45,55,2,3,False,2,Rush,Dylan McDuffie run for 2 yds to the GTech 47,-0.766914583978803,2022-09-10T23:04:15.000Z,2,Georgia Tech,2022
401411104101854607,Georgia Tech,ACC,Western Carolina,Southern,Georgia Tech,Western Carolina,0,0,401411104,4014111041,1,5,1,"{'minutes': 14, 'seconds': 53}",3,3,47,53,3,1,False,-1,Rush,Dylan McDuffie run for a loss of 1 yard to the GTech 46,-1.2749964128491387,2022-09-10T23:04:15.000Z,2,Georgia Tech,2022
401411104101874101,Georgia Tech,ACC,Western Carolina,Southern,Georgia Tech,Western Carolina,0,0,401411104,4014111041,1,6,1,"{'minutes': 12, 'seconds': 58}",3,3,46,54,4,2,False,0,Punt,David Shanahan punt for 43 yds,,2022-09-10T23:05:36.000Z,2,Georgia Tech,2022
401411104101874110,Georgia Tech,ACC,Western Carolina,Southern,Georgia Tech,Western Carolina,0,0,401411104,4014111041,1,7,1,"{'minutes': 12, 'seconds': 58}",3,3,46,54,4,2,False,0,Punt,"David Shanahan punt for 43 yds, fair catch by AJ Colombo at the WCaro 11",,2022-09-10T23:08:39.000Z,2,Georgia Tech,2022
401411104101874103,Western Carolina,Southern,Georgia Tech,ACC,Georgia Tech,Western Carolina,0,0,401411104,4014111042,2,1,1,"{'minutes': 12, 'seconds': 58}",3,3,89,89,1,10,False,12,Pass Reception,Carlos Davis pass complete to Raphael Williams for 12 yds to the WCaro 23 for a 1ST down,0.55321521393827484,2022-09-10T23:08:39.000Z,2,Georgia Tech,2022
401411104101874105,Western Carolina,Southern,Georgia Tech,ACC,Georgia Tech,Western Carolina,0,0,401411104,4014111042,2,2,1,"{'minutes': 12, 'seconds': 58}",3,3,77,77,1,10,False,2,Rush,TJ Jones run for 2 yds to the WCaro 25,-0.41522254917671026,2022-09-10T23:05:36.000Z,2,Georgia Tech,2022
401411104101874109,Western Carolina,Southern,Georgia Tech,ACC,Georgia Tech,Western Carolina,0,0,401411104,4014111042,2,3,1,"{'minutes': 12, 'seconds': 58}",3,3,70,70,2,3,False,0,Pass Incompletion,Carlos Davis pass incomplete,-0.92838100900075563,2022-09-10T23:05:36.000Z,2,Georgia Tech,2022
401411104101874111,Western Carolina,Southern,Georgia Tech,ACC,Georgia Tech,Western Carolina,0,0,401411104,4014111042,2,4,1,"{'minutes': 12, 'seconds': 58}",3,3,75,75,2,8,False,5,Penalty,"DAVIS, Carlos pass to the right incomplete intended for WHITE, David thrown to the GT 33. PENALTY GT Offsides on WHITE, Keion enforced 5 yards from the WCU25 to the WCU30 [NHSG]. NO PLAY (replay the down).",,2022-09-10T23:08:39.000Z,2,Georgia Tech,2022
401411104101874112,Western Carolina,Southern,Georgia Tech,ACC,Georgia Tech,Western Carolina,0,0,401411104,4014111042,2,5,1,"{'minutes': 12, 'seconds': 58}",3,3,70,70,3,3,False,21,Pass Reception,Carlos Davis pass complete to Censere Lee for 21 yds to the GTech 49 for a 1ST down,2.80295313634574403,2022-09-10T23:08:39.000Z,2,Georgia Tech,2022
401411104101888703,Western Carolina,Southern,Georgia Tech,ACC,Georgia Tech,Western Carolina,7,0,401411104,4014111042,2,6,1,"{'minutes': 11, 'seconds': 12}",3,3,49,49,1,10,True,49,Passing Touchdown,Terrence Horne 49 Yd pass from Carlos Davis (Richard McCollum Kick),3.7623305516372483,2022-09-10T23:13:08.000Z,2,Georgia Tech,2022
401411104101889313,Georgia Tech,ACC,Western Carolina,Southern,Georgia Tech,Western Carolina,0,7,401411104,4014111043,3,1,1,"{'minutes': 11, 'seconds': 6}",3,3,44,56,3,10,False,19,Pass Reception,Jeff Sims pass complete to Luke Benson for 19 yds to the WCaro 37 for a 1ST down,3.3613109639023638,2022-09-10T23:13:35.000Z,2,Georgia Tech,2022
401411104101889315,Georgia Tech,ACC,Western Carolina,Southern,Georgia Tech,Western Carolina,0,7,401411104,4014111043,3,2,1,"{'minutes': 11, 'seconds': 6}",3,3,63,37,1,10,False,7,Rush,Jeff Sims run for 7 yds to the WCaro 30,0.4132162669128242,2022-09-10T23:13:35.000Z,2,Georgia Tech,2022
401411104101889321,Georgia Tech,ACC,Western Carolina,Southern,Georgia Tech,Western Carolina,0,7,401411104,4014111043,3,3,1,"{'minutes': 11, 'seconds': 6}",3,3,70,30,2,3,False,21,Rush,Jeff Sims run for 21 yds to the WCaro 9 for a 1ST down,0.213954540917451,2022-09-10T23:17:39.000Z,2,Georgia Tech,2022
401411104101889322,Western Carolina,Southern,Georgia Tech,ACC,Georgia Tech,Western Carolina,7,0,401411104,4014111043,3,4,1,"{'minutes': 11, 'seconds': 6}",3,3,65,65,0,0,False,28,Kickoff Return (Offense),"Paxton Robertson kickoff for 65 yds , Hassan Hall return for 28 yds to the GTech 28",,2022-09-10T23:17:39.000Z,2,Georgia Tech,2022
