id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404120101849902,Iowa State,Big 12,TCU,Big 12,TCU,Iowa State,0,0,401404120,4014041201,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,19,Kickoff Return (Offense),"Keegan Shackford kickoff for 57 yds , Shadrach Banks return for 19 yds to the TCU 27",,2022-11-26T21:11:56.000Z,13,Iowa State,2022
401404120101854901,TCU,Big 12,Iowa State,Big 12,TCU,Iowa State,0,0,401404120,4014041201,1,2,1,"{'minutes': 14, 'seconds': 50}",3,3,27,73,1,10,False,3,Rush,Kendre Miller run for 3 yds to the TCU 30,-0.3204076759721195,2022-11-26T21:13:04.000Z,13,Iowa State,2022
401404120101857901,TCU,Big 12,Iowa State,Big 12,TCU,Iowa State,0,0,401404120,4014041201,1,3,1,"{'minutes': 14, 'seconds': 20}",3,3,30,70,2,7,False,2,Pass Reception,Max Duggan pass complete to Savion Williams for 2 yds to the TCU 32,-0.3991022731072178,2022-11-26T21:13:44.000Z,13,Iowa State,2022
401404120101865401,TCU,Big 12,Iowa State,Big 12,TCU,Iowa State,0,0,401404120,4014041201,1,4,1,"{'minutes': 13, 'seconds': 45}",3,3,32,68,3,5,False,19,Pass Reception,Max Duggan pass complete to Trent Battle for 19 yds to the IowSt 49 for a 1ST down,2.8898948316640256,2022-11-26T21:14:04.000Z,13,Iowa State,2022
401404120101868801,TCU,Big 12,Iowa State,Big 12,TCU,Iowa State,0,0,401404120,4014041201,1,5,1,"{'minutes': 13, 'seconds': 11}",3,3,51,49,1,10,False,10,Rush,Kendre Miller run for 10 yds to the IowSt 39 for a 1ST down,0.6218919967056973,2022-11-26T21:14:43.000Z,13,Iowa State,2022
401404120101875801,TCU,Big 12,Iowa State,Big 12,TCU,Iowa State,0,0,401404120,4014041201,1,6,1,"{'minutes': 12, 'seconds': 41}",3,3,61,39,1,10,False,12,Pass Reception,Max Duggan pass complete to Kendre Miller for 12 yds to the IowSt 27 for a 1ST down,0.399157713540065,2022-11-26T21:15:24.000Z,13,Iowa State,2022
401404120101879301,TCU,Big 12,Iowa State,Big 12,TCU,Iowa State,0,0,401404120,4014041201,1,7,1,"{'minutes': 12, 'seconds': 6}",3,3,73,27,1,10,False,2,Rush,Emari Demercado run for 2 yds to the IowSt 25,-0.262946006262057,2022-11-26T21:16:00.000Z,13,Iowa State,2022
401404120101886001,TCU,Big 12,Iowa State,Big 12,TCU,Iowa State,0,0,401404120,4014041201,1,8,1,"{'minutes': 11, 'seconds': 39}",3,3,75,25,2,8,False,4,Pass Reception,Max Duggan pass complete to Geor'Quarius Spivey for 4 yds to the IowSt 21,-0.058803236590336,2022-11-26T21:16:27.000Z,13,Iowa State,2022
401404120101889501,TCU,Big 12,Iowa State,Big 12,TCU,Iowa State,0,0,401404120,4014041201,1,9,1,"{'minutes': 11, 'seconds': 4}",3,3,79,21,3,4,False,2,Rush,Kendre Miller run for 2 yds to the IowSt 19,-0.330246366684287,2022-11-26T21:17:02.000Z,13,Iowa State,2022
401404120101898601,TCU,Big 12,Iowa State,Big 12,TCU,Iowa State,7,0,401404120,4014041201,1,10,1,"{'minutes': 10, 'seconds': 13}",3,3,81,19,4,2,True,19,Passing Touchdown,"Max Duggan pass complete to Geor'Quarius Spivey for 19 yds for a TD, (Griffin Kell KICK)",3.393276450928166,2022-11-26T21:18:22.000Z,13,Iowa State,2022
