id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404088101849902,Kansas State,Big 12,Iowa State,Big 12,Iowa State,Kansas State,0,0,401404088,4014040881,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Ty Zentner kickoff for 65 yds for a touchback,,2022-10-08T23:37:20.000Z,6,Kansas State,2022
401404088101849907,Kansas State,Big 12,Iowa State,Big 12,Iowa State,Kansas State,0,0,401404088,4014040881,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Ty Zentner kickoff for 65 yds for a touchback,,2022-10-08T23:38:02.000Z,6,Kansas State,2022
401404088101849908,Iowa State,Big 12,Kansas State,Big 12,Iowa State,Kansas State,0,0,401404088,4014040881,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,5,Rush,Jirehl Brock run for 5 yds to the IowSt 30,0.0945451165334843,2022-10-08T23:38:02.000Z,6,Kansas State,2022
401404088101849909,Iowa State,Big 12,Kansas State,Big 12,Iowa State,Kansas State,0,0,401404088,4014040881,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,30,70,2,5,False,0,Pass Incompletion,Hunter Dekkers pass incomplete,-0.75373247206591025,2022-10-08T23:38:02.000Z,6,Kansas State,2022
401404088101849910,Iowa State,Big 12,Kansas State,Big 12,Iowa State,Kansas State,0,0,401404088,4014040881,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,30,70,3,5,False,9,Pass Reception,Hunter Dekkers pass complete to Dimitri Stanley for 9 yds to the IowSt 39 for a 1ST down,1.88192643878888145,2022-10-08T23:38:02.000Z,6,Kansas State,2022
401404088101849911,Iowa State,Big 12,Kansas State,Big 12,Iowa State,Kansas State,0,0,401404088,4014040881,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,39,61,1,10,False,0,Pass Incompletion,Hunter Dekkers pass incomplete,-1.1077677360468863,2022-10-08T23:38:02.000Z,6,Kansas State,2022
401404088101849912,Iowa State,Big 12,Kansas State,Big 12,Iowa State,Kansas State,0,0,401404088,4014040881,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,39,61,2,10,False,6,Pass Reception,Hunter Dekkers pass complete to Jaylin Noel for 6 yds to the IowSt 45,0.2822103172169043,2022-10-08T23:38:02.000Z,6,Kansas State,2022
401404088101849913,Iowa State,Big 12,Kansas State,Big 12,Iowa State,Kansas State,0,0,401404088,4014040881,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,45,55,3,4,False,0,Pass Incompletion,Hunter Dekkers pass incomplete,-0.8464656218988579,2022-10-08T23:38:02.000Z,6,Kansas State,2022
401404088101868201,Iowa State,Big 12,Kansas State,Big 12,Iowa State,Kansas State,0,0,401404088,4014040881,1,9,1,"{'minutes': 13, 'seconds': 17}",3,3,45,55,4,4,False,0,Punt,"Tyler Perkins punt for 41 yds, fair catch by Phillip Brooks at the KanSt 14",,2022-10-08T23:38:02.000Z,6,Kansas State,2022
401404088101868203,Kansas State,Big 12,Iowa State,Big 12,Iowa State,Kansas State,0,0,401404088,4014040882,2,1,1,"{'minutes': 13, 'seconds': 17}",3,3,86,86,1,10,False,5,Rush,Deuce Vaughn run for 5 yds to the KanSt 19,0.07552653853059345,2022-10-08T23:38:02.000Z,6,Kansas State,2022
