id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401416628101849903,Akron,Mid-American,Kent State,Mid-American,Kent State,Akron,0,0,401416628,4014166281,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Noah Gettman kickoff for 65 yds for a touchback,,2022-10-22T16:07:14.000Z,8,Kent State,2022
401416628101849905,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,0,401416628,4014166281,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,8,Rush,Marquez Cooper run for 8 yds to the KntSt 33,0.9104368550610653,2022-10-22T16:07:14.000Z,8,Kent State,2022
401416628101849906,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,0,401416628,4014166281,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,33,67,2,2,False,4,Rush,Marquez Cooper run for 4 yds to the KntSt 37 for a 1ST down,0.1168074710825060,2022-10-22T16:07:14.000Z,8,Kent State,2022
401416628101849907,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,0,401416628,4014166281,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,37,63,1,10,False,46,Rush,Marquez Cooper run for 46 yds to the Akron 17 for a 1ST down,2.4706076907933362,2022-10-22T16:07:14.000Z,8,Kent State,2022
401416628101849908,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,0,401416628,4014166281,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,88,12,1,5,False,2,Rush,Marquez Cooper run for 2 yds to the Akron 14,-0.328960923783877,2022-10-22T16:07:14.000Z,8,Kent State,2022
401416628101849909,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,0,401416628,4014166281,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,86,14,2,7,False,-10,Penalty,"No Huddle-Shotgun Kargman,Devin pass incomplete short left to Leach,Kris PENALTY KENT Holding (Marshall,Marcellus) 10 yards from ZIPS14 to ZIPS24. NO PLAY.",,2022-10-22T16:07:14.000Z,8,Kent State,2022
401416628101849910,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,0,401416628,4014166281,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,76,24,2,17,False,2,Rush,Marquez Cooper run for 2 yds to the Akron 22,-0.4102070815623602,2022-10-22T16:07:14.000Z,8,Kent State,2022
401416628101849911,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,0,401416628,4014166281,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,78,22,3,15,False,2,Rush,Marquez Cooper run for 2 yds to the Akron 20,-0.5130297436915043,2022-10-22T16:07:14.000Z,8,Kent State,2022
401416628101887501,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,0,401416628,4014166281,1,9,1,"{'minutes': 11, 'seconds': 24}",3,3,80,20,4,13,False,37,Field Goal Missed,Andrew Glass 37 yd FG MISSED,,2022-10-22T16:07:14.000Z,8,Kent State,2022
401416628101888701,Akron,Mid-American,Kent State,Mid-American,Kent State,Akron,7,0,401416628,4014166282,2,1,1,"{'minutes': 11, 'seconds': 12}",3,3,80,80,1,10,True,80,Passing Touchdown,"DJ Irons pass complete to Alex Adams for 80 yds for a TD, (Cory Smigel KICK)",6.3860577956051028,2022-10-22T16:10:07.000Z,8,Kent State,2022
401416628101888703,Akron,Mid-American,Kent State,Mid-American,Kent State,Akron,7,0,401416628,4014166283,3,1,1,"{'minutes': 11, 'seconds': 12}",3,3,65,65,1,10,False,0,Kickoff,Noah Gettman kickoff for 65 yds for a touchback,,2022-10-22T16:10:07.000Z,8,Kent State,2022
401416628101888705,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,7,401416628,4014166283,3,2,1,"{'minutes': 11, 'seconds': 12}",3,3,25,75,1,10,False,8,Rush,Marquez Cooper run for 8 yds to the KntSt 33,0.9104368550610653,2022-10-22T16:10:07.000Z,8,Kent State,2022
401416628101888706,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,7,401416628,4014166283,3,3,1,"{'minutes': 11, 'seconds': 12}",3,3,33,67,2,2,False,4,Rush,Bryan Bradford run for 4 yds to the KntSt 37 for a 1ST down,0.1168074710825060,2022-10-22T16:10:07.000Z,8,Kent State,2022
401416628101888707,Kent State,Mid-American,Akron,Mid-American,Kent State,Akron,0,7,401416628,4014166283,3,4,1,"{'minutes': 11, 'seconds': 12}",3,3,37,63,1,10,False,0,Pass Incompletion,Devin Kargman pass incomplete to Dante Cephas,-1.0657010802154590,2022-10-22T16:16:08.000Z,8,Kent State,2022
