id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403930101849902,Kentucky,SEC,Tennessee,SEC,Tennessee,Kentucky,0,0,401403930,4014039301,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Chance Poore kickoff for 64 yds for a touchback,,2022-10-29T23:11:59.000Z,9,Kentucky,2022
401403930101855401,Tennessee,SEC,Kentucky,SEC,Tennessee,Kentucky,0,0,401403930,4014039301,1,2,1,"{'minutes': 14, 'seconds': 45}",3,3,25,75,1,10,False,5,Pass Reception,Hendon Hooker pass complete to Jalin Hyatt for 5 yds to the Tenn 30,0.0945451165334843,2022-10-29T23:13:05.000Z,9,Kentucky,2022
401403930101856701,Tennessee,SEC,Kentucky,SEC,Tennessee,Kentucky,0,0,401403930,4014039301,1,3,1,"{'minutes': 14, 'seconds': 32}",3,3,30,70,2,5,False,3,Pass Reception,Hendon Hooker pass complete to Cedric Tillman for 3 yds to the Tenn 33,-0.3141325711590933,2022-10-29T23:13:18.000Z,9,Kentucky,2022
401403930101858901,Tennessee,SEC,Kentucky,SEC,Tennessee,Kentucky,0,0,401403930,4014039301,1,4,1,"{'minutes': 14, 'seconds': 10}",3,3,33,67,3,2,False,8,Pass Reception,Hendon Hooker pass complete to Cedric Tillman for 8 yds to the Tenn 41 for a 1ST down,1.6383302245485032,2022-10-29T23:13:55.000Z,9,Kentucky,2022
401403930101864401,Tennessee,SEC,Kentucky,SEC,Tennessee,Kentucky,0,0,401403930,4014039301,1,5,1,"{'minutes': 13, 'seconds': 55}",3,3,41,59,1,10,False,4,Rush,Jabari Small run for 4 yds to the Tenn 45,-0.1673002614345122,2022-10-29T23:14:25.000Z,9,Kentucky,2022
401403930101866601,Tennessee,SEC,Kentucky,SEC,Tennessee,Kentucky,7,0,401403930,4014039301,1,6,1,"{'minutes': 13, 'seconds': 33}",3,3,45,55,2,6,True,55,Passing Touchdown,"Hendon Hooker pass complete to Jalin Hyatt for 55 yds for a TD, (Chase McGrath KICK)",4.8263126112329395,2022-10-29T23:14:56.000Z,9,Kentucky,2022
401403930101866603,Tennessee,SEC,Kentucky,SEC,Tennessee,Kentucky,7,0,401403930,4014039302,2,1,1,"{'minutes': 13, 'seconds': 33}",3,3,35,65,2,6,False,4,Kickoff Return (Offense),"Paxton Brooks kickoff for 52 yds , JuTahn McClain return for 4 yds to the Kent 17",,2022-10-29T23:14:56.000Z,9,Kentucky,2022
401403930101867901,Kentucky,SEC,Tennessee,SEC,Tennessee,Kentucky,0,7,401403930,4014039302,2,2,1,"{'minutes': 13, 'seconds': 20}",3,3,83,83,1,10,False,0,Rush,Chris Rodriguez Jr. run for no gain to the Kent 17,-0.48436415563340685,2022-10-29T23:17:44.000Z,9,Kentucky,2022
401403930101876901,Kentucky,SEC,Tennessee,SEC,Tennessee,Kentucky,0,7,401403930,4014039302,2,3,1,"{'minutes': 12, 'seconds': 30}",3,3,83,83,2,10,False,0,Rush,Chris Rodriguez Jr. run for no gain to the Kent 17,-0.22048200027874198,2022-10-29T23:18:17.000Z,9,Kentucky,2022
401403930101885301,Kentucky,SEC,Tennessee,SEC,Tennessee,Kentucky,0,7,401403930,4014039302,2,4,1,"{'minutes': 11, 'seconds': 46}",3,3,83,83,3,10,False,0,Pass Incompletion,Will Levis pass incomplete to Barion Brown,-0.09676307571242227,2022-10-29T23:18:57.000Z,9,Kentucky,2022
401403930101886501,Kentucky,SEC,Tennessee,SEC,Tennessee,Kentucky,0,7,401403930,4014039302,2,5,1,"{'minutes': 11, 'seconds': 34}",3,3,83,83,4,10,False,0,Punt,"Colin Goodfellow punt for 46 yds, downed at the Tenn 37",,2022-10-29T23:20:09.000Z,9,Kentucky,2022
401403930101887201,Tennessee,SEC,Kentucky,SEC,Tennessee,Kentucky,7,0,401403930,4014039303,3,1,1,"{'minutes': 11, 'seconds': 27}",3,3,37,63,1,10,False,-15,Penalty,"Hooker, Hendon pass complete to Tillman, Cedric for 3 yards to the TENNESSEE40, PENALTY TENNESSEE pass interference 15 yards to the TENNESSEE22, NO PLAY.",,2022-10-29T23:24:16.000Z,9,Kentucky,2022
