id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404162101849906,Liberty,FBS Independents,Gardner-Webb,Big South,Liberty,Gardner-Webb,0,0,401404162,4014041621,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Jason Stricker kickoff for 65 yds for a touchback,,2022-10-15T19:33:16.000Z,7,Liberty,2022
401404162101856101,Gardner-Webb,Big South,Liberty,FBS Independents,Liberty,Gardner-Webb,0,0,401404162,4014041621,1,2,1,"{'minutes': 14, 'seconds': 38}",3,3,87,87,1,22,False,0,Interception,Bailey Fisher pass intercepted,0.2338725773206498,2022-10-15T19:35:54.000Z,7,Liberty,2022
401404162101856103,Liberty,FBS Independents,Gardner-Webb,Big South,Liberty,Gardner-Webb,0,0,401404162,4014041622,2,1,1,"{'minutes': 14, 'seconds': 38}",3,3,86,14,1,10,False,0,Rush,Johnathan Bennett run for no gain to the GrdWb 14,-0.3125697195395781,2022-10-15T19:35:54.000Z,7,Liberty,2022
401404162101859901,Liberty,FBS Independents,Gardner-Webb,Big South,Liberty,Gardner-Webb,0,0,401404162,4014041622,2,2,1,"{'minutes': 14, 'seconds': 0}",3,3,86,14,2,10,False,-3,Fumble Recovery (Opponent),"Shedro Louis run for a loss of 3 yards to the GrdWb 17 Shedro Louis fumbled, recovered by GrdWb William McRainey",,2022-10-15T19:37:07.000Z,7,Liberty,2022
401404162101859903,Gardner-Webb,Big South,Liberty,FBS Independents,Liberty,Gardner-Webb,0,0,401404162,4014041623,3,1,1,"{'minutes': 14, 'seconds': 0}",3,3,83,83,1,10,False,6,Rush,Narii Gaither run for 6 yds to the GrdWb 23,0.2630652541633021,2022-10-15T19:37:07.000Z,7,Liberty,2022
401404162101859904,Gardner-Webb,Big South,Liberty,FBS Independents,Liberty,Gardner-Webb,0,0,401404162,4014041623,3,2,1,"{'minutes': 14, 'seconds': 0}",3,3,77,77,2,4,False,4,Rush,Narii Gaither run for 4 yds to the GrdWb 27 for a 1ST down,0.3394018941664187,2022-10-15T19:37:07.000Z,7,Liberty,2022
401404162101859905,Gardner-Webb,Big South,Liberty,FBS Independents,Liberty,Gardner-Webb,0,0,401404162,4014041623,3,3,1,"{'minutes': 14, 'seconds': 0}",3,3,73,73,1,10,False,2,Pass Reception,Bailey Fisher pass complete to T.J. Luther for 2 yds to the GrdWb 29,-0.4908856028320683,2022-10-15T19:37:07.000Z,7,Liberty,2022
401404162101859906,Gardner-Webb,Big South,Liberty,FBS Independents,Liberty,Gardner-Webb,0,0,401404162,4014041623,3,4,1,"{'minutes': 14, 'seconds': 0}",3,3,71,71,2,8,False,0,Rush,Narii Gaither run for no gain to the GrdWb 29,-0.53089621548160079,2022-10-15T19:37:07.000Z,7,Liberty,2022
401404162101859907,Gardner-Webb,Big South,Liberty,FBS Independents,Liberty,Gardner-Webb,0,0,401404162,4014041623,3,5,1,"{'minutes': 14, 'seconds': 0}",3,3,71,71,3,8,False,-6,Sack,Bailey Fisher sacked by Dennis Osagiede and Kendy Charles for a loss of 6 yards to the GrdWb 23,-0.38607396482353631,2022-10-15T19:37:07.000Z,7,Liberty,2022
401404162101894701,Gardner-Webb,Big South,Liberty,FBS Independents,Liberty,Gardner-Webb,0,0,401404162,4014041623,3,6,1,"{'minutes': 10, 'seconds': 52}",3,3,77,77,4,14,False,12,Punt,"Austin Hendley punt for 49 yds , Demario Douglas returns for 12 yds to the Liber 40",,2022-10-15T19:40:44.000Z,7,Liberty,2022
