id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426596101849903,UTEP,Conference USA,Middle Tennessee,Conference USA,UTEP,Middle Tennessee,0,0,401426596,4014265961,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Gavin Baechle kickoff for 65 yds for a touchback,,2022-10-30T01:03:42.000Z,9,Middle Tennessee,2022
401426596101849905,Middle Tennessee,Conference USA,UTEP,Conference USA,UTEP,Middle Tennessee,0,0,401426596,4014265961,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,13,Pass Reception,Chase Cunningham pass complete to Izaiah Gathings for 13 yds to the MTnSt 38 for a 1ST down,1.1247514790418309,2022-10-30T01:03:42.000Z,9,Middle Tennessee,2022
401426596101849906,Middle Tennessee,Conference USA,UTEP,Conference USA,UTEP,Middle Tennessee,0,0,401426596,4014265961,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,62,62,1,10,False,2,Rush,Joe Ervin run for 2 yds to the MTnSt 40,-0.6656376494811927,2022-10-30T01:03:42.000Z,9,Middle Tennessee,2022
401426596101849907,Middle Tennessee,Conference USA,UTEP,Conference USA,UTEP,Middle Tennessee,0,0,401426596,4014265961,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,60,60,2,8,False,29,Pass Reception,Chase Cunningham pass complete to Jaylin Lane for 29 yds to the UTEP 31 for a 1ST down,2.7766951200877353,2022-10-30T01:03:42.000Z,9,Middle Tennessee,2022
401426596101849908,Middle Tennessee,Conference USA,UTEP,Conference USA,UTEP,Middle Tennessee,0,0,401426596,4014265961,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,31,31,1,10,False,7,Pass Reception,Chase Cunningham pass complete to Joe Ervin for 7 yds to the UTEP 24,0.361255653346657,2022-10-30T01:03:42.000Z,9,Middle Tennessee,2022
401426596101849909,Middle Tennessee,Conference USA,UTEP,Conference USA,UTEP,Middle Tennessee,0,0,401426596,4014265961,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,24,24,2,3,False,12,Penalty,"No Huddle-Shotgun Cunningham,Chase pass incomplete short left to Ali,Yusuf broken up by Johnson,Ilijah PENALTY UTEP Pass Interference (Johnson,Ilijah) 12 yards from UTEP24 to UTEP12, 1ST DOWN. NO PLAY.",,2022-10-30T01:03:42.000Z,9,Middle Tennessee,2022
401426596101849910,Middle Tennessee,Conference USA,UTEP,Conference USA,UTEP,Middle Tennessee,0,0,401426596,4014265961,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,12,12,1,10,False,5,Rush,Darius Bracy run for 5 yds to the UTEP 7,0.0748456356820665,2022-10-30T01:03:42.000Z,9,Middle Tennessee,2022
401426596101849911,Middle Tennessee,Conference USA,UTEP,Conference USA,UTEP,Middle Tennessee,0,0,401426596,4014265961,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,7,7,2,5,False,0,Pass Incompletion,Chase Cunningham pass incomplete to Jaylin Lane,-0.334398364888979,2022-10-30T01:03:42.000Z,9,Middle Tennessee,2022
401426596101849912,Middle Tennessee,Conference USA,UTEP,Conference USA,UTEP,Middle Tennessee,0,0,401426596,4014265961,1,9,1,"{'minutes': 15, 'seconds': 0}",3,3,7,7,3,5,False,0,Pass Reception,Chase Cunningham pass complete to Yusuf Ali for no gain to the UTEP 7,-0.319532032317183,2022-10-30T01:03:42.000Z,9,Middle Tennessee,2022
401426596101849914,UTEP,Conference USA,Middle Tennessee,Conference USA,UTEP,Middle Tennessee,0,0,401426596,4014265961,1,10,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Gavin Baechle kickoff for 65 yds for a touchback,,2022-10-30T01:03:42.000Z,9,Middle Tennessee,2022
401426596101878501,Middle Tennessee,Conference USA,UTEP,Conference USA,UTEP,Middle Tennessee,3,0,401426596,4014265961,1,11,1,"{'minutes': 12, 'seconds': 14}",3,3,7,7,4,5,True,23,Field Goal Good,Zeke Rankin 23 yd FG GOOD,,2022-10-30T01:08:03.000Z,9,Middle Tennessee,2022
401426596101879101,Middle Tennessee,Conference USA,UTEP,Conference USA,UTEP,Middle Tennessee,3,0,401426596,4014265962,2,1,1,"{'minutes': 12, 'seconds': 8}",3,3,65,65,1,10,False,20,Kickoff,"Scott Payne kickoff for 62 yds , Marcus Bellon return for 20 yds to the UTEP 23",,2022-10-30T01:13:28.000Z,9,Middle Tennessee,2022
401426596101879102,UTEP,Conference USA,Middle Tennessee,Conference USA,UTEP,Middle Tennessee,0,3,401426596,4014265962,2,2,1,"{'minutes': 12, 'seconds': 8}",3,3,23,77,1,10,False,5,Pass Reception,Gavin Hardison pass complete to Trent Thompson for 5 yds to the UTEP 28,0.0909220029056970,2022-10-30T01:13:28.000Z,9,Middle Tennessee,2022
401426596101879103,UTEP,Conference USA,Middle Tennessee,Conference USA,UTEP,Middle Tennessee,0,3,401426596,4014265962,2,3,1,"{'minutes': 12, 'seconds': 8}",3,3,28,72,2,5,False,-8,Penalty,"UTEP Penalty, Intentional Grounding (-8 Yards) to the UTEP 20",,2022-10-30T01:13:28.000Z,9,Middle Tennessee,2022
401426596101879104,UTEP,Conference USA,Middle Tennessee,Conference USA,UTEP,Middle Tennessee,0,3,401426596,4014265962,2,4,1,"{'minutes': 12, 'seconds': 8}",3,3,20,80,3,13,False,-17,Sack,Gavin Hardison sacked by Marley Cook for a loss of 17 yards to the UTEP 3,-0.14173229356053164,2022-10-30T01:13:28.000Z,9,Middle Tennessee,2022
