id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401405124101849902,Nebraska,Big Ten,Illinois,Big Ten,Nebraska,Illinois,0,0,401405124,4014051241,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Brendan Franke kickoff for 65 yds for a touchback,,2022-10-29T19:38:16.000Z,9,Nebraska,2022
401405124101855401,Illinois,Big Ten,Nebraska,Big Ten,Nebraska,Illinois,0,0,401405124,4014051241,1,2,1,"{'minutes': 14, 'seconds': 45}",3,3,75,75,1,10,False,4,Rush,Chase Brown run for 4 yds to the Illin 29,-0.1142886249388964,2022-10-29T19:38:59.000Z,9,Nebraska,2022
401405124101856901,Illinois,Big Ten,Nebraska,Big Ten,Nebraska,Illinois,0,0,401405124,4014051241,1,3,1,"{'minutes': 14, 'seconds': 30}",3,3,71,71,2,6,False,20,Pass Reception,Tommy DeVito pass complete to Tip Reiman for 20 yds to the Illin 49 for a 1ST down,2.2686765407672789,2022-10-29T19:39:33.000Z,9,Nebraska,2022
401405124101859901,Illinois,Big Ten,Nebraska,Big Ten,Nebraska,Illinois,0,0,401405124,4014051241,1,4,1,"{'minutes': 14, 'seconds': 0}",3,3,51,51,1,10,False,1,Rush,Chase Brown run for 1 yd to the 50 yard line,-0.889254676573113,2022-10-29T19:38:16.000Z,9,Nebraska,2022
401405124101866901,Illinois,Big Ten,Nebraska,Big Ten,Nebraska,Illinois,0,0,401405124,4014051241,1,5,1,"{'minutes': 13, 'seconds': 30}",3,3,50,50,2,9,False,4,Rush,Tommy DeVito run for 4 yds to the Neb 46,-0.166607447428085,2022-10-29T19:38:16.000Z,9,Nebraska,2022
401405124101876601,Illinois,Big Ten,Nebraska,Big Ten,Nebraska,Illinois,6,0,401405124,4014051241,1,6,1,"{'minutes': 12, 'seconds': 33}",3,3,46,46,3,5,True,46,Passing Touchdown,"Tommy DeVito pass complete to Isaiah Williams for 46 yds for a TD, (Fabrizio Pinton PAT MISSED)",4.979229327894137,2022-10-29T19:40:16.000Z,9,Nebraska,2022
401405124101876603,Illinois,Big Ten,Nebraska,Big Ten,Nebraska,Illinois,6,0,401405124,4014051242,2,1,1,"{'minutes': 12, 'seconds': 33}",3,3,65,65,3,5,False,0,Kickoff,Caleb Griffin kickoff for 65 yds for a touchback,,2022-10-29T19:40:16.000Z,9,Nebraska,2022
401405124101878901,Nebraska,Big Ten,Illinois,Big Ten,Nebraska,Illinois,0,6,401405124,4014051242,2,2,1,"{'minutes': 12, 'seconds': 10}",3,3,25,75,1,10,False,19,Pass Reception,Casey Thompson pass complete to Anthony Grant for 19 yds to the Neb 44 for a 1ST down,1.7075723383420155,2022-10-29T19:45:01.000Z,9,Nebraska,2022
401405124101879901,Nebraska,Big Ten,Illinois,Big Ten,Nebraska,Illinois,0,6,401405124,4014051242,2,3,1,"{'minutes': 12, 'seconds': 0}",3,3,44,56,1,10,False,3,Rush,Casey Thompson run for 3 yds to the Neb 47,-0.428073621599390,2022-10-29T19:45:13.000Z,9,Nebraska,2022
401405124101886901,Nebraska,Big Ten,Illinois,Big Ten,Nebraska,Illinois,0,6,401405124,4014051242,2,4,1,"{'minutes': 11, 'seconds': 30}",3,3,47,53,2,7,False,22,Rush,Anthony Grant run for 22 yds to the Illin 31 for a 1ST down,1.956310232905748,2022-10-29T19:45:44.000Z,9,Nebraska,2022
401405124101889701,Nebraska,Big Ten,Illinois,Big Ten,Nebraska,Illinois,0,6,401405124,4014051242,2,5,1,"{'minutes': 11, 'seconds': 2}",3,3,69,31,1,10,False,0,Pass Incompletion,Casey Thompson pass incomplete to Trey Palmer,-0.5824837756999946,2022-10-29T19:46:18.000Z,9,Nebraska,2022
401405124101894201,Nebraska,Big Ten,Illinois,Big Ten,Nebraska,Illinois,0,6,401405124,4014051242,2,6,1,"{'minutes': 10, 'seconds': 57}",3,3,69,31,2,10,False,0,Pass Incompletion,Casey Thompson pass incomplete to Travis Vokolek,-0.7953313095977654,2022-10-29T19:46:50.000Z,9,Nebraska,2022
401405124101894801,Nebraska,Big Ten,Illinois,Big Ten,Nebraska,Illinois,0,6,401405124,4014051242,2,7,1,"{'minutes': 10, 'seconds': 51}",3,3,69,31,3,10,False,0,Pass Interception Return,Casey Thompson pass intercepted Jartavius Martin return for no gain to the Illin 17,-2.780238744629292,2022-10-29T19:47:54.000Z,9,Nebraska,2022
401405124101894802,Illinois,Big Ten,Nebraska,Big Ten,Nebraska,Illinois,6,0,401405124,4014051243,3,1,1,"{'minutes': 10, 'seconds': 51}",3,3,83,83,1,10,False,-5,Penalty,"ILLINOIS Penalty, False Start (Alex Pihlstrom) to the Illin 12",,2022-10-29T19:47:54.000Z,9,Nebraska,2022
401405124101896901,Illinois,Big Ten,Nebraska,Big Ten,Nebraska,Illinois,6,0,401405124,4014051243,3,2,1,"{'minutes': 10, 'seconds': 30}",3,3,88,88,1,15,False,-1,Pass Reception,Tommy DeVito pass complete to Isaiah Williams for a loss of 1 yard to the Illin 11,-0.22949515914959928,2022-10-29T19:51:48.000Z,9,Nebraska,2022
401405124101899901,Illinois,Big Ten,Nebraska,Big Ten,Nebraska,Illinois,6,0,401405124,4014051243,3,3,1,"{'minutes': 10, 'seconds': 0}",3,3,89,89,2,16,False,6,Rush,Chase Brown run for 6 yds to the Illin 17,0.03897352318911107,2022-10-29T19:52:15.000Z,9,Nebraska,2022
