id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401409235101849902,Nevada,Mountain West,New Mexico State,FBS Independents,New Mexico State,Nevada,0,0,401409235,4014092351,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Matthew Killam kickoff for 65 yds for a touchback,,2022-08-28T02:07:16.000Z,1,Nevada,2022
401409235101854301,New Mexico State,FBS Independents,Nevada,Mountain West,New Mexico State,Nevada,0,0,401409235,4014092351,1,2,1,"{'minutes': 14, 'seconds': 56}",3,3,25,75,1,10,False,0,Pass Incompletion,Diego Pavia pass incomplete,-0.70297002204365193,2022-08-28T02:07:16.000Z,1,Nevada,2022
401409235101854801,New Mexico State,FBS Independents,Nevada,Mountain West,New Mexico State,Nevada,0,0,401409235,4014092351,1,3,1,"{'minutes': 14, 'seconds': 51}",3,3,25,75,2,10,False,4,Pass Reception,Diego Pavia pass complete to Kordell David for 4 yds to the NMxSt 29,-0.06222348980634162,2022-08-28T02:08:04.000Z,1,Nevada,2022
401409235101856601,New Mexico State,FBS Independents,Nevada,Mountain West,New Mexico State,Nevada,0,0,401409235,4014092351,1,4,1,"{'minutes': 14, 'seconds': 33}",3,3,29,71,3,6,False,9,Rush,Diego Pavia run for 9 yds to the NMxSt 38 for a 1ST down,1.88994499089182445,2022-08-28T02:08:35.000Z,1,Nevada,2022
401409235101866501,New Mexico State,FBS Independents,Nevada,Mountain West,New Mexico State,Nevada,0,0,401409235,4014092351,1,5,1,"{'minutes': 13, 'seconds': 34}",3,3,38,62,1,10,False,0,Pass Incompletion,Diego Pavia pass incomplete,-1.0879950771673279,2022-08-28T02:09:19.000Z,1,Nevada,2022
401409235101867601,New Mexico State,FBS Independents,Nevada,Mountain West,New Mexico State,Nevada,0,0,401409235,4014092351,1,6,1,"{'minutes': 13, 'seconds': 23}",3,3,38,62,2,10,False,35,Pass Reception,Diego Pavia pass complete to Jordin Parker for 35 yds to the Nevad 27 for a 1ST down,3.2997178764553325,2022-08-28T02:10:11.000Z,1,Nevada,2022
401409235101876001,New Mexico State,FBS Independents,Nevada,Mountain West,New Mexico State,Nevada,0,0,401409235,4014092351,1,7,1,"{'minutes': 12, 'seconds': 39}",3,3,73,27,1,10,False,5,Rush,Jamoni Jones run for 5 yds to the Nevad 22,0.076110368943329,2022-08-28T02:11:02.000Z,1,Nevada,2022
401409235101884501,New Mexico State,FBS Independents,Nevada,Mountain West,New Mexico State,Nevada,0,0,401409235,4014092351,1,8,1,"{'minutes': 11, 'seconds': 54}",3,3,78,22,2,5,False,2,Rush,Jamoni Jones run for 2 yds to the Nevad 20,-0.280097412947192,2022-08-28T02:11:53.000Z,1,Nevada,2022
401409235101889401,New Mexico State,FBS Independents,Nevada,Mountain West,New Mexico State,Nevada,0,0,401409235,4014092351,1,9,1,"{'minutes': 11, 'seconds': 5}",3,3,80,20,3,3,False,-6,Rush,Jamoni Jones run for a loss of 6 yards to the Nevad 26,-1.6758526813629725,2022-08-28T02:13:06.000Z,1,Nevada,2022
401409235101896701,New Mexico State,FBS Independents,Nevada,Mountain West,New Mexico State,Nevada,0,0,401409235,4014092351,1,10,1,"{'minutes': 10, 'seconds': 32}",3,3,74,26,4,9,False,43,Field Goal Missed,Ethan Albertson 43 yd FG MISSED,,2022-08-28T02:13:22.000Z,1,Nevada,2022
