id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415210101849906,Maine,CAA,New Mexico,Mountain West,New Mexico,Maine,0,0,401415210,4014152101,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Brian Cooey kickoff for 65 yds for a touchback,,2022-09-04T00:04:15.000Z,1,New Mexico,2022
401415210101849974,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152101,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,1,Rush,Luke Wysong run for 1 yd to the NMex 26,-0.58747954310168553,2022-09-04T00:04:15.000Z,1,New Mexico,2022
401415210101858201,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152101,1,3,1,"{'minutes': 14, 'seconds': 17}",3,3,26,74,2,9,False,10,Pass Reception,Miles Kendrick pass complete to Geordon Porter for 10 yds to the NMex 36 for a 1ST down,1.51804205504767603,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101865401,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152101,1,4,1,"{'minutes': 13, 'seconds': 45}",3,3,36,64,1,10,False,0,Interception,Miles Kendrick pass intercepted,-1.852807392224669,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101865984,Maine,CAA,New Mexico,Mountain West,New Mexico,Maine,0,0,401415210,4014152102,2,1,1,"{'minutes': 13, 'seconds': 40}",3,3,38,38,1,10,False,0,Interception,Joe Fagnano pass intercepted,-3.905407351414812,2022-09-04T00:06:08.000Z,1,New Mexico,2022
401415210101866880,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152103,3,1,1,"{'minutes': 13, 'seconds': 31}",3,3,53,47,1,10,False,10,Rush,Luke Wysong run for 10 yds to the Maine 37 for a 1ST down,0.5617936097896868,2022-09-04T00:06:46.000Z,1,New Mexico,2022
401415210101874401,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152103,3,2,1,"{'minutes': 12, 'seconds': 55}",3,3,63,37,1,10,False,6,Rush,Sherod White run for 6 yds to the Maine 31,0.2454411832668482,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101878801,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152103,3,3,1,"{'minutes': 12, 'seconds': 11}",3,3,69,31,2,4,False,5,Pass Reception,Miles Kendrick pass complete to Sherod White for 5 yds to the Maine 26 for a 1ST down,0.0859653258017145,2022-09-04T00:09:08.000Z,1,New Mexico,2022
401415210101885201,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152103,3,4,1,"{'minutes': 11, 'seconds': 47}",3,3,74,26,1,10,False,3,Rush,Sherod White run for 3 yds to the Maine 23,-0.1464938748677045,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101889401,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152103,3,5,1,"{'minutes': 11, 'seconds': 5}",3,3,77,23,2,7,False,6,Rush,Luke Wysong run for 6 yds to the Maine 17,0.184670893913150,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101897201,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152103,3,6,1,"{'minutes': 10, 'seconds': 27}",3,3,83,17,3,1,False,3,Rush,Sherod White run for 3 yds to the Maine 14 for a 1ST down,0.1335419281836535,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101905001,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152103,3,7,1,"{'minutes': 9, 'seconds': 49}",3,3,86,14,1,10,False,0,Rush,Sherod White run for no gain to the Maine 14,-0.3125697195395781,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101908201,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152103,3,8,1,"{'minutes': 9, 'seconds': 17}",3,3,86,14,2,10,False,4,Rush,Luke Wysong run for 4 yds to the Maine 10,-0.0323703886282729,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101915601,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152103,3,9,1,"{'minutes': 8, 'seconds': 43}",3,3,90,10,3,6,False,3,Rush,Sherod White run for 3 yds to the Maine 7,-0.1137144723322922,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101924201,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152103,3,10,1,"{'minutes': 7, 'seconds': 57}",3,3,93,7,4,3,False,-10,Sack,Miles Kendrick sacked by Brian Lee Jr. for a loss of 10 yards to the Maine 17,-3.9930622443207753,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101924702,Maine,CAA,New Mexico,Mountain West,New Mexico,Maine,0,0,401415210,4014152104,4,1,1,"{'minutes': 7, 'seconds': 52}",3,3,83,83,1,10,False,4,Rush,Joe Fagnano run for 4 yds to the Maine 21,-0.07437138834457713,2022-09-04T00:19:07.000Z,1,New Mexico,2022
401415210101928901,Maine,CAA,New Mexico,Mountain West,New Mexico,Maine,0,0,401415210,4014152104,4,2,1,"{'minutes': 7, 'seconds': 10}",3,3,79,79,2,6,False,5,Rush,Xavier Scott run for 5 yds to the Maine 26,0.07734910383733063,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101937301,Maine,CAA,New Mexico,Mountain West,New Mexico,Maine,0,0,401415210,4014152104,4,3,1,"{'minutes': 6, 'seconds': 26}",3,3,74,74,3,1,False,-2,Rush,Elijah Barnwell run for a loss of 2 yards to the Maine 24,-0.61016998115648758,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101945101,Maine,CAA,New Mexico,Mountain West,New Mexico,Maine,0,0,401415210,4014152104,4,4,1,"{'minutes': 5, 'seconds': 48}",3,3,76,76,4,3,False,13,Punt,"Brian Cooey punt for 49 yds , Luke Wysong returns for 13 yds to the NMex 40",,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101945950,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152105,5,1,1,"{'minutes': 5, 'seconds': 40}",3,3,40,60,1,10,False,9,Rush,Luke Wysong run for 9 yds to the NMex 49,1.3394316215410970,2022-09-04T00:24:01.000Z,1,New Mexico,2022
401415210101954401,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152105,5,2,1,"{'minutes': 4, 'seconds': 55}",3,3,49,51,2,1,False,1,Rush,Miles Kendrick run for 1 yd to the 50 yard line for a 1ST down,-0.4239429495187946,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101957401,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152105,5,3,1,"{'minutes': 4, 'seconds': 25}",3,3,50,50,1,10,False,7,Pass Reception,Miles Kendrick pass complete to Austin Erickson for 7 yds to the Maine 43,0.590106702773282,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101964801,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152105,5,4,1,"{'minutes': 3, 'seconds': 51}",3,3,57,43,2,3,False,-2,Rush,Christian Washington run for a loss of 2 yards to the Maine 45,-1.6300033797716865,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101969201,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152105,5,5,1,"{'minutes': 3, 'seconds': 7}",3,3,55,45,3,5,False,11,Pass Reception,Miles Kendrick pass complete to Geordon Porter for 11 yds to the Maine 34 for a 1ST down,1.9445824482061075,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101975701,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152105,5,6,1,"{'minutes': 2, 'seconds': 42}",3,3,66,34,1,10,False,15,Rush,"Christian Washington run for 5 yds to the Maine 29 for a 1ST down MAINE Penalty, Illegal use of the hands on MITCHELL, Xavier enforced (Xavier Mitchell) to the Maine 19 for a 1ST down",0.332278532276147,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101984501,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152105,5,7,1,"{'minutes': 1, 'seconds': 54}",3,3,81,19,1,10,False,5,Rush,Miles Kendrick run for 5 yds to the Maine 14,0.074321414460208,2022-09-04T00:29:13.000Z,1,New Mexico,2022
401415210101986701,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152105,5,8,1,"{'minutes': 1, 'seconds': 32}",3,3,86,14,2,5,False,5,Rush,Jaden Hullaby run for 5 yds to the Maine 9 for a 1ST down,0.105888390530847,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101994901,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152105,5,9,1,"{'seconds': 50, 'minutes': 0}",3,3,91,9,1,9,False,5,Rush,Miles Kendrick run for 5 yds to the Maine 4,0.0903475831985075,2022-09-04T00:35:31.000Z,1,New Mexico,2022
401415210101997704,New Mexico,Mountain West,Maine,CAA,New Mexico,Maine,0,0,401415210,4014152105,5,10,1,"{'seconds': 22, 'minutes': 0}",3,3,96,4,2,4,False,0,Pass Reception,Miles Kendrick pass complete to Tristan White for no gain to the Maine 4,-0.3620826810286210,2022-09-04T00:35:31.000Z,1,New Mexico,2022
