id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401416592101854501,Eastern Illinois,OVC,Northern Illinois,Mid-American,Northern Illinois,Eastern Illinois,0,0,401416592,4014165921,1,1,1,"{'minutes': 14, 'seconds': 54}",3,3,65,65,1,10,False,26,Kickoff Return (Offense),"Stone Galloway kickoff for 65 yds , Mason Blakemore return for 26 yds to the NoIll 26",,2022-09-02T00:03:26.000Z,1,Northern Illinois,2022
401416592101856001,Northern Illinois,Mid-American,Eastern Illinois,OVC,Northern Illinois,Eastern Illinois,0,0,401416592,4014165921,1,2,1,"{'minutes': 14, 'seconds': 39}",3,3,26,74,1,10,False,1,Rush,Antario Brown run for 1 yd to the NoIll 27,-0.6129109161878361,2022-09-02T00:03:26.000Z,1,Northern Illinois,2022
401416592101858801,Northern Illinois,Mid-American,Eastern Illinois,OVC,Northern Illinois,Eastern Illinois,0,0,401416592,4014165921,1,3,1,"{'minutes': 14, 'seconds': 11}",3,3,27,73,2,9,False,10,Pass Reception,Rocky Lombardi pass complete to Cole Tucker for 10 yds to the NoIll 37 for a 1ST down,1.5691764350710518,2022-09-02T00:03:26.000Z,1,Northern Illinois,2022
401416592101866301,Northern Illinois,Mid-American,Eastern Illinois,OVC,Northern Illinois,Eastern Illinois,0,0,401416592,4014165921,1,4,1,"{'minutes': 13, 'seconds': 36}",3,3,37,63,1,10,False,3,Rush,Antario Brown run for 3 yds to the NoIll 40,-0.4199785122886155,2022-09-02T00:03:26.000Z,1,Northern Illinois,2022
401416592101874201,Northern Illinois,Mid-American,Eastern Illinois,OVC,Northern Illinois,Eastern Illinois,0,0,401416592,4014165921,1,5,1,"{'minutes': 12, 'seconds': 57}",3,3,40,60,2,7,False,4,Rush,Antario Brown run for 4 yds to the NoIll 44,-0.1528347420326011,2022-09-02T00:03:26.000Z,1,Northern Illinois,2022
401416592101878201,Northern Illinois,Mid-American,Eastern Illinois,OVC,Northern Illinois,Eastern Illinois,0,0,401416592,4014165921,1,6,1,"{'minutes': 12, 'seconds': 17}",3,3,44,56,3,3,False,54,Rush,Harrison Waylee run for 54 yds to the EIlln 2 for a 1ST down,4.4100887502268688,2022-09-02T00:06:41.000Z,1,Northern Illinois,2022
401416592101895801,Northern Illinois,Mid-American,Eastern Illinois,OVC,Northern Illinois,Eastern Illinois,0,0,401416592,4014165921,1,7,1,"{'minutes': 10, 'seconds': 41}",3,3,98,2,1,2,False,1,Rush,Harrison Waylee run for 1 yd to the EIlln 1,-0.687116939800908,2022-09-02T00:03:26.000Z,1,Northern Illinois,2022
401416592101895802,Northern Illinois,Mid-American,Eastern Illinois,OVC,Northern Illinois,Eastern Illinois,0,0,401416592,4014165921,1,8,1,"{'minutes': 10, 'seconds': 41}",3,3,99,1,2,1,False,0,Rush,Harrison Waylee run for no gain to the EIlln 1,-0.553645991706544,2022-09-02T00:11:43.000Z,1,Northern Illinois,2022
401416592101895803,Northern Illinois,Mid-American,Eastern Illinois,OVC,Northern Illinois,Eastern Illinois,7,0,401416592,4014165921,1,9,1,"{'minutes': 10, 'seconds': 41}",3,3,99,1,3,1,True,1,Rushing Touchdown,"Harrison Waylee run for 1 yd for a TD, (John Richardson KICK)",2.45399822917955,2022-09-02T00:11:43.000Z,1,Northern Illinois,2022
401416592101896201,Northern Illinois,Mid-American,Eastern Illinois,OVC,Northern Illinois,Eastern Illinois,7,0,401416592,4014165922,2,1,1,"{'minutes': 10, 'seconds': 37}",3,3,35,65,1,10,False,16,Kickoff Return (Offense),"John Richardson kickoff for 65 yds , Jaelin Benefield return for 16 yds to the EIlln 16",,2022-09-02T00:13:39.000Z,1,Northern Illinois,2022
