id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404016101849909,Stanford,Pac-12,Notre Dame,FBS Independents,Notre Dame,Stanford,0,0,401404016,4014040161,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Joshua Karty kickoff for 65 yds for a touchback,,2022-10-15T23:35:07.000Z,7,Notre Dame,2022
401404016101849912,Notre Dame,FBS Independents,Stanford,Pac-12,Notre Dame,Stanford,0,0,401404016,4014040161,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,20,80,1,15,False,-1,Rush,Chris Tyree run for a loss of 1 yard to the NDame 19,-0.36838973689765363,2022-10-15T23:35:07.000Z,7,Notre Dame,2022
401404016101849916,Notre Dame,FBS Independents,Stanford,Pac-12,Notre Dame,Stanford,0,0,401404016,4014040161,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,19,81,2,16,False,8,Pass Reception,Drew Pyne pass complete to Jayden Thomas for 8 yds to the NDame 27,0.178396519688634562,2022-10-15T23:35:07.000Z,7,Notre Dame,2022
401404016101849917,Notre Dame,FBS Independents,Stanford,Pac-12,Notre Dame,Stanford,0,0,401404016,4014040161,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,27,73,3,8,False,0,Pass Incompletion,Drew Pyne pass incomplete,-0.224210286453998542,2022-10-15T23:35:07.000Z,7,Notre Dame,2022
401404016101866601,Notre Dame,FBS Independents,Stanford,Pac-12,Notre Dame,Stanford,0,0,401404016,4014040161,1,5,1,"{'minutes': 13, 'seconds': 33}",3,3,27,73,4,8,False,0,Punt,Jon Sot punt for 39 yds,,2022-10-15T23:40:26.000Z,7,Notre Dame,2022
401404016101866603,Stanford,Pac-12,Notre Dame,FBS Independents,Notre Dame,Stanford,0,0,401404016,4014040162,2,1,1,"{'minutes': 13, 'seconds': 33}",3,3,66,66,1,10,False,6,Rush,Casey Filkins run for 6 yds to the Stanf 40,0.3949221212311402,2022-10-15T23:40:26.000Z,7,Notre Dame,2022
401404016101866604,Stanford,Pac-12,Notre Dame,FBS Independents,Notre Dame,Stanford,0,0,401404016,4014040162,2,2,1,"{'minutes': 13, 'seconds': 33}",3,3,60,60,2,4,False,0,Pass Incompletion,Tanner McKee pass incomplete,-1.1398581244969519,2022-10-15T23:40:26.000Z,7,Notre Dame,2022
401404016101866605,Stanford,Pac-12,Notre Dame,FBS Independents,Notre Dame,Stanford,0,0,401404016,4014040162,2,3,1,"{'minutes': 13, 'seconds': 33}",3,3,60,60,3,4,False,13,Pass Reception,Tanner McKee pass complete to Michael Wilson for 13 yds to the NDame 47 for a 1ST down,2.4685031517289959,2022-10-15T23:40:26.000Z,7,Notre Dame,2022
401404016101866606,Stanford,Pac-12,Notre Dame,FBS Independents,Notre Dame,Stanford,0,0,401404016,4014040162,2,4,1,"{'minutes': 13, 'seconds': 33}",3,3,47,47,1,10,False,19,Pass Reception,Tanner McKee pass complete to Elijah Higgins for 19 yds to the NDame 28 for a 1ST down,0.849187767127999,2022-10-15T23:40:26.000Z,7,Notre Dame,2022
401404016101866607,Stanford,Pac-12,Notre Dame,FBS Independents,Notre Dame,Stanford,0,0,401404016,4014040162,2,5,1,"{'minutes': 13, 'seconds': 33}",3,3,28,28,1,10,False,2,Rush,Casey Filkins run for 2 yds to the NDame 26,-0.2736731894519623,2022-10-15T23:43:33.000Z,7,Notre Dame,2022
401404016101866608,Stanford,Pac-12,Notre Dame,FBS Independents,Notre Dame,Stanford,0,0,401404016,4014040162,2,6,1,"{'minutes': 13, 'seconds': 33}",3,3,26,26,2,8,False,9,Rush,Casey Filkins run for 9 yds to the NDame 17 for a 1ST down,0.4577845608059793,2022-10-15T23:43:33.000Z,7,Notre Dame,2022
