id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401416569101849902,Oklahoma State,Big 12,Central Michigan,Mid-American,Oklahoma State,Central Michigan,0,0,401416569,4014165691,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Tanner Brown kickoff for 63 yds for a touchback,,2022-09-01T23:05:29.000Z,1,Oklahoma State,2022
401416569101854401,Central Michigan,Mid-American,Oklahoma State,Big 12,Oklahoma State,Central Michigan,0,0,401416569,4014165691,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,75,75,1,10,False,3,Pass Reception,Daniel Richardson pass complete to Lew Nichols III for 3 yds to the CMich 28,-0.2957674139440157,2022-09-01T23:07:05.000Z,1,Oklahoma State,2022
401416569101857101,Central Michigan,Mid-American,Oklahoma State,Big 12,Oklahoma State,Central Michigan,0,0,401416569,4014165691,1,3,1,"{'minutes': 14, 'seconds': 28}",3,3,72,72,2,7,False,0,Pass Incompletion,Daniel Richardson pass incomplete to Jalen McGaughy,-0.5594317282120231,2022-09-01T23:07:16.000Z,1,Oklahoma State,2022
401416569101858101,Central Michigan,Mid-American,Oklahoma State,Big 12,Oklahoma State,Central Michigan,0,0,401416569,4014165691,1,4,1,"{'minutes': 14, 'seconds': 18}",3,3,72,72,3,7,False,8,Pass Reception,Daniel Richardson pass complete to Carlos Carriere for 8 yds to the CMich 36 for a 1ST down,1.7857616541020293,2022-09-01T23:08:14.000Z,1,Oklahoma State,2022
401416569101866201,Central Michigan,Mid-American,Oklahoma State,Big 12,Oklahoma State,Central Michigan,0,0,401416569,4014165691,1,5,1,"{'minutes': 13, 'seconds': 37}",3,3,64,64,1,10,False,-2,Rush,Lew Nichols III run for a loss of 2 yards to the CMich 34,-1.3571567025283561,2022-09-01T23:08:40.000Z,1,Oklahoma State,2022
401416569101875601,Central Michigan,Mid-American,Oklahoma State,Big 12,Oklahoma State,Central Michigan,0,0,401416569,4014165691,1,6,1,"{'minutes': 12, 'seconds': 43}",3,3,66,66,2,12,False,2,Rush,Myles Bailey run for 2 yds to the CMich 36,-0.31503645164170016,2022-09-01T23:09:36.000Z,1,Oklahoma State,2022
401416569101878401,Central Michigan,Mid-American,Oklahoma State,Big 12,Oklahoma State,Central Michigan,0,0,401416569,4014165691,1,7,1,"{'minutes': 12, 'seconds': 15}",3,3,64,64,3,10,False,-1,Pass Reception,Daniel Richardson pass complete to Myles Bailey for a loss of 1 yard to the CMich 35,-0.36456120655878532,2022-09-01T23:10:04.000Z,1,Oklahoma State,2022
401416569101885801,Central Michigan,Mid-American,Oklahoma State,Big 12,Oklahoma State,Central Michigan,0,0,401416569,4014165691,1,8,1,"{'minutes': 11, 'seconds': 41}",3,3,65,65,4,11,False,0,Punt,"Luke Elzinga punt for 40 yds , Brennan Presley returns for no gain to the OKSt 25",,2022-09-01T23:11:09.000Z,1,Oklahoma State,2022
401416569101885901,Oklahoma State,Big 12,Central Michigan,Mid-American,Oklahoma State,Central Michigan,0,0,401416569,4014165692,2,1,1,"{'minutes': 11, 'seconds': 40}",3,3,25,75,1,10,False,-5,Penalty,"OKLAHOMA ST Penalty, False Start (Caleb Etienne) to the OKSt 20",,2022-09-01T23:13:55.000Z,1,Oklahoma State,2022
401416569101887101,Oklahoma State,Big 12,Central Michigan,Mid-American,Oklahoma State,Central Michigan,0,0,401416569,4014165692,2,2,1,"{'minutes': 11, 'seconds': 28}",3,3,20,80,1,15,False,8,Pass Reception,Spencer Sanders pass complete to Dominic Richardson for 8 yds to the OKSt 28,0.44565056430563207,2022-09-01T23:14:24.000Z,1,Oklahoma State,2022
401416569101888601,Oklahoma State,Big 12,Central Michigan,Mid-American,Oklahoma State,Central Michigan,0,0,401416569,4014165692,2,3,1,"{'minutes': 11, 'seconds': 13}",3,3,28,72,2,7,False,16,Pass Reception,"Spencer Sanders pass complete to Brennan Presley for 16 yds to the OKSt 44 for a 1ST down CENTRAL MICH Penalty, Defensive Offside ( Yards) declined for a 1ST down",2.0033397522860312,2022-09-01T23:14:58.000Z,1,Oklahoma State,2022
401416569101889901,Oklahoma State,Big 12,Central Michigan,Mid-American,Oklahoma State,Central Michigan,0,0,401416569,4014165692,2,4,1,"{'minutes': 11, 'seconds': 0}",3,3,44,56,1,10,False,2,Rush,Dominic Richardson run for 2 yds to the OKSt 46,-0.6840321413406637,2022-09-01T23:15:17.000Z,1,Oklahoma State,2022
401416569101894901,Oklahoma State,Big 12,Central Michigan,Mid-American,Oklahoma State,Central Michigan,0,0,401416569,4014165692,2,5,1,"{'minutes': 10, 'seconds': 50}",3,3,46,54,2,8,False,0,Pass Incompletion,Spencer Sanders pass incomplete to Brennan Presley,-1.0302301559913972,2022-09-01T23:15:28.000Z,1,Oklahoma State,2022
401416569101895901,Oklahoma State,Big 12,Central Michigan,Mid-American,Oklahoma State,Central Michigan,0,0,401416569,4014165692,2,6,1,"{'minutes': 10, 'seconds': 40}",3,3,46,54,3,8,False,9,Rush,Spencer Sanders run for 9 yds to the CMich 45 for a 1ST down,2.6079309936442989,2022-09-01T23:16:17.000Z,1,Oklahoma State,2022
401416569101899001,Oklahoma State,Big 12,Central Michigan,Mid-American,Oklahoma State,Central Michigan,7,0,401416569,4014165692,2,7,1,"{'minutes': 10, 'seconds': 9}",3,3,55,45,1,10,True,45,Passing Touchdown,"Spencer Sanders pass complete to John Paul Richardson for 45 yds for a TD, (Tanner Brown KICK)",3.476514085067068,2022-09-01T23:17:36.000Z,1,Oklahoma State,2022
401416569101899003,Oklahoma State,Big 12,Central Michigan,Mid-American,Oklahoma State,Central Michigan,7,0,401416569,4014165693,3,1,1,"{'minutes': 10, 'seconds': 9}",3,3,35,65,1,10,False,0,Kickoff,Tanner Brown kickoff for 65 yds for a touchback,,2022-09-01T23:20:58.000Z,1,Oklahoma State,2022
