id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404094101854401,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,1,1,"{'minutes': 14, 'seconds': 55}",3,3,65,65,1,10,False,21,Kickoff,"Tabor Allen kickoff for 65 yds , Jalil Farooq return for 21 yds to the Okla 21",,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101878501,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,7,0,401404094,4014040941,1,2,1,"{'minutes': 12, 'seconds': 14}",3,3,99,1,3,1,True,1,Rushing Touchdown,"J. Barnes run for 1 yd for a TD, (Z. Schmit KICK)",2.45399822917955,2022-10-15T16:07:09.000Z,7,Oklahoma,2022
401404094101878503,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,-6,-12,401404094,4014040941,1,3,1,"{'minutes': 12, 'seconds': 14}",3,3,35,65,1,10,False,0,Kickoff,Zach Schmit kickoff for 65 yds for a touchback,,2022-10-15T16:07:09.000Z,7,Oklahoma,2022
401404094101906403,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,-6,-6,401404094,4014040941,1,4,1,"{'minutes': 9, 'seconds': 35}",3,3,65,65,1,10,False,0,Kickoff,Tabor Allen kickoff for 65 yds for a touchback,,2022-10-15T16:19:57.000Z,7,Oklahoma,2022
401404094101929201,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,-6,401404094,4014040941,1,5,1,"{'minutes': 7, 'seconds': 7}",3,3,35,65,1,10,False,31,Kickoff,"Zach Schmit kickoff for 61 yds , Kenny Logan Jr. return for 31 yds to the Kans 35",,2022-10-15T16:27:15.000Z,7,Oklahoma,2022
401404094101976003,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,6,1,"{'minutes': 2, 'seconds': 39}",3,3,65,65,1,10,False,0,Kickoff,Tabor Allen kickoff for 65 yds for a touchback,,2022-10-15T16:37:58.000Z,7,Oklahoma,2022
401404094101000001,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,7,1,"{'minutes': 0, 'seconds': 0}",3,3,21,79,1,10,False,0,Pass Incompletion,pass incomplete to Marvin Mims,-0.58561609761675902,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000002,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,8,1,"{'minutes': 0, 'seconds': 0}",3,3,21,79,2,10,False,11,Pass Reception,Dillon Gabriel pass complete to Theo Wease for 11 yds to the Okla 32 for a 1ST down,1.39684017179205532,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000003,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,9,1,"{'minutes': 0, 'seconds': 0}",3,3,32,68,1,10,False,38,Pass Reception,Dillon Gabriel pass complete to Brayden Willis for 38 yds to the Kans 30 for a 1ST down,2.7050675827190885,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000004,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,10,1,"{'minutes': 0, 'seconds': 0}",3,3,70,30,1,10,False,14,Pass Reception,Dillon Gabriel pass complete to Drake Stoops for 14 yds to the Kans 16 for a 1ST down,0.2455204116303966,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000005,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,11,1,"{'minutes': 0, 'seconds': 0}",3,3,84,16,1,10,False,0,Pass Incompletion,pass incomplete to Marvin Mims,-0.3301132067544156,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000006,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,12,1,"{'minutes': 0, 'seconds': 0}",3,3,84,16,2,10,False,7,Rush,Dillon Gabriel run for 7 yds to the Kans 9,0.199363249425767,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000007,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,13,1,"{'minutes': 0, 'seconds': 0}",3,3,91,9,3,3,False,5,Pass Reception,Dillon Gabriel pass complete to Marvin Mims for 5 yds to the Kans 4 for a 1ST down,1.011282159907048,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000008,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,14,1,"{'minutes': 0, 'seconds': 0}",3,3,96,4,1,4,False,3,Rush,Eric Gray run for 3 yds to the Kans 1,-0.212161718759031,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000009,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,15,1,"{'minutes': 0, 'seconds': 0}",3,3,99,1,2,1,False,0,Rush,,-0.553645991706544,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094102857303,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,21,14,401404094,4014040941,1,16,2,"{'minutes': 14, 'seconds': 26}",3,3,35,65,1,10,False,0,Kickoff,Zach Schmit kickoff for 65 yds for a touchback,,2022-10-15T16:52:10.000Z,7,Oklahoma,2022
401404094102945703,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,28,14,401404094,4014040941,1,17,2,"{'minutes': 5, 'seconds': 42}",3,3,35,65,1,10,False,0,Kickoff,Zach Schmit kickoff for 65 yds for a touchback,,2022-10-15T17:17:17.000Z,7,Oklahoma,2022
401404094102975903,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,35,14,401404094,4014040941,1,18,2,"{'minutes': 2, 'seconds': 40}",3,3,35,65,1,10,False,0,Kickoff,Zach Schmit kickoff for 65 yds for a touchback,,2022-10-15T17:33:13.000Z,7,Oklahoma,2022
401404094102986303,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,19,2,"{'minutes': 1, 'seconds': 36}",3,3,65,65,1,10,False,0,Kickoff,Tabor Allen kickoff for 65 yds for a touchback,,2022-10-15T17:37:18.000Z,7,Oklahoma,2022
401404094103849901,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,35,21,401404094,4014040941,1,20,3,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Zach Schmit kickoff for 65 yds for a touchback,,2022-10-15T18:14:55.000Z,7,Oklahoma,2022
401404094103898301,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,42,21,401404094,4014040941,1,21,3,"{'minutes': 10, 'seconds': 16}",3,3,50,50,1,10,False,0,Kickoff,Zach Schmit kickoff for 50 yds for a touchback,,2022-10-15T18:29:50.000Z,7,Oklahoma,2022
401404094103898302,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,22,3,"{'minutes': 10, 'seconds': 16}",3,3,50,50,1,10,False,0,Kickoff,Zach Schmit kickoff for 50 yds for a touchback,,2022-10-15T18:29:50.000Z,7,Oklahoma,2022
401404094103944303,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,28,42,401404094,4014040941,1,23,3,"{'minutes': 5, 'seconds': 56}",3,3,65,65,1,10,False,0,Kickoff,Tabor Allen kickoff for 65 yds for a touchback,,2022-10-15T18:58:41.000Z,7,Oklahoma,2022
401404094103976303,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,49,28,401404094,4014040941,1,24,3,"{'minutes': 2, 'seconds': 36}",3,3,35,65,1,10,False,0,Kickoff,Zach Schmit kickoff for 65 yds for a touchback,,2022-10-15T18:51:53.000Z,7,Oklahoma,2022
401404094103000013,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,25,3,"{'minutes': 0, 'seconds': 0}",3,3,35,65,1,10,False,15,Kickoff,"Zach Schmit kickoff KANSAS Penalty, unsportsmanlike conduct (Lorenzo McCaskill) to the 50 yard line",,2022-10-15T18:58:41.000Z,7,Oklahoma,2022
401404094103000046,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,26,3,"{'minutes': 0, 'seconds': 0}",3,3,35,65,1,10,False,15,Kickoff,"Zach Schmit kickoff KANSAS Penalty, unsportsmanlike conduct (Lorenzo McCaskill) to the 50 yard line",,2022-10-15T18:14:55.000Z,7,Oklahoma,2022
401404094104896603,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,0,0,401404094,4014040941,1,27,4,"{'minutes': 10, 'seconds': 33}",3,3,65,65,1,10,False,0,Kickoff,Tabor Allen kickoff for 65 yds for a touchback,,2022-10-15T19:10:00.000Z,7,Oklahoma,2022
401404094104948102,Oklahoma,Big 12,Kansas,Big 12,Oklahoma,Kansas,52,42,401404094,4014040941,1,28,4,"{'minutes': 5, 'seconds': 18}",3,3,35,65,1,10,False,0,Kickoff,Zach Schmit kickoff for 65 yds for a touchback,,2022-10-15T19:30:50.000Z,7,Oklahoma,2022
401404094104966803,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,42,52,401404094,4014040941,1,29,4,"{'minutes': 3, 'seconds': 31}",3,3,65,65,1,10,False,0,Kickoff,Jacob Borcila kickoff for 11 yds,,2022-10-15T19:36:57.000Z,7,Oklahoma,2022
401404094101906401,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,7,7,401404094,4014040942,2,1,1,"{'minutes': 9, 'seconds': 35}",3,3,39,39,2,11,True,39,Passing Touchdown,"J. Bean pass,to L. Arnold for 39 yds for a TD, (J. Borcila KICK)",4.072234892283962,2022-10-15T16:19:57.000Z,7,Oklahoma,2022
401404094101000010,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,12,13,401404094,4014040942,2,2,1,"{'minutes': 0, 'seconds': 0}",3,3,75,75,1,10,False,0,Pass Incompletion,pass incomplete to Luke Grimm,-0.70297002204365193,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000011,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,12,13,401404094,4014040942,2,3,1,"{'minutes': 0, 'seconds': 0}",3,3,75,75,2,10,False,4,Rush,Devin Neal run for 4 yds to the Kans 29,-0.06222348980634162,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000012,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,12,13,401404094,4014040942,2,4,1,"{'minutes': 0, 'seconds': 0}",3,3,71,71,3,6,False,5,Penalty,"OKLAHOMA Penalty, off-side (Jalen Redmond) to the Kans 34",,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000013,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,12,13,401404094,4014040942,2,5,1,"{'minutes': 0, 'seconds': 0}",3,3,66,66,3,1,False,8,Pass Reception,Jason Bean pass complete to Torry Locklin for 8 yds to the Kans 42 for a 1ST down,1.5390857696309537,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
401404094101000014,Kansas,Big 12,Oklahoma,Big 12,Oklahoma,Kansas,12,13,401404094,4014040942,2,6,1,"{'minutes': 0, 'seconds': 0}",3,3,58,58,1,10,False,20,Pass Reception,Jason Bean pass complete to Mason Fairchild for 20 yds to the Okla 38 for a 1ST down,1.4671105634541275,2022-10-15T16:44:35.000Z,7,Oklahoma,2022
