id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403956101849902,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,0,0,401403956,4014039561,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Ben Raybon kickoff for 52 yds,,2022-11-25T00:08:15.000Z,13,Ole Miss,2022
401403956101854401,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,0,0,401403956,4014039561,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,35,65,1,10,False,28,Pass Reception,Jaxson Dart pass complete to Malik Heath for 28 yds to the MisSt 37 for a 1ST down,2.1913083792145916,2022-11-25T00:10:28.000Z,13,Ole Miss,2022
401403956101857902,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,0,0,401403956,4014039561,1,3,1,"{'minutes': 14, 'seconds': 20}",3,3,63,37,1,10,False,8,Pass Reception,Jaxson Dart pass complete to Dayton Wade for 8 yds to the MisSt 29,0.5910137767334082,2022-11-25T00:12:42.000Z,13,Ole Miss,2022
401403956101859901,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,0,0,401403956,4014039561,1,4,1,"{'minutes': 14, 'seconds': 0}",3,3,71,29,2,2,False,14,Pass Reception,Jaxson Dart pass complete to Jonathan Mingo for 14 yds to the MisSt 15 for a 1ST down,-0.097804234821748,2022-11-25T00:08:15.000Z,13,Ole Miss,2022
401403956101866901,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,0,0,401403956,4014039561,1,5,1,"{'minutes': 13, 'seconds': 30}",3,3,85,15,1,10,False,4,Pass Reception,Jaxson Dart pass complete to Jordan Watkins for 4 yds to the MisSt 11,-0.019365161227934,2022-11-25T00:08:15.000Z,13,Ole Miss,2022
401403956101869901,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,0,0,401403956,4014039561,1,6,1,"{'minutes': 13, 'seconds': 0}",3,3,89,11,2,6,False,0,Rush,Jaxson Dart run for no gain to the MisSt 11,-0.3363006671858974,2022-11-25T00:08:15.000Z,13,Ole Miss,2022
401403956101878101,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,0,0,401403956,4014039561,1,7,1,"{'minutes': 12, 'seconds': 18}",3,3,89,11,3,6,False,-3,Rush,Jonathan Mingo run for a loss of 3 yards to the MisSt 14,-0.7559019596561250,2022-11-25T00:08:15.000Z,13,Ole Miss,2022
401403956101878301,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,3,0,401403956,4014039561,1,8,1,"{'minutes': 12, 'seconds': 16}",3,3,86,14,4,9,True,32,Field Goal Good,Jonathan Cruz 32 yd FG GOOD,,2022-11-25T00:13:00.000Z,13,Ole Miss,2022
401403956101878302,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,3,0,401403956,4014039562,2,1,1,"{'minutes': 12, 'seconds': 16}",3,3,35,65,4,9,False,27,Kickoff Return (Offense),"Jonathan Cruz kickoff for 53 yds , Zavion Thomas return for 27 yds to the MisSt 39",,2022-11-25T00:13:00.000Z,13,Ole Miss,2022
401403956101879801,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,0,3,401403956,4014039562,2,2,1,"{'minutes': 12, 'seconds': 1}",3,3,61,61,1,10,False,2,Pass Reception,Will Rogers pass complete to Caleb Ducking for 2 yds to the MisSt 41,-0.673782181215797,2022-11-25T00:16:44.000Z,13,Ole Miss,2022
401403956101886401,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,0,3,401403956,4014039562,2,3,1,"{'minutes': 11, 'seconds': 35}",3,3,59,59,2,8,False,1,Rush,Jo'quavious Marks run for 1 yd to the MisSt 42,-0.7419633117870549,2022-11-25T00:17:13.000Z,13,Ole Miss,2022
401403956101889901,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,0,3,401403956,4014039562,2,4,1,"{'minutes': 11, 'seconds': 0}",3,3,58,58,3,7,False,10,Pass Reception,Will Rogers pass complete to Jaden Walley for 10 yds to the Miss 48 for a 1ST down,2.5845276931877609,2022-11-25T00:19:00.000Z,13,Ole Miss,2022
401403956101894401,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,0,3,401403956,4014039562,2,5,1,"{'minutes': 10, 'seconds': 55}",3,3,48,48,1,10,False,6,Pass Reception,Will Rogers pass complete to Austin Williams for 6 yds to the Miss 42,0.3287785418261394,2022-11-25T00:19:45.000Z,13,Ole Miss,2022
401403956101899901,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,0,3,401403956,4014039562,2,6,1,"{'minutes': 10, 'seconds': 0}",3,3,42,42,2,4,False,7,Rush,Jo'quavious Marks run for 7 yds to the Miss 35 for a 1ST down,0.3848665106768616,2022-11-25T00:20:08.000Z,13,Ole Miss,2022
401403956101905401,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,0,3,401403956,4014039562,2,7,1,"{'minutes': 9, 'seconds': 45}",3,3,35,35,1,10,False,20,Pass Reception,Will Rogers pass complete to Lideatrick Griffin for 20 yds to the Miss 15 for a 1ST down,0.414389694211873,2022-11-25T00:20:59.000Z,13,Ole Miss,2022
401403956101907901,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,0,3,401403956,4014039562,2,8,1,"{'minutes': 9, 'seconds': 20}",3,3,15,15,1,10,False,5,Rush,Jo'quavious Marks run for 5 yds to the Miss 10,0.0744340992063255,2022-11-25T00:21:24.000Z,13,Ole Miss,2022
401403956101909901,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,0,3,401403956,4014039562,2,9,1,"{'minutes': 9, 'seconds': 0}",3,3,10,10,2,5,False,0,Pass Incompletion,Will Rogers pass incomplete,-0.3559916745498305,2022-11-25T00:21:38.000Z,13,Ole Miss,2022
401403956101916901,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,0,3,401403956,4014039562,2,10,1,"{'minutes': 8, 'seconds': 30}",3,3,10,10,3,5,False,9,Pass Reception,Will Rogers pass complete to Jaden Walley for 9 yds to the Miss 1 for a 1ST down,1.901735389788145,2022-11-25T00:22:20.000Z,13,Ole Miss,2022
