id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404043101849902,Utah,Pac-12,Oregon,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,14,Kickoff Return (Offense),"Jadon Redding kickoff for 58 yds , Kris Hutson return for 14 yds to the Oregn 21",,2022-11-20T03:40:23.000Z,12,Oregon,2022
401404043101854301,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,2,1,"{'minutes': 14, 'seconds': 56}",3,3,21,79,1,10,False,-5,Penalty,"OREGON Penalty, False Start (Jackson Powers-Johnson) to the Oregn 16",,2022-11-20T03:41:41.000Z,12,Oregon,2022
401404043101854901,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,3,1,"{'minutes': 14, 'seconds': 50}",3,3,16,84,1,15,False,6,Pass Reception,Bo Nix pass complete to Kris Hutson for 6 yds to the Oregn 22,0.128278531180684224,2022-11-20T03:42:23.000Z,12,Oregon,2022
401404043101857401,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,4,1,"{'minutes': 14, 'seconds': 25}",3,3,22,78,2,9,False,5,Pass Reception,Bo Nix pass complete to Bucky Irving for 5 yds to the Oregn 27,0.04723788845139953,2022-11-20T03:42:48.000Z,12,Oregon,2022
401404043101865201,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,5,1,"{'minutes': 13, 'seconds': 47}",3,3,27,73,3,4,False,20,Pass Reception,Bo Nix pass complete to Kris Hutson for 20 yds to the Oregn 47 for a 1ST down,2.67912926693682787,2022-11-20T03:43:28.000Z,12,Oregon,2022
401404043101867901,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,6,1,"{'minutes': 13, 'seconds': 20}",3,3,47,53,1,10,False,5,Rush,Bucky Irving run for 5 yds to the Utah 48,0.1057711896973057,2022-11-20T03:43:58.000Z,12,Oregon,2022
401404043101875101,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,7,1,"{'minutes': 12, 'seconds': 48}",3,3,52,48,2,5,False,6,Rush,Bucky Irving run for 6 yds to the Utah 42 for a 1ST down,0.694592772303878,2022-11-20T03:44:16.000Z,12,Oregon,2022
401404043101878301,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,8,1,"{'minutes': 12, 'seconds': 16}",3,3,58,42,1,10,False,16,Pass Reception,Bo Nix pass complete to Kris Hutson for 16 yds to the Utah 26 for a 1ST down,0.5749333491639435,2022-11-20T03:44:52.000Z,12,Oregon,2022
401404043101885401,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,9,1,"{'minutes': 11, 'seconds': 45}",3,3,74,26,1,10,False,1,Pass Reception,Bo Nix pass complete to Kris Hutson for 1 yd to the Utah 25,-0.3601692954121845,2022-11-20T03:45:20.000Z,12,Oregon,2022
401404043101887201,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,10,1,"{'minutes': 11, 'seconds': 27}",3,3,75,25,2,9,False,0,Pass Incompletion,Bo Nix pass incomplete,-0.591562465154757,2022-11-20T03:49:10.000Z,12,Oregon,2022
401404043101887901,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,0,0,401404043,4014040431,1,11,1,"{'minutes': 11, 'seconds': 20}",3,3,75,25,3,9,False,15,Pass Reception,Bo Nix pass complete to Bucky Irving for 15 yds to the Utah 10 for a 1ST down,1.157907040725680,2022-11-20T03:49:58.000Z,12,Oregon,2022
401404043101894301,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,7,0,401404043,4014040431,1,12,1,"{'minutes': 10, 'seconds': 56}",3,3,90,10,1,10,True,10,Rushing Touchdown,"Bucky Irving run for 10 yds for a TD, (Camden Lewis KICK)",2.513826842249442,2022-11-20T03:50:25.000Z,12,Oregon,2022
401404043101894303,Oregon,Pac-12,Utah,Pac-12,Oregon,Utah,7,0,401404043,4014040432,2,1,1,"{'minutes': 10, 'seconds': 56}",3,3,35,65,1,10,False,0,Kickoff,Andrew Boyle kickoff for 40 yds fair catch by Money Parks at the Utah 5,,2022-11-20T03:52:50.000Z,12,Oregon,2022
