id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401405064101849902,Purdue,Big Ten,Penn State,Big Ten,Purdue,Penn State,0,0,401405064,4014050641,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Ben Freehill kickoff for 65 yds for a touchback,,2022-09-02T00:06:26.000Z,1,Penn State,2022
401405064101849903,Penn State,Big Ten,Purdue,Big Ten,Purdue,Penn State,0,0,401405064,4014050641,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,2,Rush,Keyvone Lee run for 2 yds to the PnSt 27,-0.45260367932203764,2022-09-02T00:06:26.000Z,1,Penn State,2022
401405064101856001,Penn State,Big Ten,Purdue,Big Ten,Purdue,Penn State,0,0,401405064,4014050641,1,3,1,"{'minutes': 14, 'seconds': 39}",3,3,73,73,2,8,False,4,Rush,Keyvone Lee run for 4 yds to the PnSt 31,-0.08212860423373946,2022-09-02T00:07:44.000Z,1,Penn State,2022
401405064101858301,Penn State,Big Ten,Purdue,Big Ten,Purdue,Penn State,0,0,401405064,4014050641,1,4,1,"{'minutes': 14, 'seconds': 16}",3,3,69,69,3,4,False,0,Pass Incompletion,Sean Clifford pass incomplete to KeAndre Lambert-Smith,-0.43770162015070736,2022-09-02T00:08:11.000Z,1,Penn State,2022
401405064101859601,Penn State,Big Ten,Purdue,Big Ten,Purdue,Penn State,0,0,401405064,4014050641,1,5,1,"{'minutes': 14, 'seconds': 3}",3,3,69,69,4,4,False,0,Punt,"Barney Amor punt for 38 yds, fair catch by Charlie Jones at the Prdue 31",,2022-09-02T00:09:10.000Z,1,Penn State,2022
401405064101859602,Purdue,Big Ten,Penn State,Big Ten,Purdue,Penn State,0,0,401405064,4014050642,2,1,1,"{'minutes': 14, 'seconds': 3}",3,3,31,69,1,10,False,8,Pass Reception,Aidan O'Connell pass complete to King Doerue for 8 yds to the Prdue 39,1.0102722158723197,2022-09-02T00:09:10.000Z,1,Penn State,2022
401405064101866601,Purdue,Big Ten,Penn State,Big Ten,Purdue,Penn State,0,0,401405064,4014050642,2,2,1,"{'minutes': 13, 'seconds': 33}",3,3,39,61,2,2,False,10,Pass Reception,Aidan O'Connell pass complete to Charlie Jones for 10 yds to the Prdue 49 for a 1ST down,0.673651585349791,2022-09-02T00:10:15.000Z,1,Penn State,2022
401405064101869301,Purdue,Big Ten,Penn State,Big Ten,Purdue,Penn State,0,0,401405064,4014050642,2,3,1,"{'minutes': 13, 'seconds': 6}",3,3,49,51,1,10,False,1,Rush,King Doerue run for 1 yd to the 50 yard line,-0.889254676573113,2022-09-02T00:10:44.000Z,1,Penn State,2022
401405064101876901,Purdue,Big Ten,Penn State,Big Ten,Purdue,Penn State,0,0,401405064,4014050642,2,4,1,"{'minutes': 12, 'seconds': 30}",3,3,50,50,2,9,False,10,Pass Reception,Aidan O'Connell pass complete to Charlie Jones for 10 yds to the PnSt 40 for a 1ST down,1.623572736528711,2022-09-02T00:11:38.000Z,1,Penn State,2022
401405064101884701,Purdue,Big Ten,Penn State,Big Ten,Purdue,Penn State,0,0,401405064,4014050642,2,5,1,"{'minutes': 11, 'seconds': 52}",3,3,60,40,1,10,False,0,Pass Incompletion,Aidan O'Connell pass incomplete to Payne Durham,-0.8457687366186874,2022-09-02T00:11:51.000Z,1,Penn State,2022
401405064101885101,Purdue,Big Ten,Penn State,Big Ten,Purdue,Penn State,0,0,401405064,4014050642,2,6,1,"{'minutes': 11, 'seconds': 48}",3,3,60,40,2,10,False,0,Pass Incompletion,Aidan O'Connell pass incomplete to Charlie Jones,-1.0264463089218036,2022-09-02T00:12:38.000Z,1,Penn State,2022
401405064101885601,Purdue,Big Ten,Penn State,Big Ten,Purdue,Penn State,0,0,401405064,4014050642,2,7,1,"{'minutes': 11, 'seconds': 43}",3,3,60,40,3,10,False,0,Pass Incompletion,Aidan O'Connell pass incomplete to TJ Sheffield,-0.9750953121346982,2022-09-02T00:13:15.000Z,1,Penn State,2022
