id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401411092101849902,Pittsburgh,ACC,West Virginia,Big 12,Pittsburgh,West Virginia,0,0,401411092,4014110921,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Ben Sauls kickoff for 65 yds for a touchback,,2022-09-01T23:05:03.000Z,1,Pittsburgh,2022
401411092101855401,West Virginia,Big 12,Pittsburgh,ACC,Pittsburgh,West Virginia,0,0,401411092,4014110921,1,2,1,"{'minutes': 14, 'seconds': 45}",3,3,75,75,1,10,False,3,Rush,Tony Mathis Jr. run for 3 yds to the WVirg 28,-0.2957674139440157,2022-09-01T23:07:27.000Z,1,Pittsburgh,2022
401411092101858901,West Virginia,Big 12,Pittsburgh,ACC,Pittsburgh,West Virginia,0,0,401411092,4014110921,1,3,1,"{'minutes': 14, 'seconds': 10}",3,3,72,72,2,7,False,10,Pass Reception,JT Daniels pass complete to Sam James for 10 yds to the WVirg 38 for a 1ST down,1.4205188929858466,2022-09-01T23:08:09.000Z,1,Pittsburgh,2022
401411092101859901,West Virginia,Big 12,Pittsburgh,ACC,Pittsburgh,West Virginia,0,0,401411092,4014110921,1,4,1,"{'minutes': 14, 'seconds': 0}",3,3,62,62,1,10,False,22,Pass Reception,JT Daniels pass complete to Bryce Ford-Wheaton for 22 yds to the Pitt 40 for a 1ST down,1.7639544967421496,2022-09-01T23:08:56.000Z,1,Pittsburgh,2022
401411092101866901,West Virginia,Big 12,Pittsburgh,ACC,Pittsburgh,West Virginia,0,0,401411092,4014110921,1,5,1,"{'minutes': 13, 'seconds': 30}",3,3,40,40,1,10,False,-1,Pass Reception,JT Daniels pass complete to Tony Mathis Jr. for a loss of 1 yard to the Pitt 41,-1.0526226150183255,2022-09-01T23:09:25.000Z,1,Pittsburgh,2022
401411092101875401,West Virginia,Big 12,Pittsburgh,ACC,Pittsburgh,West Virginia,0,0,401411092,4014110921,1,6,1,"{'minutes': 12, 'seconds': 45}",3,3,41,41,2,11,False,0,Pass Incompletion,JT Daniels pass incomplete to Sam James,-1.0401459627134635,2022-09-01T23:09:44.000Z,1,Pittsburgh,2022
401411092101875402,West Virginia,Big 12,Pittsburgh,ACC,Pittsburgh,West Virginia,0,0,401411092,4014110921,1,7,1,"{'minutes': 12, 'seconds': 45}",3,3,41,41,3,11,False,-5,Penalty,"WEST VIRGINIA Penalty, False Start (-5 Yards) to the Pitt 46",,2022-09-01T23:09:44.000Z,1,Pittsburgh,2022
401411092101878901,West Virginia,Big 12,Pittsburgh,ACC,Pittsburgh,West Virginia,0,0,401411092,4014110921,1,8,1,"{'minutes': 12, 'seconds': 10}",3,3,46,46,3,16,False,-2,Fumble Recovery (Own),"JT Daniels run for a loss of 2 yards to the Pitt 48 JT Daniels fumbled, recovered by WVirg Tony Mathis Jr.",-0.74714927872130145,2022-09-01T23:05:03.000Z,1,Pittsburgh,2022
401411092101879901,West Virginia,Big 12,Pittsburgh,ACC,Pittsburgh,West Virginia,0,0,401411092,4014110921,1,9,1,"{'minutes': 12, 'seconds': 0}",3,3,48,48,4,18,False,0,Punt,"Oliver Straw punt for 37 yds, fair catch by Konata Mumpfield at the Pitt 11",,2022-09-01T23:15:08.000Z,1,Pittsburgh,2022
401411092101884901,Pittsburgh,ACC,West Virginia,Big 12,Pittsburgh,West Virginia,0,0,401411092,4014110922,2,1,1,"{'minutes': 11, 'seconds': 50}",3,3,11,89,1,10,False,3,Rush,Israel Abanikanda run for 3 yds to the Pitt 14,-0.15281617913395351,2022-09-01T23:15:55.000Z,1,Pittsburgh,2022
401411092101888901,Pittsburgh,ACC,West Virginia,Big 12,Pittsburgh,West Virginia,0,0,401411092,4014110922,2,2,1,"{'minutes': 11, 'seconds': 10}",3,3,14,86,2,7,False,3,Rush,Konata Mumpfield run for 3 yds to the Pitt 17,-0.11753165768967122,2022-09-01T23:16:27.000Z,1,Pittsburgh,2022
401411092101898401,Pittsburgh,ACC,West Virginia,Big 12,Pittsburgh,West Virginia,0,0,401411092,4014110922,2,3,1,"{'minutes': 10, 'seconds': 15}",3,3,17,83,3,4,False,-9,Sack,Kedon Slovis sacked by Jared Bartlett for a loss of 9 yards to the Pitt 8,-0.34685132247076123,2022-09-01T23:17:24.000Z,1,Pittsburgh,2022
401411092101906001,Pittsburgh,ACC,West Virginia,Big 12,Pittsburgh,West Virginia,0,0,401411092,4014110922,2,4,1,"{'minutes': 9, 'seconds': 39}",3,3,8,92,4,13,False,0,Punt,"Sam Vander Haar punt for 37 yds, punt out-of-bounds at the Pitt 45",,2022-09-01T23:18:02.000Z,1,Pittsburgh,2022
