id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401405113101849905,Nebraska,Big Ten,Purdue,Big Ten,Purdue,Nebraska,0,0,401405113,4014051131,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Brendan Franke kickoff for 65 yds for a touchback,,2022-10-15T23:02:52.000Z,7,Purdue,2022
401405113101849908,Purdue,Big Ten,Nebraska,Big Ten,Purdue,Nebraska,0,0,401405113,4014051131,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,16,Rush,Devin Mockobee run for 16 yds to the Prdue 41 for a 1ST down,1.4187427699228942,2022-10-15T23:02:52.000Z,7,Purdue,2022
401405113101849910,Purdue,Big Ten,Nebraska,Big Ten,Purdue,Nebraska,0,0,401405113,4014051131,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,41,59,1,10,False,6,Pass Reception,Aidan O'Connell pass complete to Charlie Jones for 6 yds to the Prdue 47,0.3989351639023673,2022-10-15T23:02:52.000Z,7,Purdue,2022
401405113101849913,Purdue,Big Ten,Nebraska,Big Ten,Purdue,Nebraska,0,0,401405113,4014051131,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,47,53,2,4,False,2,Rush,Devin Mockobee run for 2 yds to the Prdue 49,-0.7334690478119923,2022-10-15T23:33:58.000Z,7,Purdue,2022
401405113101849915,Purdue,Big Ten,Nebraska,Big Ten,Purdue,Nebraska,0,0,401405113,4014051131,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,49,51,3,2,False,9,Rush,Devin Mockobee run for 9 yds to the Neb 42 for a 1ST down,1.6986107621359283,2022-10-15T23:33:58.000Z,7,Purdue,2022
401405113101849917,Purdue,Big Ten,Nebraska,Big Ten,Purdue,Nebraska,0,0,401405113,4014051131,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,58,42,1,10,False,0,Pass Incompletion,Aidan O'Connell pass incomplete,-0.908489395271188,2022-10-15T23:33:58.000Z,7,Purdue,2022
401405113101849920,Purdue,Big Ten,Nebraska,Big Ten,Purdue,Nebraska,0,0,401405113,4014051131,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,58,42,2,10,False,5,Penalty,"NEBRASKA Penalty, Offsides (5 Yards) to the Neb 37",,2022-10-15T23:33:58.000Z,7,Purdue,2022
401405113101849923,Purdue,Big Ten,Nebraska,Big Ten,Purdue,Nebraska,0,0,401405113,4014051131,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,63,37,2,5,False,5,Rush,Devin Mockobee run for 5 yds to the Neb 32 for a 1ST down,0.3334495121007493,2022-10-15T23:33:58.000Z,7,Purdue,2022
401405113101849925,Purdue,Big Ten,Nebraska,Big Ten,Purdue,Nebraska,0,0,401405113,4014051131,1,9,1,"{'minutes': 15, 'seconds': 0}",3,3,68,32,1,10,False,0,Pass Incompletion,Aidan O'Connell pass incomplete,-0.6082596672078662,2022-10-15T23:33:58.000Z,7,Purdue,2022
401405113101879001,Purdue,Big Ten,Nebraska,Big Ten,Purdue,Nebraska,0,0,401405113,4014051131,1,10,1,"{'minutes': 12, 'seconds': 9}",3,3,68,32,2,10,False,0,Interception,"Aidan O'Connell pass intercepted, touchback.",-3.5202209072031714,2022-10-15T23:37:55.000Z,7,Purdue,2022
401405113101879003,Nebraska,Big Ten,Purdue,Big Ten,Purdue,Nebraska,0,0,401405113,4014051132,2,1,1,"{'minutes': 12, 'seconds': 9}",3,3,80,80,1,10,False,6,Rush,Anthony Grant run for 6 yds to the Neb 26,0.2888240217992033,2022-10-15T23:37:55.000Z,7,Purdue,2022
401405113101879004,Nebraska,Big Ten,Purdue,Big Ten,Purdue,Nebraska,0,0,401405113,4014051132,2,2,1,"{'minutes': 12, 'seconds': 9}",3,3,74,74,2,4,False,3,Pass Reception,Casey Thompson pass complete to Trey Palmer for 3 yds to the Neb 29,-0.2949332143131835,2022-10-15T23:37:55.000Z,7,Purdue,2022
401405113101879005,Nebraska,Big Ten,Purdue,Big Ten,Purdue,Nebraska,0,0,401405113,4014051132,2,3,1,"{'minutes': 12, 'seconds': 9}",3,3,71,71,3,1,False,2,Rush,Anthony Grant run for 2 yds to the Neb 31 for a 1ST down,0.7848759830040333,2022-10-15T23:37:55.000Z,7,Purdue,2022
401405113101879006,Nebraska,Big Ten,Purdue,Big Ten,Purdue,Nebraska,0,0,401405113,4014051132,2,4,1,"{'minutes': 12, 'seconds': 9}",3,3,69,69,1,10,False,14,Pass Reception,Casey Thompson pass complete to Marcus Washington for 14 yds to the Neb 45 for a 1ST down,1.3306777677986847,2022-10-15T23:37:55.000Z,7,Purdue,2022
