id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415656101849903,South Florida,American Athletic,SMU,American Athletic,South Florida,SMU,0,0,401415656,4014156561,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Spencer Shrader kickoff for 65 yds for a touchback,,2022-11-12T17:09:07.000Z,11,SMU,2022
401415656101849906,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156561,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,6,Rush,Tyler Lavine run for 6 yds to the SMU 31,0.3333748010525683,2022-11-12T17:10:30.000Z,11,SMU,2022
401415656101849908,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156561,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,69,69,2,4,False,0,Pass Incompletion,Tanner Mordecai pass incomplete,-0.8681070846083454,2022-11-12T17:09:07.000Z,11,SMU,2022
401415656101849911,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156561,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,69,69,3,4,False,5,Pass Reception,Tanner Mordecai pass complete to RJ Maryland for 5 yds to the SMU 36 for a 1ST down,1.4652947955017676,2022-11-12T17:10:30.000Z,11,SMU,2022
401415656101849913,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156561,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,64,64,1,10,False,11,Rush,Tyler Lavine run for 11 yds to the SMU 47 for a 1ST down,1.0518931742020233,2022-11-12T17:10:30.000Z,11,SMU,2022
401415656101849915,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156561,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,53,53,1,10,False,3,Pass Reception,Tanner Mordecai pass complete to Rashee Rice for 3 yds to the 50 yard line,-0.4117922810157673,2022-11-12T17:10:30.000Z,11,SMU,2022
401415656101849918,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156561,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,50,50,2,7,False,4,Rush,Tyler Lavine run for 4 yds to the SFla 46,-0.164697701144938,2022-11-12T17:10:30.000Z,11,SMU,2022
401415656101849921,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156561,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,46,46,3,3,False,-1,Pass Reception,Tanner Mordecai pass complete to Moochie Dixon for a loss of 1 yard to the SFla 47,-1.3107790780640122,2022-11-12T17:10:30.000Z,11,SMU,2022
401415656101876701,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156561,1,9,1,"{'minutes': 12, 'seconds': 32}",3,3,47,47,4,4,False,0,Pass Incompletion,Tanner Mordecai pass incomplete,-1.0174315062019748,2022-11-12T17:12:45.000Z,11,SMU,2022
401415656101876703,South Florida,American Athletic,SMU,American Athletic,South Florida,SMU,0,0,401415656,4014156562,2,1,1,"{'minutes': 12, 'seconds': 32}",3,3,47,53,1,10,False,0,Pass Incompletion,Katravis Marsh pass incomplete,-1.1527089917962545,2022-11-12T17:12:45.000Z,11,SMU,2022
401415656101876704,South Florida,American Athletic,SMU,American Athletic,South Florida,SMU,0,0,401415656,4014156562,2,2,1,"{'minutes': 12, 'seconds': 32}",3,3,47,53,2,10,False,0,Pass Incompletion,Katravis Marsh pass incomplete,-0.9619971707978011,2022-11-12T17:12:45.000Z,11,SMU,2022
401415656101876705,South Florida,American Athletic,SMU,American Athletic,South Florida,SMU,0,0,401415656,4014156562,2,3,1,"{'minutes': 12, 'seconds': 32}",3,3,47,53,3,10,False,7,Pass Reception,Katravis Marsh pass complete to Xavier Weaver for 7 yds to the SMU 46,0.4262863208518280,2022-11-12T17:12:45.000Z,11,SMU,2022
401415656101886301,South Florida,American Athletic,SMU,American Athletic,South Florida,SMU,0,0,401415656,4014156562,2,4,1,"{'minutes': 11, 'seconds': 36}",3,3,54,46,4,3,False,0,Pass Incompletion,Katravis Marsh pass incomplete,-1.2162807246844647,2022-11-12T17:10:30.000Z,11,SMU,2022
401415656101886303,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156563,3,1,1,"{'minutes': 11, 'seconds': 36}",3,3,54,54,1,10,False,5,Rush,Camar Wheaton run for 5 yds to the SFla 49,0.1068990350586356,2022-11-12T17:19:33.000Z,11,SMU,2022
401415656101886304,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156563,3,2,1,"{'minutes': 11, 'seconds': 36}",3,3,49,49,2,5,False,18,Rush,Camar Wheaton run for 18 yds to the SFla 31 for a 1ST down,1.2360523325536244,2022-11-12T17:19:33.000Z,11,SMU,2022
401415656101886305,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156563,3,3,1,"{'minutes': 11, 'seconds': 36}",3,3,31,31,1,10,False,26,Pass Reception,Tanner Mordecai pass complete to Rashee Rice for 26 yds to the SFla 5 for a 1ST down,0.958165329514074,2022-11-12T17:19:33.000Z,11,SMU,2022
401415656101886306,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156563,3,4,1,"{'minutes': 11, 'seconds': 36}",3,3,5,5,1,5,False,3,Rush,Camar Wheaton run for 3 yds to the SFla 2,-0.184155684763349,2022-11-12T17:19:33.000Z,11,SMU,2022
401415656101886307,SMU,American Athletic,South Florida,American Athletic,South Florida,SMU,0,0,401415656,4014156563,3,5,1,"{'minutes': 11, 'seconds': 36}",3,3,2,2,2,2,False,1,Rush,Camar Wheaton run for 1 yd to the SFla 1,-0.386061703857327,2022-11-12T17:19:33.000Z,11,SMU,2022
