id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415267101849903,San Diego State,Mountain West,Air Force,Mountain West,San Diego State,Air Force,0,0,401415267,4014152671,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Jack Browning kickoff for 65 yds for a touchback,,2022-11-27T02:12:50.000Z,13,San Diego State,2022
401415267101849905,Air Force,Mountain West,San Diego State,Mountain West,San Diego State,Air Force,0,0,401415267,4014152671,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,6,Rush,Brad Roberts run for 6 yds to the AFA 31,0.3333748010525683,2022-11-27T02:12:50.000Z,13,San Diego State,2022
401415267101849906,Air Force,Mountain West,San Diego State,Mountain West,San Diego State,Air Force,0,0,401415267,4014152671,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,69,69,2,4,False,63,Rush,Brad Roberts run for 63 yds to the SDSt 6 for a 1ST down,3.6918905476034762,2022-11-27T02:12:50.000Z,13,San Diego State,2022
401415267101849907,Air Force,Mountain West,San Diego State,Mountain West,San Diego State,Air Force,0,0,401415267,4014152671,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,6,6,1,6,False,3,Rush,Brad Roberts run for 3 yds to the SDSt 3,-0.158934842894816,2022-11-27T02:12:50.000Z,13,San Diego State,2022
401415267101849908,Air Force,Mountain West,San Diego State,Mountain West,San Diego State,Air Force,0,0,401415267,4014152671,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,3,3,2,3,False,1,Rush,Brad Roberts run for 1 yd to the SDSt 2,-0.333405670102768,2022-11-27T02:12:50.000Z,13,San Diego State,2022
401415267101877201,Air Force,Mountain West,San Diego State,Mountain West,San Diego State,Air Force,7,0,401415267,4014152671,1,6,1,"{'minutes': 12, 'seconds': 27}",3,3,2,2,3,2,True,2,Rushing Touchdown,"Brad Roberts run for 2 yds for a TD, (Matthew Dapore KICK)",2.544830284062861,2022-11-27T02:12:50.000Z,13,San Diego State,2022
401415267101877701,Air Force,Mountain West,San Diego State,Mountain West,San Diego State,Air Force,7,0,401415267,4014152672,2,1,1,"{'minutes': 12, 'seconds': 22}",3,3,65,65,1,10,False,18,Kickoff Return (Offense),"Matthew Dapore kickoff for 56 yds , Jordan Byrd return for 18 yds to the SDSt 27",,2022-11-27T02:15:20.000Z,13,San Diego State,2022
401415267101877703,San Diego State,Mountain West,Air Force,Mountain West,San Diego State,Air Force,0,7,401415267,4014152672,2,2,1,"{'minutes': 12, 'seconds': 22}",3,3,27,73,1,10,False,1,Pass Reception,Jalen Mayden pass complete to Jordan Byrd for 1 yd to the SDSt 28,-0.6386416872694820,2022-11-27T02:15:17.000Z,13,San Diego State,2022
401415267101877704,San Diego State,Mountain West,Air Force,Mountain West,San Diego State,Air Force,0,7,401415267,4014152672,2,3,1,"{'minutes': 12, 'seconds': 22}",3,3,28,72,2,9,False,13,Pass Reception,Jalen Mayden pass complete to Tyrell Shavers for 13 yds to the SDSt 41 for a 1ST down,1.9123447716929913,2022-11-27T02:15:17.000Z,13,San Diego State,2022
401415267101877705,San Diego State,Mountain West,Air Force,Mountain West,San Diego State,Air Force,0,7,401415267,4014152672,2,4,1,"{'minutes': 12, 'seconds': 22}",3,3,41,59,1,10,False,28,Pass Reception,Jalen Mayden pass complete to Mark Redman for 28 yds to the AFA 31 for a 1ST down,1.8170661797254793,2022-11-27T02:17:01.000Z,13,San Diego State,2022
401415267101877706,San Diego State,Mountain West,Air Force,Mountain West,San Diego State,Air Force,0,7,401415267,4014152672,2,5,1,"{'minutes': 12, 'seconds': 22}",3,3,64,36,1,15,False,9,Rush,Jalen Mayden run for 9 yds to the AFA 27,0.5794273976723882,2022-11-27T02:17:01.000Z,13,San Diego State,2022
401415267101877707,San Diego State,Mountain West,Air Force,Mountain West,San Diego State,Air Force,0,7,401415267,4014152672,2,6,1,"{'minutes': 12, 'seconds': 22}",3,3,73,27,2,6,False,1,Rush,Jordan Byrd run for 1 yd to the AFA 28,-0.4761088603884253,2022-11-27T02:17:01.000Z,13,San Diego State,2022
401415267101877708,San Diego State,Mountain West,Air Force,Mountain West,San Diego State,Air Force,0,7,401415267,4014152672,2,7,1,"{'minutes': 12, 'seconds': 22}",3,3,72,28,3,7,False,0,Pass Incompletion,Jalen Mayden pass incomplete to Tyrell Shavers,-0.8963490238602781,2022-11-27T02:17:01.000Z,13,San Diego State,2022
401415267101914501,San Diego State,Mountain West,Air Force,Mountain West,San Diego State,Air Force,0,7,401415267,4014152672,2,8,1,"{'minutes': 8, 'seconds': 54}",3,3,72,28,4,7,False,45,Field Goal Missed,Jack Browning 45 yd FG MISSED,,2022-11-27T02:20:08.000Z,13,San Diego State,2022
401415267101914503,Air Force,Mountain West,San Diego State,Mountain West,San Diego State,Air Force,7,0,401415267,4014152673,3,1,1,"{'minutes': 8, 'seconds': 54}",3,3,72,72,1,10,False,1,Rush,Haaziq Daniels run for 1 yd to the AFA 29,-0.6645196581023116,2022-11-27T02:23:08.000Z,13,San Diego State,2022
