id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403962101849902,Clemson,ACC,South Carolina,SEC,Clemson,South Carolina,0,0,401403962,4014039621,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,B.T. Potter kickoff for 65 yds for a touchback,,2022-11-26T17:08:03.000Z,13,South Carolina,2022
401403962101855401,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,0,401403962,4014039621,1,2,1,"{'minutes': 14, 'seconds': 45}",3,3,75,75,1,10,False,3,Pass Reception,Spencer Rattler pass complete to Jalen Brooks for 3 yds to the SCaro 28,-0.2957674139440157,2022-11-26T17:09:01.000Z,13,South Carolina,2022
401403962101857301,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,0,401403962,4014039621,1,3,1,"{'minutes': 14, 'seconds': 26}",3,3,72,72,2,7,False,0,Pass Incompletion,Spencer Rattler pass incomplete,-0.5594317282120231,2022-11-26T17:09:24.000Z,13,South Carolina,2022
401403962101858501,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,0,401403962,4014039621,1,4,1,"{'minutes': 14, 'seconds': 14}",3,3,72,72,3,7,False,5,Pass Reception,Spencer Rattler pass complete to Austin Stogner for 5 yds to the SCaro 33,0.03429729127444769,2022-11-26T17:10:12.000Z,13,South Carolina,2022
401403962101867101,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,0,401403962,4014039621,1,5,1,"{'minutes': 13, 'seconds': 28}",3,3,67,67,4,2,False,5,Punt,"Kai Kroeger punt for 59 yds , Antonio Williams returns for 5 yds to the Clem 38 CLEMSON Penalty, Illegal Block (6 Yards) to the Clem 7",,2022-11-26T17:12:00.000Z,13,South Carolina,2022
401403962101867801,Clemson,ACC,South Carolina,SEC,Clemson,South Carolina,0,0,401403962,4014039622,2,1,1,"{'minutes': 13, 'seconds': 21}",3,3,7,93,1,10,False,18,Rush,DJ Uiagalelei run for 18 yds to the Clem 25 for a 1ST down,0.7957520921807291,2022-11-26T17:12:25.000Z,13,South Carolina,2022
401403962101869901,Clemson,ACC,South Carolina,SEC,Clemson,South Carolina,0,0,401403962,4014039622,2,2,1,"{'minutes': 13, 'seconds': 0}",3,3,25,75,1,10,False,4,Rush,Will Shipley run for 4 yds to the Clem 29,-0.1142886249388964,2022-11-26T17:13:08.000Z,13,South Carolina,2022
401403962101876401,Clemson,ACC,South Carolina,SEC,Clemson,South Carolina,0,0,401403962,4014039622,2,3,1,"{'minutes': 12, 'seconds': 35}",3,3,29,71,2,6,False,0,Pass Incompletion,DJ Uiagalelei pass incomplete,-0.65090488691109715,2022-11-26T17:13:24.000Z,13,South Carolina,2022
401403962101876801,Clemson,ACC,South Carolina,SEC,Clemson,South Carolina,0,0,401403962,4014039622,2,4,1,"{'minutes': 12, 'seconds': 31}",3,3,29,71,3,6,False,0,Pass Incompletion,DJ Uiagalelei pass incomplete,-0.31468972689785791,2022-11-26T17:13:54.000Z,13,South Carolina,2022
401403962101877601,Clemson,ACC,South Carolina,SEC,Clemson,South Carolina,0,0,401403962,4014039622,2,5,1,"{'minutes': 12, 'seconds': 23}",3,3,29,71,4,6,False,0,Punt,"Aidan Swanson punt for 40 yds, downed at the SCaro 31",,2022-11-26T17:15:06.000Z,13,South Carolina,2022
401403962101878401,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,7,401403962,4014039623,3,1,1,"{'minutes': 12, 'seconds': 15}",3,3,69,69,1,10,True,35,Interception Return Touchdown,"Spencer Rattler pass intercepted for a TD Jeremiah Trotter Jr. return for 35 yds for a TD, (B.T. Potter KICK)",-8.3927089948849503,2022-11-26T17:19:03.000Z,13,South Carolina,2022
401403962101878403,Clemson,ACC,South Carolina,SEC,Clemson,South Carolina,7,0,401403962,4014039624,4,1,1,"{'minutes': 12, 'seconds': 15}",3,3,35,65,1,10,False,24,Kickoff Return (Offense),"B.T. Potter kickoff for 65 yds , Xavier Legette return for 24 yds to the SCaro 24",,2022-11-26T17:19:03.000Z,13,South Carolina,2022
401403962101886701,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,7,401403962,4014039624,4,2,1,"{'minutes': 11, 'seconds': 32}",3,3,76,76,1,10,False,0,Rush,MarShawn Lloyd run for no gain to the SCaro 24,-0.67235715213098592,2022-11-26T17:21:36.000Z,13,South Carolina,2022
401403962101887701,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,7,401403962,4014039624,4,3,1,"{'minutes': 11, 'seconds': 22}",3,3,76,76,2,10,False,0,Pass Incompletion,Spencer Rattler pass incomplete,-0.32776852916780008,2022-11-26T17:21:47.000Z,13,South Carolina,2022
401403962101888801,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,7,401403962,4014039624,4,4,1,"{'minutes': 11, 'seconds': 11}",3,3,76,76,3,10,False,22,Pass Reception,Spencer Rattler pass complete to Josh Vann for 22 yds to the SCaro 46 for a 1ST down,2.9608464870293687,2022-11-26T17:23:00.000Z,13,South Carolina,2022
401403962101895901,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,7,401403962,4014039624,4,5,1,"{'minutes': 10, 'seconds': 40}",3,3,54,54,1,10,False,-1,Rush,MarShawn Lloyd run for a loss of 1 yard to the SCaro 45,-1.3849425437606688,2022-11-26T17:23:17.000Z,13,South Carolina,2022
401403962101898701,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,7,401403962,4014039624,4,6,1,"{'minutes': 10, 'seconds': 12}",3,3,55,55,2,11,False,0,Pass Incompletion,Spencer Rattler pass incomplete,-0.8626193696524860,2022-11-26T17:23:47.000Z,13,South Carolina,2022
401403962101899201,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,7,401403962,4014039624,4,7,1,"{'minutes': 10, 'seconds': 7}",3,3,55,55,3,11,False,0,Pass Incompletion,Spencer Rattler pass incomplete to Josh Vann,-0.509961287016034616,2022-11-26T17:24:31.000Z,13,South Carolina,2022
401403962101899901,South Carolina,SEC,Clemson,ACC,Clemson,South Carolina,0,7,401403962,4014039624,4,8,1,"{'minutes': 10, 'seconds': 0}",3,3,55,55,4,11,False,0,Punt,"Kai Kroeger punt for 45 yds, fair catch by Antonio Williams at the Clem 10",,2022-11-26T17:25:15.000Z,13,South Carolina,2022
401403962101904401,Clemson,ACC,South Carolina,SEC,Clemson,South Carolina,7,0,401403962,4014039625,5,1,1,"{'minutes': 9, 'seconds': 55}",3,3,10,90,1,10,False,15,Rush,Will Shipley run for 15 yds to the Clem 25 for a 1ST down,0.71608913341588303,2022-11-26T17:26:15.000Z,13,South Carolina,2022
