id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415643101849906,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,0,0,401415643,4014156431,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Bubba Baxa kickoff for 65 yds for a touchback,,2022-10-29T15:59:56.000Z,9,South Florida,2022
401415643101849909,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,0,401415643,4014156431,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,18,Pass Reception,Katravis Marsh pass complete to Xavier Weaver for 18 yds to the SFla 43 for a 1ST down,1.6124384222099950,2022-10-29T15:59:56.000Z,9,South Florida,2022
401415643101849911,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,0,401415643,4014156431,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,57,57,1,10,False,6,Rush,Brian Battie run for 6 yds to the SFla 49,0.3916485064988020,2022-10-29T15:59:56.000Z,9,South Florida,2022
401415643101849914,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,0,401415643,4014156431,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,51,51,2,4,False,-6,Rush,Jimmy Horn Jr. run for a loss of 6 yards to the SFla 43,-2.4003237982811001,2022-10-29T15:59:56.000Z,9,South Florida,2022
401415643101849915,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,0,401415643,4014156431,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,57,57,3,10,False,0,Pass Incompletion,Katravis Marsh pass incomplete,-0.49192747705042897,2022-10-29T15:59:56.000Z,9,South Florida,2022
401415643101869701,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,0,401415643,4014156431,1,6,1,"{'minutes': 13, 'seconds': 2}",3,3,57,57,4,10,False,0,Punt,"Colin McCreary punt for 41 yds , Jalen Emery returns for no gain to the Houst 43 SOUTH FLORIDA Penalty, Kick Catch Interference on ROBINSON, TJ enforced (-15 Yards) to the Houst 35",,2022-10-29T16:05:49.000Z,9,South Florida,2022
401415643101869703,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,0,0,401415643,4014156432,2,1,1,"{'minutes': 13, 'seconds': 2}",3,3,35,65,1,10,False,8,Rush,Clayton Tune run for 8 yds to the Houst 43,1.0371887163944020,2022-10-29T16:05:49.000Z,9,South Florida,2022
401415643101869704,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,0,0,401415643,4014156432,2,2,1,"{'minutes': 13, 'seconds': 2}",3,3,43,57,2,2,False,16,Fumble Recovery (Own),"Clayton Tune pass complete to Nathaniel Dell for 16 yds Nathaniel Dell fumbled, recovered by Houst for a 1ST down",0.9650086684004134,2022-10-29T16:05:49.000Z,9,South Florida,2022
401415643101869705,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,0,0,401415643,4014156432,2,3,1,"{'minutes': 13, 'seconds': 2}",3,3,59,41,1,10,False,13,Rush,Brandon Campbell run for 13 yds to the SFla 28 for a 1ST down,0.4765051517580884,2022-10-29T16:05:49.000Z,9,South Florida,2022
401415643101869706,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,0,0,401415643,4014156432,2,4,1,"{'minutes': 13, 'seconds': 2}",3,3,72,28,1,10,False,26,Pass Reception,Clayton Tune pass complete to KeSean Carter for 26 yds to the SFla 2 for a 1ST down,1.550779176466333,2022-10-29T16:05:49.000Z,9,South Florida,2022
401415643101869707,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,0,0,401415643,4014156432,2,5,1,"{'minutes': 13, 'seconds': 2}",3,3,98,2,1,2,False,1,Rush,Brandon Campbell run for 1 yd to the SFla 1,-0.687116939800908,2022-10-29T16:05:49.000Z,9,South Florida,2022
401415643101869708,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,0,0,401415643,4014156432,2,6,1,"{'minutes': 13, 'seconds': 2}",3,3,99,1,2,1,False,0,Rush,Brandon Campbell run for no gain to the SFla 1,-0.553645991706544,2022-10-29T16:05:49.000Z,9,South Florida,2022
401415643101905601,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,7,0,401415643,4014156432,2,7,1,"{'minutes': 9, 'seconds': 43}",3,3,99,1,3,1,True,1,Passing Touchdown,"Clayton Tune pass complete to Nathaniel Dell for 1 yd for a TD, (Kyle Ramsey KICK)",2.45399822917955,2022-10-29T16:09:48.000Z,9,South Florida,2022
401415643101906301,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,7,0,401415643,4014156433,3,1,1,"{'minutes': 9, 'seconds': 36}",3,3,35,65,0,0,False,15,Kickoff Return (Offense),"Bubba Baxa kickoff for 65 yds , Brian Battie return for 15 yds to the SFla 15",,2022-10-29T16:14:07.000Z,9,South Florida,2022
401415643101906303,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,7,401415643,4014156433,3,2,1,"{'minutes': 9, 'seconds': 36}",3,3,85,85,1,10,False,1,Rush,Kelley Joiner Jr. run for 1 yd to the SFla 16,-0.370281760586258264,2022-10-29T16:14:07.000Z,9,South Florida,2022
401415643101906304,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,7,401415643,4014156433,3,3,1,"{'minutes': 9, 'seconds': 36}",3,3,84,84,2,9,False,19,Rush,run for 19 yds to the SFla 35 for a 1ST down,1.748526299770133164,2022-10-29T16:14:07.000Z,9,South Florida,2022
401415643101906305,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,7,401415643,4014156433,3,4,1,"{'minutes': 9, 'seconds': 36}",3,3,65,65,1,10,False,5,Penalty,"HOUSTON Penalty, Offsides (5 Yards) to the SFla 40",,2022-10-29T16:14:07.000Z,9,South Florida,2022
401415643101906307,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,7,401415643,4014156433,3,5,1,"{'minutes': 9, 'seconds': 36}",3,3,60,60,1,5,False,5,Penalty,"MARSH, Katravis scrambles up the middle for a loss of 14 yards to the USF26, End of Play. PENALTY HOU Offsides on CEASER, Nelson enforced 5 yards from the USF40 to the USF45 and results in a 1ST DOWN [NHSG]. NO PLAY (replay the down).",,2022-10-29T16:14:07.000Z,9,South Florida,2022
401415643101906308,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,7,401415643,4014156433,3,6,1,"{'minutes': 9, 'seconds': 36}",3,3,55,55,1,10,False,37,Rush,Brian Battie run for 37 yds to the Houst 18 for a 1ST down,1.684820528245774,2022-10-29T16:14:07.000Z,9,South Florida,2022
401415643101906309,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,0,7,401415643,4014156433,3,7,1,"{'minutes': 9, 'seconds': 36}",3,3,18,18,1,10,False,5,Rush,Brian Battie run for 5 yds to the Houst 13,0.074296967756130,2022-10-29T16:14:07.000Z,9,South Florida,2022
401415643101935101,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,7,7,401415643,4014156433,3,8,1,"{'minutes': 6, 'seconds': 48}",3,3,13,13,2,5,True,13,Rushing Touchdown,"Brian Battie run for 13 yds for a TD, (Spencer Shrader KICK)",2.517495741314461,2022-10-29T16:18:09.000Z,9,South Florida,2022
401415643101935103,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,7,7,401415643,4014156434,4,1,1,"{'minutes': 6, 'seconds': 48}",3,3,65,65,0,0,False,0,Kickoff,Spencer Shrader kickoff for 65 yds for a touchback,,2022-10-29T16:21:03.000Z,9,South Florida,2022
401415643101935105,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,7,7,401415643,4014156434,4,2,1,"{'minutes': 6, 'seconds': 48}",3,3,25,75,1,10,False,0,Pass Incompletion,Clayton Tune pass incomplete,-0.70297002204365193,2022-10-29T16:21:03.000Z,9,South Florida,2022
401415643101935106,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,7,7,401415643,4014156434,4,3,1,"{'minutes': 6, 'seconds': 48}",3,3,25,75,2,10,False,-2,Rush,Stacy Sneed run for a loss of 2 yards to the Houst 23,-0.43119670262526277,2022-10-29T16:21:03.000Z,9,South Florida,2022
401415643101935107,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,7,7,401415643,4014156434,4,4,1,"{'minutes': 6, 'seconds': 48}",3,3,23,77,3,12,False,11,Pass Reception,Clayton Tune pass complete to Sam Brown for 11 yds to the Houst 34,0.4104864065555649,2022-10-29T16:21:03.000Z,9,South Florida,2022
401415643101948301,Houston,American Athletic,South Florida,American Athletic,Houston,South Florida,7,7,401415643,4014156434,4,5,1,"{'minutes': 5, 'seconds': 16}",3,3,34,66,4,1,False,6,Punt,"Laine Wilkins punt for 48 yds , Xavier Weaver returns for 6 yds to the SFla 24",,2022-10-29T16:25:29.000Z,9,South Florida,2022
401415643101948303,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,7,7,401415643,4014156435,5,1,1,"{'minutes': 5, 'seconds': 16}",3,3,76,76,1,10,False,30,Pass Reception,Katravis Marsh pass complete to Xavier Weaver for 30 yds to the Houst 46 for a 1ST down,2.6023309352813264,2022-10-29T16:25:29.000Z,9,South Florida,2022
401415643101948304,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,7,7,401415643,4014156435,5,2,1,"{'minutes': 5, 'seconds': 16}",3,3,46,46,1,10,False,10,Pass Reception,Katravis Marsh pass complete to Brian Battie for 10 yds to the Houst 36 for a 1ST down,0.5325093131206683,2022-10-29T16:25:29.000Z,9,South Florida,2022
401415643101948306,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,7,7,401415643,4014156435,5,3,1,"{'minutes': 5, 'seconds': 16}",3,3,36,36,1,10,False,10,Penalty,"MARSH, Katravis pass to the left incomplete intended for HORN JR., Jimmy thrown to the HOU16. PENALTY HOU Holding on GREEN, Art enforced 10 yards from the HOU36 to the HOU26 and results in automatic 1ST DOWN [NHSG]. NO PLAY (replay the down).",,2022-10-29T16:25:29.000Z,9,South Florida,2022
401415643101965801,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,7,7,401415643,4014156435,5,4,1,"{'minutes': 3, 'seconds': 41}",2,3,20,20,2,4,False,0,Timeout,"Timeout SOUTH FLORIDA, clock 03:41",,2022-10-29T16:31:23.000Z,9,South Florida,2022
401415643101965802,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,7,7,401415643,4014156435,5,5,1,"{'minutes': 3, 'seconds': 41}",2,3,26,26,1,10,False,6,Rush,Brian Battie run for 6 yds to the Houst 20,0.1981539364012105,2022-10-29T16:31:23.000Z,9,South Florida,2022
401415643101966501,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,14,7,401415643,4014156435,5,6,1,"{'minutes': 3, 'seconds': 34}",2,3,20,20,2,4,True,20,Rushing Touchdown,"Brian Battie run for 20 yds for a TD, (Spencer Shrader KICK)",2.52184818600697,2022-10-29T16:32:18.000Z,9,South Florida,2022
401415643101967301,South Florida,American Athletic,Houston,American Athletic,Houston,South Florida,14,7,401415643,4014156436,6,1,1,"{'minutes': 3, 'seconds': 26}",2,3,65,65,0,0,False,29,Kickoff Return (Offense),"Spencer Shrader kickoff for 62 yds , Jayce Rogers return for 29 yds to the Houst 32",,2022-10-29T16:34:19.000Z,9,South Florida,2022
