id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426351101849906,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,0,401426351,4014263511,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Briggs Bourgeois kickoff for 65 yds for a touchback,,2022-10-15T23:00:56.000Z,7,Southern Mississippi,2022
401426351101849909,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,0,0,401426351,4014263511,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,0,Penalty,"SOUTHERN MISS Penalty, Offsides ( Yards) declined for a 1ST down",,2022-10-15T23:00:56.000Z,7,Southern Mississippi,2022
401426351101849911,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,0,0,401426351,4014263511,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Rush,Johnnie Lang run for no gain to the ArkSt 35,-1.0146424556055624,2022-10-15T23:00:56.000Z,7,Southern Mississippi,2022
401426351101849913,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,0,0,401426351,4014263511,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,2,10,False,10,Pass Reception,James Blackman pass complete to Te'Vailance Hunt for 10 yds to the ArkSt 45 for a 1ST down,1.9807462289805322,2022-10-15T23:00:56.000Z,7,Southern Mississippi,2022
401426351101849916,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,0,0,401426351,4014263511,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,55,55,1,10,False,4,Rush,Brian Snead run for 4 yds to the ArkSt 49,-0.1607620955039497,2022-10-15T23:00:56.000Z,7,Southern Mississippi,2022
401426351101849918,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,0,0,401426351,4014263511,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,51,51,2,6,False,4,Rush,Brian Snead run for 4 yds to the SoMis 47,-0.1646335378444999,2022-10-15T23:00:56.000Z,7,Southern Mississippi,2022
401426351101849920,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,0,0,401426351,4014263511,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,47,47,3,2,False,6,Pass Reception,James Blackman pass complete to Emmanual Stevenson for 6 yds to the SoMis 41 for a 1ST down,1.3614892447682952,2022-10-15T23:00:56.000Z,7,Southern Mississippi,2022
401426351101849922,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,0,0,401426351,4014263511,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,41,41,1,10,False,17,Pass Reception,James Blackman pass complete to Champ Flemings for 17 yds to the SoMis 24 for a 1ST down,0.5590816772895444,2022-10-15T23:00:56.000Z,7,Southern Mississippi,2022
401426351101849924,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,0,0,401426351,4014263511,1,9,1,"{'minutes': 15, 'seconds': 0}",3,3,24,24,1,10,False,2,Pass Reception,James Blackman pass complete to Johnnie Lang for 2 yds to the SoMis 22,-0.234690741470521,2022-10-15T23:00:56.000Z,7,Southern Mississippi,2022
401426351101894417,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,7,0,401426351,4014263511,1,10,1,"{'minutes': 10, 'seconds': 55}",3,3,22,22,2,8,True,22,Passing Touchdown,Jeff Foreman 22 Yd pass from James Blackman (Dominic Zvada Kick),2.916128690077496,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101894403,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,7,0,401426351,4014263512,2,1,1,"{'minutes': 10, 'seconds': 55}",3,3,65,65,0,0,False,0,Kickoff,Tristan Mattson kickoff for 65 yds for a touchback,,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101894405,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,7,401426351,4014263512,2,2,1,"{'minutes': 10, 'seconds': 55}",3,3,25,75,1,10,False,2,Pass Reception,Zach Wilcke pass complete to Jakarius Caston for 2 yds to the SoMis 27,-0.45260367932203764,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101894406,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,7,401426351,4014263512,2,3,1,"{'minutes': 10, 'seconds': 55}",3,3,27,73,2,8,False,1,Pass Reception,Zach Wilcke pass complete to Cole Cavallo for 1 yd to the SoMis 28,-0.40259546283400116,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101894407,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,7,401426351,4014263512,2,4,1,"{'minutes': 10, 'seconds': 55}",3,3,28,72,3,7,False,23,Rush,Zach Wilcke run for 23 yds to the ArkSt 49 for a 1ST down,3.1706237102401120,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101894408,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,7,401426351,4014263512,2,5,1,"{'minutes': 10, 'seconds': 55}",3,3,51,49,1,10,False,5,Penalty,"ARKANSAS ST Penalty, Offsides (5 Yards) to the ArkSt 44",,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101894409,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,7,401426351,4014263512,2,6,1,"{'minutes': 10, 'seconds': 55}",3,3,56,44,1,5,False,3,Rush,Chandler Pittman run for 3 yds to the ArkSt 41,-0.331586592076105,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101894411,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,7,401426351,4014263512,2,7,1,"{'minutes': 10, 'seconds': 55}",3,3,59,41,2,2,False,-15,Penalty,"GORE, Frank rush up the middle for a gain of 4 yards to the ASU37 (BENNETT, Kivon;MINCEY, John). PENALTY USM Personal Foul on GAINER, Paul enforced 15 yards from the ASU41 to the USM44 [NHSG]. NO PLAY (replay the down).",,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101894412,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,7,401426351,4014263512,2,8,1,"{'minutes': 10, 'seconds': 55}",3,3,44,56,2,17,False,0,Pass Incompletion,Zach Wilcke pass incomplete,-0.57201820068381886,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101894414,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,7,401426351,4014263512,2,9,1,"{'minutes': 10, 'seconds': 55}",3,3,44,56,3,17,False,5,Penalty,"WILCKE, Zach pass to the right incomplete intended for BROWNLEE, Jason thrown to the ASU39. PENALTY ASU Offsides on HASSLER, Ethan enforced 5 yards from the USM44 to the USM49 [NHSG]. NO PLAY (replay the down).",,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101894416,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,7,401426351,4014263512,2,10,1,"{'minutes': 10, 'seconds': 55}",3,3,49,51,3,12,False,5,Penalty,"WILCKE, Zach pass to the right incomplete intended for BROWNLEE, Jason broken up by SMITH, Eddie at the ASU23. PENALTY ASU Offsides on MOTLEY, Dane enforced 5 yards from the USM49 to the ASU46 [NHSG]. NO PLAY (replay the down).",,2022-10-15T23:09:02.000Z,7,Southern Mississippi,2022
401426351101924301,Southern Mississippi,Sun Belt,Arkansas State,Sun Belt,Southern Mississippi,Arkansas State,0,7,401426351,4014263512,2,11,1,"{'minutes': 7, 'seconds': 56}",3,3,54,46,3,7,False,0,Interception,Zach Wilcke pass intercepted,-1.741481509858632,2022-10-15T23:20:24.000Z,7,Southern Mississippi,2022
401426351101924303,Arkansas State,Sun Belt,Southern Mississippi,Sun Belt,Southern Mississippi,Arkansas State,7,0,401426351,4014263513,3,1,1,"{'minutes': 7, 'seconds': 56}",3,3,55,55,1,10,False,0,Pass Incompletion,James Blackman pass incomplete,-1.1618692012952412,2022-10-15T23:20:24.000Z,7,Southern Mississippi,2022
