id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404032101854401,Stanford,Pac-12,Washington State,Pac-12,Stanford,Washington State,0,0,401404032,4014040321,1,1,1,"{'minutes': 14, 'seconds': 55}",3,3,35,65,0,0,False,14,Kickoff Return (Offense),"Joshua Karty kickoff for 59 yds , Lincoln Victor return for 14 yds to the WshSt 20",,2022-11-05T19:41:04.000Z,10,Stanford,2022
401404032101854403,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,0,0,401404032,4014040321,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,80,80,1,10,False,2,Rush,Nakia Watson run for 2 yds to the WshSt 22,-0.3623882030735057,2022-11-05T19:41:04.000Z,10,Stanford,2022
401404032101854404,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,0,0,401404032,4014040321,1,3,1,"{'minutes': 14, 'seconds': 55}",3,3,78,78,2,8,False,65,Rush,Nakia Watson run for 65 yds to the Stanf 13 for a 1ST down,4.2095167836327615,2022-11-05T19:41:04.000Z,10,Stanford,2022
401404032101854405,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,0,0,401404032,4014040321,1,4,1,"{'minutes': 14, 'seconds': 55}",3,3,13,13,1,10,False,0,Rush,Nakia Watson run for no gain to the Stanf 13,-0.3048472994988835,2022-11-05T19:41:04.000Z,10,Stanford,2022
401404032101854406,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,0,0,401404032,4014040321,1,5,1,"{'minutes': 14, 'seconds': 55}",3,3,13,13,2,10,False,4,Pass Reception,Cameron Ward pass complete to De'Zhaun Stribling for 4 yds to the Stanf 9,-0.0302043559556575,2022-11-05T19:41:04.000Z,10,Stanford,2022
401404032101875101,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,7,0,401404032,4014040321,1,6,1,"{'minutes': 12, 'seconds': 48}",3,3,3,3,1,3,True,3,Rushing Touchdown,"Leyton Smithson run for 3 yds for a TD, (Dean Janikowski KICK)",1.464451732731337,2022-11-05T19:48:15.000Z,10,Stanford,2022
401404032101875601,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,7,0,401404032,4014040322,2,1,1,"{'minutes': 12, 'seconds': 43}",3,3,65,65,0,0,False,23,Kickoff Return (Offense),"Colton Theaker kickoff for 64 yds , Jason Thompson return for 23 yds to the Stanf 24",,2022-11-05T19:52:35.000Z,10,Stanford,2022
401404032101875603,Stanford,Pac-12,Washington State,Pac-12,Stanford,Washington State,0,7,401404032,4014040322,2,2,1,"{'minutes': 12, 'seconds': 43}",3,3,24,76,1,10,False,0,Pass Incompletion,Tanner McKee pass incomplete,-0.67235715213098592,2022-11-05T19:52:35.000Z,10,Stanford,2022
401404032101875604,Stanford,Pac-12,Washington State,Pac-12,Stanford,Washington State,0,7,401404032,4014040322,2,3,1,"{'minutes': 12, 'seconds': 43}",3,3,24,76,2,10,False,3,Pass Reception,Tanner McKee pass complete to Elijah Higgins for 3 yds to the Stanf 27,-0.14368568445687924,2022-11-05T19:53:23.000Z,10,Stanford,2022
401404032101875605,Stanford,Pac-12,Washington State,Pac-12,Stanford,Washington State,0,7,401404032,4014040322,2,4,1,"{'minutes': 12, 'seconds': 43}",3,3,27,73,3,7,False,0,Pass Incompletion,Tanner McKee pass incomplete,-0.25058476297726972,2022-11-05T19:53:23.000Z,10,Stanford,2022
401404032101884601,Stanford,Pac-12,Washington State,Pac-12,Stanford,Washington State,0,7,401404032,4014040322,2,5,1,"{'minutes': 11, 'seconds': 53}",3,3,27,73,4,7,False,0,Punt,Ryan Sanborn punt for 28 yds,,2022-11-05T19:54:57.000Z,10,Stanford,2022
401404032101884603,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,7,0,401404032,4014040323,3,1,1,"{'minutes': 11, 'seconds': 53}",3,3,55,55,1,10,False,8,Rush,Nakia Watson run for 8 yds to the Stanf 47,0.9420759997342945,2022-11-05T19:54:57.000Z,10,Stanford,2022
401404032101884604,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,7,0,401404032,4014040323,3,2,1,"{'minutes': 11, 'seconds': 53}",3,3,47,47,2,2,False,0,Pass Incompletion,Cameron Ward pass incomplete,-1.2674716330827441,2022-11-05T19:54:57.000Z,10,Stanford,2022
401404032101884605,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,7,0,401404032,4014040323,3,3,1,"{'minutes': 11, 'seconds': 53}",3,3,47,47,3,2,False,4,Rush,Nakia Watson run for 4 yds to the Stanf 43 for a 1ST down,1.2496387827339604,2022-11-05T19:54:57.000Z,10,Stanford,2022
401404032101884606,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,7,0,401404032,4014040323,3,4,1,"{'minutes': 11, 'seconds': 53}",3,3,43,43,1,10,False,0,Pass Incompletion,Cameron Ward pass incomplete,-0.9391692565688832,2022-11-05T19:54:57.000Z,10,Stanford,2022
401404032101884607,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,7,0,401404032,4014040323,3,5,1,"{'minutes': 11, 'seconds': 53}",3,3,43,43,2,10,False,13,Rush,Cameron Ward run for 13 yds to the Stanf 30 for a 1ST down,1.4772962115769664,2022-11-05T19:54:57.000Z,10,Stanford,2022
401404032101884608,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,7,0,401404032,4014040323,3,6,1,"{'minutes': 11, 'seconds': 53}",3,3,30,30,1,10,False,5,Pass Reception,Cameron Ward pass complete to De'Zhaun Stribling for 5 yds to the Stanf 25,0.077675021178715,2022-11-05T19:54:57.000Z,10,Stanford,2022
401404032101884609,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,7,0,401404032,4014040323,3,7,1,"{'minutes': 11, 'seconds': 53}",3,3,25,25,2,5,False,18,Pass Reception,Cameron Ward pass complete to Orion Peters for 18 yds to the Stanf 7 for a 1ST down,0.539813481416845,2022-11-05T19:54:57.000Z,10,Stanford,2022
401404032101907001,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,14,0,401404032,4014040323,3,8,1,"{'minutes': 9, 'seconds': 29}",3,3,7,7,1,7,True,7,Passing Touchdown,"Cameron Ward pass complete to Anderson Grover for 7 yds for a TD, (Dean Janikowski KICK)",2.196754630327211,2022-11-05T20:03:16.000Z,10,Stanford,2022
401404032101907501,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,14,0,401404032,4014040324,4,1,1,"{'minutes': 9, 'seconds': 24}",3,3,65,65,0,0,False,18,Kickoff Return (Offense),"Colton Theaker kickoff for 63 yds , Jason Thompson return for 18 yds to the Stanf 20",,2022-11-05T20:06:59.000Z,10,Stanford,2022
401404032101907503,Stanford,Pac-12,Washington State,Pac-12,Stanford,Washington State,0,14,401404032,4014040324,4,2,1,"{'minutes': 9, 'seconds': 24}",3,3,20,80,1,10,False,0,Pass Incompletion,Tanner McKee pass incomplete,-0.55866937967252815,2022-11-05T20:06:59.000Z,10,Stanford,2022
401404032101915101,Stanford,Pac-12,Washington State,Pac-12,Stanford,Washington State,0,14,401404032,4014040324,4,3,1,"{'minutes': 8, 'seconds': 48}",3,2,27,73,3,3,False,0,Timeout,"Timeout WASHINGTON ST, clock 08:48",,2022-11-05T20:08:50.000Z,10,Stanford,2022
401404032101915102,Stanford,Pac-12,Washington State,Pac-12,Stanford,Washington State,0,14,401404032,4014040324,4,4,1,"{'minutes': 8, 'seconds': 48}",3,2,20,80,2,10,False,7,Rush,Ashton Daniels run for 7 yds to the Stanf 27,0.25218985115734685,2022-11-05T20:08:50.000Z,10,Stanford,2022
401404032101915103,Stanford,Pac-12,Washington State,Pac-12,Stanford,Washington State,0,14,401404032,4014040324,4,5,1,"{'minutes': 8, 'seconds': 48}",3,2,27,73,3,3,False,1,Rush,Mitch Leigber run for 1 yd to the Stanf 28,-0.336488261882800924,2022-11-05T20:08:50.000Z,10,Stanford,2022
401404032101924401,Stanford,Pac-12,Washington State,Pac-12,Stanford,Washington State,0,14,401404032,4014040324,4,6,1,"{'minutes': 7, 'seconds': 55}",3,2,28,72,4,2,False,0,Punt,"Ryan Sanborn punt for 47 yds, downed at the WshSt 25",,2022-11-05T20:10:50.000Z,10,Stanford,2022
401404032101924403,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,14,0,401404032,4014040325,5,1,1,"{'minutes': 7, 'seconds': 55}",2,3,75,75,1,10,False,0,Pass Incompletion,Cameron Ward pass incomplete,-0.70297002204365193,2022-11-05T20:10:50.000Z,10,Stanford,2022
401404032101924404,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,14,0,401404032,4014040325,5,2,1,"{'minutes': 7, 'seconds': 55}",2,3,75,75,2,10,False,11,Pass Reception,Cameron Ward pass complete to Leyton Smithson for 11 yds to the WshSt 36 for a 1ST down,1.63353253398964243,2022-11-05T20:10:50.000Z,10,Stanford,2022
401404032101924405,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,14,0,401404032,4014040325,5,3,1,"{'minutes': 7, 'seconds': 55}",2,3,64,64,1,10,False,29,Pass Reception,Cameron Ward pass complete to Nakia Watson for 29 yds to the Stanf 35 for a 1ST down,2.174603823998375,2022-11-05T20:10:50.000Z,10,Stanford,2022
401404032101924406,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,14,0,401404032,4014040325,5,4,1,"{'minutes': 7, 'seconds': 55}",2,3,35,35,1,10,False,0,Pass Incompletion,Cameron Ward pass incomplete,-0.6918622905019662,2022-11-05T20:10:50.000Z,10,Stanford,2022
401404032101924407,Washington State,Pac-12,Stanford,Pac-12,Stanford,Washington State,14,0,401404032,4014040325,5,5,1,"{'minutes': 7, 'seconds': 55}",2,3,35,35,2,10,False,20,Pass Reception,Cameron Ward pass complete to Billy Riviere III for 20 yds to the Stanf 15 for a 1ST down,1.1062519847138392,2022-11-05T20:10:50.000Z,10,Stanford,2022
