id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401411173101849904,Syracuse,ACC,Boston College,ACC,Boston College,Syracuse,0,0,401411173,4014111731,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,83,83,1,10,False,3,Rush,Sean Tucker run for 3 yds to the Syrac 20,-0.2049084734272890,2022-11-27T00:38:44.000Z,13,Syracuse,2022
401411173101849905,Syracuse,ACC,Boston College,ACC,Boston College,Syracuse,0,0,401411173,4014111731,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,80,80,2,7,False,0,Pass Incompletion,Garrett Shrader pass incomplete,-0.3750038566867593,2022-11-27T00:38:44.000Z,13,Syracuse,2022
401411173101858301,Syracuse,ACC,Boston College,ACC,Boston College,Syracuse,0,0,401411173,4014111731,1,3,1,"{'minutes': 14, 'seconds': 16}",3,3,80,80,3,7,False,-3,Sack,Garrett Shrader sacked for a loss of 3 yards to the Syrac 17,-0.2216969015105228,2022-11-27T01:11:20.000Z,13,Syracuse,2022
401411173101858303,Boston College,ACC,Syracuse,ACC,Boston College,Syracuse,0,0,401411173,4014111732,2,1,1,"{'minutes': 14, 'seconds': 16}",3,3,83,17,1,10,False,0,Pass Incompletion,Emmett Morehead pass incomplete,-0.340019558909725,2022-11-27T01:11:20.000Z,13,Syracuse,2022
401411173101858304,Boston College,ACC,Syracuse,ACC,Boston College,Syracuse,0,0,401411173,4014111732,2,2,1,"{'minutes': 14, 'seconds': 16}",3,3,83,17,2,10,False,6,Rush,Pat Garwo III run for 6 yds to the Syrac 11,0.121149583002495,2022-11-27T01:11:20.000Z,13,Syracuse,2022
401411173101858305,Boston College,ACC,Syracuse,ACC,Boston College,Syracuse,0,0,401411173,4014111732,2,3,1,"{'minutes': 14, 'seconds': 16}",3,3,89,11,3,4,False,0,Pass Incompletion,Emmett Morehead pass incomplete,-0.388682602539534,2022-11-27T01:11:20.000Z,13,Syracuse,2022
401411173101866901,Boston College,ACC,Syracuse,ACC,Boston College,Syracuse,3,0,401411173,4014111732,2,4,1,"{'minutes': 13, 'seconds': 30}",3,3,89,11,4,4,True,28,Field Goal Good,Connor Lytton 28 yd FG GOOD,,2022-11-27T00:41:00.000Z,13,Syracuse,2022
401411173101867501,Boston College,ACC,Syracuse,ACC,Boston College,Syracuse,3,0,401411173,4014111733,3,1,1,"{'minutes': 13, 'seconds': 24}",3,3,35,65,0,0,False,35,Kickoff,"Liam Connor kickoff for 65 yds , LeQuint Allen return for 35 yds to the Syrac 35",,2022-11-27T00:43:57.000Z,13,Syracuse,2022
401411173101867503,Syracuse,ACC,Boston College,ACC,Boston College,Syracuse,0,3,401411173,4014111733,3,2,1,"{'minutes': 13, 'seconds': 24}",3,3,65,65,1,10,False,-3,Rush,Sean Tucker run for a loss of 3 yards to the Syrac 32,-1.4406782007585912,2022-11-27T00:43:57.000Z,13,Syracuse,2022
401411173101867504,Syracuse,ACC,Boston College,ACC,Boston College,Syracuse,0,3,401411173,4014111733,3,3,1,"{'minutes': 13, 'seconds': 24}",3,3,68,68,2,13,False,6,Pass Reception,Garrett Shrader pass complete to Courtney Jackson for 6 yds to the Syrac 38,0.16669387403504566,2022-11-27T00:43:57.000Z,13,Syracuse,2022
