id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404078101854401,SMU,American Athletic,TCU,Big 12,SMU,TCU,0,0,401404078,4014040781,1,1,1,"{'minutes': 14, 'seconds': 55}",3,3,35,65,1,10,False,26,Kickoff Return (Offense),"Brendan Hall kickoff for 65 yds , Derius Davis return for 26 yds to the TCU 26",,2022-09-24T00:00:00.000Z,4,TCU,2022
401404078101854403,TCU,Big 12,SMU,American Athletic,SMU,TCU,0,0,401404078,4014040781,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,74,74,1,10,False,35,Rush,Kendre Miller run for 35 yds to the SMU 39 for a 1ST down,2.8663377575294149,2022-09-24T00:00:00.000Z,4,TCU,2022
401404078101854404,TCU,Big 12,SMU,American Athletic,SMU,TCU,0,0,401404078,4014040781,1,3,1,"{'minutes': 14, 'seconds': 55}",3,3,39,39,1,10,False,1,Pass Reception,Max Duggan pass complete to Taye Barber for 1 yd to the SMU 38,-0.6215061842869627,2022-09-24T16:10:24.000Z,4,TCU,2022
401404078101854405,TCU,Big 12,SMU,American Athletic,SMU,TCU,0,0,401404078,4014040781,1,4,1,"{'minutes': 14, 'seconds': 55}",3,3,38,38,2,9,False,19,Rush,Kendre Miller run for 19 yds to the SMU 19 for a 1ST down,1.1574971105809907,2022-09-24T16:10:39.000Z,4,TCU,2022
401404078101854406,TCU,Big 12,SMU,American Athletic,SMU,TCU,0,0,401404078,4014040781,1,5,1,"{'minutes': 14, 'seconds': 55}",3,3,19,19,1,10,False,0,Rush,Kendre Miller run for no gain to the SMU 19,-0.362321296557512,2022-09-24T16:10:39.000Z,4,TCU,2022
401404078101876601,TCU,Big 12,SMU,American Athletic,SMU,TCU,7,0,401404078,4014040781,1,6,1,"{'minutes': 12, 'seconds': 33}",3,3,19,19,2,10,True,19,Passing Touchdown,"Max Duggan pass complete to Savion Williams for 19 yds for a TD, (Griffin Kell KICK)",2.966768925195035,2022-09-24T16:12:14.000Z,4,TCU,2022
401404078101876603,TCU,Big 12,SMU,American Athletic,SMU,TCU,7,0,401404078,4014040782,2,1,1,"{'minutes': 12, 'seconds': 33}",3,3,65,65,1,10,False,0,Kickoff,Luke Laminack kickoff for 65 yds for a touchback,,2022-09-24T16:16:12.000Z,4,TCU,2022
401404078101876605,SMU,American Athletic,TCU,Big 12,SMU,TCU,0,7,401404078,4014040782,2,2,1,"{'minutes': 12, 'seconds': 33}",3,3,25,75,1,10,False,16,Pass Reception,Tanner Mordecai pass complete to Rashee Rice for 16 yds to the SMU 41 for a 1ST down,1.4187427699228942,2022-09-24T16:16:12.000Z,4,TCU,2022
401404078101876606,SMU,American Athletic,TCU,Big 12,SMU,TCU,0,7,401404078,4014040782,2,3,1,"{'minutes': 12, 'seconds': 33}",3,3,41,59,1,10,False,4,Rush,Velton Gardner run for 4 yds to the SMU 37,-0.1673002614345122,2022-09-24T16:16:12.000Z,4,TCU,2022
401404078101876607,SMU,American Athletic,TCU,Big 12,SMU,TCU,0,7,401404078,4014040782,2,4,1,"{'minutes': 12, 'seconds': 33}",3,3,37,63,2,14,False,1,Pass Reception,Tanner Mordecai pass complete to Velton Gardner for 1 yd to the SMU 36,-0.40644154292978915,2022-09-24T16:16:12.000Z,4,TCU,2022
