id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404072101849902,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040721,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,24,Kickoff Return (Offense),"Collin Smith kickoff for 64 yds , Xavier White return for 24 yds to the TexTc 25",,2022-09-17T23:06:03.000Z,3,Texas Tech,2022
401404072101855101,Texas Tech,Big 12,NC State,ACC,NC State,Texas Tech,0,0,401404072,4014040721,1,2,1,"{'minutes': 14, 'seconds': 48}",3,3,75,75,1,10,False,0,Pass Incompletion,Donovan Smith pass incomplete to Trey Cleveland,-0.70297002204365193,2022-09-17T23:07:31.000Z,3,Texas Tech,2022
401404072101858001,Texas Tech,Big 12,NC State,ACC,NC State,Texas Tech,0,0,401404072,4014040721,1,3,1,"{'minutes': 14, 'seconds': 19}",3,3,75,75,2,10,False,1,Rush,Tahj Brooks run for 1 yd to the TexTc 26,-0.29282347426074384,2022-09-17T23:08:13.000Z,3,Texas Tech,2022
401404072101859101,Texas Tech,Big 12,NC State,ACC,NC State,Texas Tech,0,0,401404072,4014040721,1,4,1,"{'minutes': 14, 'seconds': 8}",3,3,74,74,3,9,False,0,Pass Incompletion,Donovan Smith pass incomplete,-0.18876768235831598,2022-09-17T23:08:29.000Z,3,Texas Tech,2022
401404072101859102,Texas Tech,Big 12,NC State,ACC,NC State,Texas Tech,0,0,401404072,4014040721,1,5,1,"{'minutes': 14, 'seconds': 8}",3,3,74,74,4,9,False,0,Punt,"Austin McNamara punt for 46 yds, fair catch by Thayer Thomas at the NCSt 28",,2022-09-17T23:08:29.000Z,3,Texas Tech,2022
401404072101864001,Texas Tech,Big 12,NC State,ACC,NC State,Texas Tech,0,0,401404072,4014040721,1,6,1,"{'minutes': 13, 'seconds': 59}",3,3,74,74,4,9,False,0,Punt,"Austin McNamara punt for 46 yds, fair catch by Thayer Thomas at the NCSt 28",,2022-09-17T23:09:57.000Z,3,Texas Tech,2022
401404072101865901,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040722,2,1,1,"{'minutes': 13, 'seconds': 40}",3,3,28,72,1,10,False,16,Rush,Jordan Houston run for 16 yds to the NCSt 44 for a 1ST down,1.4854499308867463,2022-09-17T23:10:25.000Z,3,Texas Tech,2022
401404072101866902,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040722,2,2,1,"{'minutes': 13, 'seconds': 30}",3,3,44,56,1,10,False,0,Pass Reception,"Devin Leary pass complete to Jordan Houston for 10 yds to the NCSTATE 46 NC STATE Penalty, Illegal Block (-10 Yards) to the NCSt 44",-1.1612466882658818,2022-09-17T23:11:50.000Z,3,Texas Tech,2022
401404072101869901,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040722,2,3,1,"{'minutes': 13, 'seconds': 0}",3,3,44,56,1,10,False,3,Pass Reception,Devin Leary pass complete to Julian Gray for 3 yds to the NCSt 47,-0.428073621599390,2022-09-17T23:12:36.000Z,3,Texas Tech,2022
401404072101877401,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040722,2,4,1,"{'minutes': 12, 'seconds': 25}",3,3,47,53,2,7,False,0,Pass Incompletion,Devin Leary pass incomplete,-1.0952779030290234,2022-09-17T23:12:52.000Z,3,Texas Tech,2022
401404072101879901,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040722,2,5,1,"{'minutes': 12, 'seconds': 0}",3,3,47,53,3,7,False,0,Rush,Devin Leary run for no gain to the NCSt 47,-0.7482086578938967,2022-09-17T23:13:52.000Z,3,Texas Tech,2022
401404072101879902,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040722,2,6,1,"{'minutes': 11, 'seconds': 14}",3,3,47,53,4,7,False,0,Punt,"Shane McDonough punt for 40 yds , Drew Hocutt returns for no gain to the TexTc 13 Drew Hocutt fumbled, recovered by NCSt",,2022-09-17T23:13:52.000Z,3,Texas Tech,2022
401404072101888501,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040722,2,7,1,"{'minutes': 11, 'seconds': 14}",3,3,47,53,4,7,False,0,Punt,,,2022-09-17T23:15:26.000Z,3,Texas Tech,2022
401404072101894901,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040723,3,1,1,"{'minutes': 10, 'seconds': 50}",3,3,87,13,1,10,False,2,Pass Reception,Devin Leary pass complete to Thayer Thomas for 2 yds to the TexTc 11,-0.171924410590240,2022-09-17T23:15:56.000Z,3,Texas Tech,2022
401404072101899401,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040723,3,2,1,"{'minutes': 10, 'seconds': 5}",3,3,89,11,2,8,False,6,Rush,Jordan Houston run for 6 yds to the TexTc 5,0.135564658550038,2022-09-17T23:16:19.000Z,3,Texas Tech,2022
401404072101907401,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040723,3,3,1,"{'minutes': 9, 'seconds': 25}",3,3,95,5,3,2,False,2,Rush,Demie Sumo-Karngbaye run for 2 yds to the TexTc 3 for a 1ST down,1.110837234354712,2022-09-17T23:17:03.000Z,3,Texas Tech,2022
401404072101909601,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040723,3,4,1,"{'minutes': 9, 'seconds': 3}",3,3,97,3,1,0,False,-5,Penalty,"NC STATE Penalty, Ineligible Downfield on Pass (-5 Yards) to the TexTc 8",,2022-09-17T23:18:35.000Z,3,Texas Tech,2022
401404072101915801,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040723,3,5,1,"{'minutes': 8, 'seconds': 41}",3,3,92,8,1,8,False,1,Rush,Demie Sumo-Karngbaye run for 1 yd to the TexTc 7,-0.287548899318045,2022-09-17T23:19:01.000Z,3,Texas Tech,2022
401404072101924101,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040723,3,6,1,"{'minutes': 7, 'seconds': 58}",3,3,93,7,2,0,False,-5,Penalty,"NC STATE Penalty, False Start (-5 Yards) to the TexTc 12",,2022-09-17T23:20:00.000Z,3,Texas Tech,2022
401404072101925001,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040723,3,7,1,"{'minutes': 7, 'seconds': 49}",3,3,88,12,2,12,False,0,Pass Incompletion,Devin Leary pass incomplete,-0.321457751896638,2022-09-17T23:20:16.000Z,3,Texas Tech,2022
401404072101925601,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,0,0,401404072,4014040723,3,8,1,"{'minutes': 7, 'seconds': 43}",3,3,88,12,3,12,False,0,Pass Incompletion,Devin Leary pass incomplete to Keyon Lesane,-0.5426183460122757,2022-09-17T23:21:16.000Z,3,Texas Tech,2022
401404072101926001,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,3,0,401404072,4014040723,3,9,1,"{'minutes': 7, 'seconds': 39}",3,3,88,12,4,12,True,29,Field Goal Good,Christopher Dunn 29 yd FG GOOD,,2022-09-17T23:21:46.000Z,3,Texas Tech,2022
401404072101926601,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,3,0,401404072,4014040724,4,1,1,"{'minutes': 7, 'seconds': 33}",3,3,35,65,4,19,False,19,Kickoff Return (Offense),"Collin Smith kickoff for 65 yds , Nehemiah Martinez I return for 19 yds to the TexTc 19",,2022-09-17T23:26:06.000Z,3,Texas Tech,2022
401404072101927901,Texas Tech,Big 12,NC State,ACC,NC State,Texas Tech,0,3,401404072,4014040724,4,2,1,"{'minutes': 7, 'seconds': 20}",3,3,81,81,1,10,False,4,Pass Reception,Donovan Smith pass complete to Nehemiah Martinez I for 4 yds to the TexTc 23,-0.08358568772589687,2022-09-17T23:26:50.000Z,3,Texas Tech,2022
401404072101935901,Texas Tech,Big 12,NC State,ACC,NC State,Texas Tech,0,3,401404072,4014040724,4,3,1,"{'minutes': 6, 'seconds': 40}",3,3,77,77,2,6,False,4,Pass Reception,Donovan Smith pass complete to Jerand Bradley for 4 yds to the TexTc 27,-0.07571011587876433,2022-09-17T23:30:27.000Z,3,Texas Tech,2022
401404072101939301,Texas Tech,Big 12,NC State,ACC,NC State,Texas Tech,0,3,401404072,4014040724,4,4,1,"{'minutes': 6, 'seconds': 6}",3,3,73,73,3,2,False,0,Rush,Donovan Smith run for no gain to the TexTc 27,-0.45216225702269683,2022-09-17T23:30:53.000Z,3,Texas Tech,2022
401404072101939302,Texas Tech,Big 12,NC State,ACC,NC State,Texas Tech,0,3,401404072,4014040724,4,5,1,"{'minutes': 6, 'seconds': 6}",3,3,73,73,4,2,False,0,Punt,"Austin McNamara punt for 29 yds, punt out-of-bounds at the NCSt 44",,2022-09-17T23:30:53.000Z,3,Texas Tech,2022
401404072101944301,Texas Tech,Big 12,NC State,ACC,NC State,Texas Tech,0,3,401404072,4014040724,4,6,1,"{'minutes': 5, 'seconds': 56}",3,3,73,73,4,2,False,0,Punt,"Austin McNamara punt for 29 yds, punt out-of-bounds at the NCSt 44",,2022-09-17T23:31:37.000Z,3,Texas Tech,2022
401404072101946401,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,3,0,401404072,4014040725,5,1,1,"{'minutes': 5, 'seconds': 35}",3,3,44,56,1,10,False,14,Rush,Jordan Houston run for 14 yds to the TexTc 42 for a 1ST down,1.075247309807182,2022-09-17T23:35:04.000Z,3,Texas Tech,2022
401404072101948202,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,3,0,401404072,4014040725,5,2,1,"{'minutes': 5, 'seconds': 17}",3,3,58,42,1,10,False,4,Rush,Jordan Houston run for 4 yds to the TexTc 38,-0.1003137729896652,2022-09-17T23:35:52.000Z,3,Texas Tech,2022
401404072101955001,NC State,ACC,Texas Tech,Big 12,NC State,Texas Tech,3,0,401404072,4014040725,5,3,1,"{'minutes': 4, 'seconds': 49}",3,3,62,38,2,6,False,15,Penalty,"TEXAS TECH Penalty, Defensive Pass Interference (15 Yards) to the TexTc 23 for a 1ST down",,2022-09-17T23:36:41.000Z,3,Texas Tech,2022
