id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401441990101854501,Long Island University,NEC,Toledo,Mid-American,Toledo,Long Island University,0,0,401441990,4014419901,1,1,1,"{'minutes': 14, 'seconds': 54}",3,3,65,65,1,10,False,30,Kickoff,"Aidan Petruescu kickoff for 62 yds , Jacquez Stuart return for 30 yds to the Toled 33",,2022-09-01T23:04:59.000Z,1,Toledo,2022
401441990101856301,Toledo,Mid-American,Long Island University,NEC,Toledo,Long Island University,0,0,401441990,4014419901,1,2,1,"{'minutes': 14, 'seconds': 36}",3,3,33,67,1,10,False,4,Rush,Peny Boone run for 4 yds to the Toled 37,-0.1528387450999809,2022-09-01T23:04:59.000Z,1,Toledo,2022
401441990101857501,Toledo,Mid-American,Long Island University,NEC,Toledo,Long Island University,0,0,401441990,4014419901,1,3,1,"{'minutes': 14, 'seconds': 24}",3,3,37,63,2,6,False,3,Rush,Micah Kelly run for 3 yds to the Toled 34,-0.3707580656974976,2022-09-01T23:04:59.000Z,1,Toledo,2022
401441990101859901,Toledo,Mid-American,Long Island University,NEC,Toledo,Long Island University,0,0,401441990,4014419901,1,4,1,"{'minutes': 14, 'seconds': 0}",3,3,34,66,3,9,False,12,Rush,Dequan Finn run for 12 yds to the Toled 46 for a 1ST down,2.6555132804818118,2022-09-01T23:04:59.000Z,1,Toledo,2022
401441990101865501,Toledo,Mid-American,Long Island University,NEC,Toledo,Long Island University,0,0,401441990,4014419901,1,5,1,"{'minutes': 13, 'seconds': 44}",3,3,46,54,1,10,False,3,Rush,Jacquez Stuart run for 3 yds to the Toled 49,-0.4184086843592085,2022-09-01T23:04:59.000Z,1,Toledo,2022
401441990101867401,Toledo,Mid-American,Long Island University,NEC,Toledo,Long Island University,0,0,401441990,4014419901,1,6,1,"{'minutes': 13, 'seconds': 25}",3,3,49,51,2,7,False,10,Rush,Peny Boone run for 10 yds to the LongIs 41 for a 1ST down,1.3627865961478971,2022-09-01T23:46:51.000Z,1,Toledo,2022
401441990101869901,Toledo,Mid-American,Long Island University,NEC,Toledo,Long Island University,0,0,401441990,4014419901,1,7,1,"{'minutes': 13, 'seconds': 0}",3,3,59,41,1,10,False,2,Pass Reception,Dequan Finn pass complete to Jerjuan Newton for 2 yds to the LongIs 43,-0.4734810315767391,2022-09-01T23:46:51.000Z,1,Toledo,2022
401441990101876501,Toledo,Mid-American,Long Island University,NEC,Toledo,Long Island University,0,0,401441990,4014419901,1,8,1,"{'minutes': 12, 'seconds': 34}",3,3,57,43,2,12,False,1,Pass Reception,Dequan Finn pass complete to Anthony Torres for 1 yd to the LongIs 42,-0.8298169102858513,2022-09-01T23:46:51.000Z,1,Toledo,2022
401441990101879901,Toledo,Mid-American,Long Island University,NEC,Toledo,Long Island University,0,0,401441990,4014419901,1,9,1,"{'minutes': 12, 'seconds': 0}",3,3,58,42,3,11,False,1,Rush,Dequan Finn run for 1 yd to the LongIs 41,-0.7370659235563011,2022-09-01T23:46:51.000Z,1,Toledo,2022
401441990101887701,Toledo,Mid-American,Long Island University,NEC,Toledo,Long Island University,0,0,401441990,4014419901,1,10,1,"{'minutes': 11, 'seconds': 22}",3,3,59,41,4,10,False,0,Punt,Jonathon Batzke punt for 38 yds,,2022-09-01T23:46:51.000Z,1,Toledo,2022
