id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426384101849906,Arkansas State,Sun Belt,Troy,Sun Belt,Arkansas State,Troy,0,0,401426384,4014263841,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Tristan Mattson kickoff for 65 yds for a touchback,,2022-11-26T20:36:13.000Z,13,Troy,2022
401426384101849909,Troy,Sun Belt,Arkansas State,Sun Belt,Arkansas State,Troy,0,0,401426384,4014263841,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,5,Rush,Kimani Vidal run for 5 yds to the Troy 30,0.0945451165334843,2022-11-26T20:36:13.000Z,13,Troy,2022
401426384101849911,Troy,Sun Belt,Arkansas State,Sun Belt,Arkansas State,Troy,0,0,401426384,4014263841,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,70,70,2,5,False,8,Pass Reception,Gunnar Watson pass complete to Tez Johnson for 8 yds to the Troy 38 for a 1ST down,1.0302063625083466,2022-11-26T20:36:13.000Z,13,Troy,2022
401426384101865801,Troy,Sun Belt,Arkansas State,Sun Belt,Arkansas State,Troy,0,0,401426384,4014263841,1,4,1,"{'minutes': 13, 'seconds': 41}",3,3,62,62,1,10,False,0,Interception,Gunnar Watson pass intercepted,-2.0469963593205094,2022-11-26T20:38:06.000Z,13,Troy,2022
401426384101865803,Arkansas State,Sun Belt,Troy,Sun Belt,Arkansas State,Troy,0,0,401426384,4014263842,2,1,1,"{'minutes': 13, 'seconds': 41}",3,3,98,2,1,2,False,0,Rush,Johnnie Lang run for no gain to the Troy 2,-0.854701227650125,2022-11-26T20:38:06.000Z,13,Troy,2022
401426384101865804,Arkansas State,Sun Belt,Troy,Sun Belt,Arkansas State,Troy,0,0,401426384,4014263842,2,2,1,"{'minutes': 13, 'seconds': 41}",3,3,98,2,2,2,False,-1,Pass Reception,James Blackman pass complete to Seydou Traore for a loss of 1 yard to the Troy 3,-0.556625874456768,2022-11-26T20:39:04.000Z,13,Troy,2022
401426384101865805,Arkansas State,Sun Belt,Troy,Sun Belt,Arkansas State,Troy,0,0,401426384,4014263842,2,3,1,"{'minutes': 13, 'seconds': 41}",3,3,97,3,3,3,False,0,Pass Incompletion,James Blackman pass incomplete,-0.291784144723391,2022-11-26T20:39:04.000Z,13,Troy,2022
401426384101877901,Arkansas State,Sun Belt,Troy,Sun Belt,Arkansas State,Troy,3,0,401426384,4014263842,2,4,1,"{'minutes': 12, 'seconds': 20}",3,3,97,3,4,3,True,20,Field Goal Good,Dominic Zvada 20 yd FG GOOD,,2022-11-26T20:40:34.000Z,13,Troy,2022
401426384101877902,Arkansas State,Sun Belt,Troy,Sun Belt,Arkansas State,Troy,3,0,401426384,4014263843,3,1,1,"{'minutes': 12, 'seconds': 20}",3,3,35,65,0,0,False,0,Kickoff,Tristan Mattson kickoff for 65 yds for a touchback,,2022-11-26T20:43:35.000Z,13,Troy,2022
401426384101877904,Troy,Sun Belt,Arkansas State,Sun Belt,Arkansas State,Troy,0,3,401426384,4014263843,3,2,1,"{'minutes': 12, 'seconds': 20}",3,3,75,75,1,10,False,4,Rush,Kimani Vidal run for 4 yds to the Troy 29,-0.1142886249388964,2022-11-26T20:43:35.000Z,13,Troy,2022
401426384101877905,Troy,Sun Belt,Arkansas State,Sun Belt,Arkansas State,Troy,0,3,401426384,4014263843,3,3,1,"{'minutes': 12, 'seconds': 20}",3,3,71,71,2,6,False,4,Rush,Kimani Vidal run for 4 yds to the Troy 33,-0.1052988296867126,2022-11-26T20:43:35.000Z,13,Troy,2022
401426384101877906,Troy,Sun Belt,Arkansas State,Sun Belt,Arkansas State,Troy,0,3,401426384,4014263843,3,4,1,"{'minutes': 12, 'seconds': 20}",3,3,67,67,3,2,False,3,Rush,Kimani Vidal run for 3 yds to the Troy 36 for a 1ST down,1.1501499665715995,2022-11-26T20:45:33.000Z,13,Troy,2022
401426384101877907,Troy,Sun Belt,Arkansas State,Sun Belt,Arkansas State,Troy,0,3,401426384,4014263843,3,5,1,"{'minutes': 12, 'seconds': 20}",3,3,64,64,1,10,False,1,Rush,Kimani Vidal run for 1 yd to the Troy 37,-0.8530905486726476,2022-11-26T20:45:33.000Z,13,Troy,2022
401426384101877908,Troy,Sun Belt,Arkansas State,Sun Belt,Arkansas State,Troy,0,3,401426384,4014263843,3,6,1,"{'minutes': 12, 'seconds': 20}",3,3,63,63,2,9,False,1,Fumble Recovery (Own),"Gunnar Watson pass complete to Michael Vice for 1 yd Michael Vice fumbled, recovered by Troy",-0.5963970262954481,2022-11-26T20:45:33.000Z,13,Troy,2022
401426384101877909,Troy,Sun Belt,Arkansas State,Sun Belt,Arkansas State,Troy,0,3,401426384,4014263843,3,7,1,"{'minutes': 12, 'seconds': 20}",3,3,59,59,3,5,False,0,Pass Incompletion,Gunnar Watson pass incomplete,-0.66171405344947672,2022-11-26T20:45:33.000Z,13,Troy,2022
