id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415657101849902,Tulane,American Athletic,UCF,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Casey Glover kickoff for 65 yds for a touchback,,2022-11-12T20:35:20.000Z,11,Tulane,2022
401415657101855401,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,2,1,"{'minutes': 14, 'seconds': 45}",3,3,75,75,1,10,False,7,Pass Reception,John Rhys Plumlee pass complete to Ryan O'Keefe for 7 yds to the UCF 32,0.6046424600863380,2022-11-12T20:37:13.000Z,11,Tulane,2022
401415657101857201,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,3,1,"{'minutes': 14, 'seconds': 27}",3,3,68,68,2,3,False,0,Pass Incompletion,John Rhys Plumlee pass incomplete to Ryan O'Keefe,-0.9937966012014892,2022-11-12T20:37:27.000Z,11,Tulane,2022
401415657101857202,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,4,1,"{'minutes': 14, 'seconds': 27}",3,3,68,68,3,3,False,5,Penalty,"TULANE Penalty, Defensive Offside (5 Yards) to the UCF 37 for a 1ST down",,2022-11-12T20:37:27.000Z,11,Tulane,2022
401415657101857601,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,5,1,"{'minutes': 14, 'seconds': 23}",3,3,63,63,1,10,False,0,Pass Incompletion,John Rhys Plumlee pass incomplete to Javon Baker,-1.0657010802154590,2022-11-12T20:38:39.000Z,11,Tulane,2022
401415657101857602,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,6,1,"{'minutes': 14, 'seconds': 23}",3,3,63,63,2,10,False,-5,Penalty,"UCF Penalty, False Start (-5 Yards) to the UCF 32",,2022-11-12T20:38:39.000Z,11,Tulane,2022
401415657101858701,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,7,1,"{'minutes': 14, 'seconds': 12}",3,3,68,68,2,15,False,18,Pass Reception,John Rhys Plumlee pass complete to Javon Baker for 18 yds to the 50 yard line for a 1ST down,2.96551441065738508,2022-11-12T20:39:45.000Z,11,Tulane,2022
401415657101866101,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,8,1,"{'minutes': 13, 'seconds': 38}",3,3,50,50,1,10,False,47,Rush,John Rhys Plumlee run for 47 yds to the Tulan 3 for a 1ST down,2.376960199390036,2022-11-12T20:40:35.000Z,11,Tulane,2022
401415657101867201,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,9,1,"{'minutes': 13, 'seconds': 27}",3,3,3,3,1,0,False,-5,Penalty,"UCF Penalty, False Start (-5 Yards) to the Tulan 8",,2022-11-12T20:40:46.000Z,11,Tulane,2022
401415657101867202,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,10,1,"{'minutes': 13, 'seconds': 27}",2,3,8,8,1,0,False,0,Timeout,"Timeout UCF, clock 13:27",,2022-11-12T20:40:46.000Z,11,Tulane,2022
401415657101868201,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,11,1,"{'minutes': 13, 'seconds': 17}",2,3,8,8,1,8,False,4,Rush,John Rhys Plumlee run for 4 yds to the Tulan 4,-0.0142906717482685,2022-11-12T20:41:55.000Z,11,Tulane,2022
401415657101874901,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,12,1,"{'minutes': 12, 'seconds': 50}",2,3,4,4,2,4,False,-3,Rush,Isaiah Bowser run for a loss of 3 yards to the Tulan 7,-0.5507043882723915,2022-11-12T20:42:22.000Z,11,Tulane,2022
401415657101877801,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,0,0,401415657,4014156571,1,13,1,"{'minutes': 12, 'seconds': 21}",2,3,7,7,3,7,False,0,Pass Incompletion,John Rhys Plumlee pass incomplete to Javon Baker,-0.325035760733144,2022-11-12T20:43:02.000Z,11,Tulane,2022
401415657101878201,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,3,0,401415657,4014156571,1,14,1,"{'minutes': 12, 'seconds': 17}",2,3,7,7,4,7,True,25,Field Goal Good,Colton Boomer 25 yd FG GOOD,,2022-11-12T20:43:36.000Z,11,Tulane,2022
401415657101878202,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,3,0,401415657,4014156572,2,1,1,"{'minutes': 12, 'seconds': 17}",2,3,65,65,4,14,False,21,Kickoff Return (Offense),"Ryker Casey kickoff for 59 yds , Lawrence Keys III return for 21 yds to the TULANE 44 TULANE Penalty, Offensive Holding (10 Yards) to the Tulan 17",,2022-11-12T20:43:36.000Z,11,Tulane,2022
401415657101879102,Tulane,American Athletic,UCF,American Athletic,Tulane,UCF,0,3,401415657,4014156572,2,2,1,"{'minutes': 12, 'seconds': 8}",3,2,17,83,1,10,False,0,Pass Incompletion,Michael Pratt pass incomplete to Duece Watts,-0.48436415563340685,2022-11-12T20:48:41.000Z,11,Tulane,2022
401415657101879901,Tulane,American Athletic,UCF,American Athletic,Tulane,UCF,0,3,401415657,4014156572,2,3,1,"{'minutes': 12, 'seconds': 0}",3,2,17,83,2,10,False,3,Rush,Tyjae Spears run for 3 yds to the Tulan 20,-0.09554817448064145,2022-11-12T20:49:34.000Z,11,Tulane,2022
401415657101884901,Tulane,American Athletic,UCF,American Athletic,Tulane,UCF,0,3,401415657,4014156572,2,4,1,"{'minutes': 11, 'seconds': 50}",3,2,20,80,3,7,False,0,Pass Incompletion,Michael Pratt pass incomplete to Dea Dea McDougle,-0.16737384700578773,2022-11-12T20:49:49.000Z,11,Tulane,2022
401415657101886801,Tulane,American Athletic,UCF,American Athletic,Tulane,UCF,0,3,401415657,4014156572,2,5,1,"{'minutes': 11, 'seconds': 31}",3,2,20,80,4,7,False,0,Punt,"Casey Glover punt for 50 yds, fair catch by Xavier Townsend at the UCF 30",,2022-11-12T20:51:32.000Z,11,Tulane,2022
401415657101888901,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,3,0,401415657,4014156573,3,1,1,"{'minutes': 11, 'seconds': 10}",2,3,70,70,1,10,False,8,Pass Reception,John Rhys Plumlee pass complete to Javon Baker for 8 yds to the UCF 38,0.9979151532889787,2022-11-12T20:51:40.000Z,11,Tulane,2022
401415657101889801,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,3,0,401415657,4014156573,3,2,1,"{'minutes': 11, 'seconds': 1}",2,3,62,62,2,2,False,-5,Penalty,"UCF Penalty, Ineligible Downfield on Pass (-5 Yards) to the UCF 33",,2022-11-12T20:52:18.000Z,11,Tulane,2022
401415657101895001,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,10,0,401415657,4014156573,3,3,1,"{'minutes': 10, 'seconds': 49}",2,3,67,67,2,7,True,67,Rushing Touchdown,"John Rhys Plumlee run for 67 yds for a TD, (Colton Boomer KICK)",6.049138673034717,2022-11-12T20:53:08.000Z,11,Tulane,2022
401415657101895003,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,3,0,401415657,4014156573,3,4,1,"{'minutes': 10, 'seconds': 49}",2,3,65,65,2,7,False,15,Penalty,"TULANE Penalty, Unnecessary Roughness (15 Yards) to the 50 yard line for a 1ST down",,,11,Tulane,2022
401415657101895004,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,10,0,401415657,4014156574,4,1,1,"{'minutes': 10, 'seconds': 49}",2,3,50,50,1,10,False,0,Kickoff Return (Offense),"Ryker Casey kickoff for 29 yds , Keith Cooper Jr. return for no gain to the Tulan 21",,2022-11-12T20:54:36.000Z,11,Tulane,2022
401415657101896901,Tulane,American Athletic,UCF,American Athletic,Tulane,UCF,0,10,401415657,4014156574,4,2,1,"{'minutes': 10, 'seconds': 30}",3,2,21,79,1,10,False,70,Rush,Tyjae Spears run for 70 yds to the UCF 9 for a 1ST down,3.9062969661706878,2022-11-12T20:57:50.000Z,11,Tulane,2022
401415657101905501,Tulane,American Athletic,UCF,American Athletic,Tulane,UCF,0,10,401415657,4014156574,4,3,1,"{'minutes': 9, 'seconds': 44}",3,2,91,9,1,9,False,2,Rush,Shaadie Clayton-Johnson run for 2 yds to the UCF 7,-0.182910644371269,2022-11-12T20:58:27.000Z,11,Tulane,2022
401415657101914501,Tulane,American Athletic,UCF,American Athletic,Tulane,UCF,0,10,401415657,4014156574,4,4,1,"{'minutes': 8, 'seconds': 54}",3,2,93,7,2,7,False,6,Rush,Tyjae Spears run for 6 yds to the UCF 1,0.153150238838187,2022-11-12T20:59:16.000Z,11,Tulane,2022
401415657101916001,Tulane,American Athletic,UCF,American Athletic,Tulane,UCF,7,10,401415657,4014156574,4,5,1,"{'minutes': 8, 'seconds': 39}",3,2,99,1,3,1,True,1,Passing Touchdown,"Michael Pratt pass complete to Duece Watts for 1 yd for a TD, (Valentino Ambrosio KICK)",2.45399822917955,2022-11-12T21:00:09.000Z,11,Tulane,2022
401415657101916003,Tulane,American Athletic,UCF,American Athletic,Tulane,UCF,7,10,401415657,4014156575,5,1,1,"{'minutes': 8, 'seconds': 39}",3,2,35,65,3,2,False,0,Kickoff,Casey Glover kickoff for 65 yds for a touchback,,2022-11-12T21:00:09.000Z,11,Tulane,2022
401415657101918901,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,10,7,401415657,4014156575,5,2,1,"{'minutes': 8, 'seconds': 10}",2,3,75,75,1,10,False,9,Pass Reception,John Rhys Plumlee pass complete to Johnny Richardson for 9 yds to the UCF 34,1.2523083597886239,2022-11-12T21:03:03.000Z,11,Tulane,2022
401415657101919401,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,10,7,401415657,4014156575,5,3,1,"{'minutes': 8, 'seconds': 5}",2,3,66,66,2,1,False,0,Pass Incompletion,John Rhys Plumlee pass incomplete to Kobe Hudson,-1.2753422217375716,2022-11-12T21:03:14.000Z,11,Tulane,2022
401415657101924501,UCF,American Athletic,Tulane,American Athletic,Tulane,UCF,10,7,401415657,4014156575,5,4,1,"{'minutes': 7, 'seconds': 54}",2,3,66,66,3,1,False,3,Rush,John Rhys Plumlee run for 3 yds to the UCF 37 for a 1ST down,1.0502781880925190,2022-11-12T21:03:53.000Z,11,Tulane,2022
