id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415627101849903,Tulsa,American Athletic,Cincinnati,American Athletic,Tulsa,Cincinnati,0,0,401415627,4014156271,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Tyler Tipton kickoff for 65 yds,,2022-10-01T00:00:00.000Z,5,Tulsa,2022
401415627101849905,Cincinnati,American Athletic,Tulsa,American Athletic,Tulsa,Cincinnati,0,0,401415627,4014156271,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,0,Rush,Charles McClelland run for no gain to the Cincy 25,-0.70297002204365193,2022-10-01T23:06:52.000Z,5,Tulsa,2022
401415627101849906,Cincinnati,American Athletic,Tulsa,American Athletic,Tulsa,Cincinnati,0,0,401415627,4014156271,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,2,10,False,16,Pass Reception,Ben Bryant pass complete to Tre Tucker for 16 yds to the Cincy 41 for a 1ST down,2.12171279196654613,2022-10-01T23:06:52.000Z,5,Tulsa,2022
401415627101849907,Cincinnati,American Athletic,Tulsa,American Athletic,Tulsa,Cincinnati,0,0,401415627,4014156271,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,59,59,1,10,False,5,Pass Reception,Ben Bryant pass complete to Tre Tucker for 5 yds to the Cincy 46,0.1104175997643273,2022-10-01T23:06:52.000Z,5,Tulsa,2022
401415627101849908,Cincinnati,American Athletic,Tulsa,American Athletic,Tulsa,Cincinnati,0,0,401415627,4014156271,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,54,54,2,5,False,1,Rush,Charles McClelland run for 1 yd to the Cincy 47,-0.9532288606478778,2022-10-01T23:06:52.000Z,5,Tulsa,2022
401415627101849909,Cincinnati,American Athletic,Tulsa,American Athletic,Tulsa,Cincinnati,0,0,401415627,4014156271,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,53,53,3,4,False,3,Pass Reception,Ben Bryant pass complete to Charles McClelland for 3 yds to the 50 yard line,-0.3715143951306796,2022-10-01T23:06:52.000Z,5,Tulsa,2022
401415627101849910,Cincinnati,American Athletic,Tulsa,American Athletic,Tulsa,Cincinnati,0,0,401415627,4014156271,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,50,50,4,1,False,1,Rush,Ben Bryant run for 1 yd to the Tulsa 49 for a 1ST down,2.1110074541754091,2022-10-01T23:06:52.000Z,5,Tulsa,2022
401415627101849911,Cincinnati,American Athletic,Tulsa,American Athletic,Tulsa,Cincinnati,0,0,401415627,4014156271,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,49,49,1,10,False,-9,Sack,Ben Bryant sacked by Jon-Michael Terry for a loss of 9 yards to the Cincy 42,-2.80833857682763897,2022-10-01T23:11:56.000Z,5,Tulsa,2022
401415627101849912,Cincinnati,American Athletic,Tulsa,American Athletic,Tulsa,Cincinnati,0,0,401415627,4014156271,1,9,1,"{'minutes': 15, 'seconds': 0}",3,3,58,58,2,19,False,0,Pass Incompletion,Ben Bryant pass incomplete to Tyler Scott,-0.442079510942754434,2022-10-01T23:11:56.000Z,5,Tulsa,2022
401415627101849913,Cincinnati,American Athletic,Tulsa,American Athletic,Tulsa,Cincinnati,0,0,401415627,4014156271,1,10,1,"{'minutes': 15, 'seconds': 0}",3,3,58,58,3,19,False,2,Pass Reception,Ben Bryant pass complete to Tre Tucker for 2 yds to the Cincy 44,-0.146347233795673936,2022-10-01T23:11:56.000Z,5,Tulsa,2022
