id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404007101849902,UCLA,Pac-12,Washington,Pac-12,UCLA,Washington,0,0,401404007,4014040071,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,RJ Lopez kickoff for 65 yds for a touchback,,2022-10-01T02:35:18.000Z,5,UCLA,2022
401404007101855401,Washington,Pac-12,UCLA,Pac-12,UCLA,Washington,0,0,401404007,4014040071,1,2,1,"{'minutes': 14, 'seconds': 45}",3,3,75,75,1,10,False,-1,Rush,Wayne Taulapapa run for a loss of 1 yard to the Wash 24,-0.80148935081570998,2022-10-01T02:36:37.000Z,5,UCLA,2022
401404007101857601,Washington,Pac-12,UCLA,Pac-12,UCLA,Washington,0,0,401404007,4014040071,1,3,1,"{'minutes': 14, 'seconds': 23}",3,3,76,76,2,11,False,0,Pass Incompletion,Michael Penix Jr. pass incomplete to Rome Odunze,-0.29427450685877776,2022-10-01T02:37:08.000Z,5,UCLA,2022
401404007101857602,Washington,Pac-12,UCLA,Pac-12,UCLA,Washington,0,0,401404007,4014040071,1,4,1,"{'minutes': 14, 'seconds': 23}",2,3,76,76,3,11,False,0,Timeout,"Timeout WASHINGTON, clock 14:23",,2022-10-01T02:37:08.000Z,5,UCLA,2022
401404007101858401,Washington,Pac-12,UCLA,Pac-12,UCLA,Washington,0,0,401404007,4014040071,1,5,1,"{'minutes': 14, 'seconds': 15}",2,3,76,76,3,11,False,13,Pass Reception,Michael Penix Jr. pass complete to Rome Odunze for 13 yds to the Wash 37 for a 1ST down,2.12300818381805904,2022-10-01T02:39:03.000Z,5,UCLA,2022
401404007101864401,Washington,Pac-12,UCLA,Pac-12,UCLA,Washington,0,0,401404007,4014040071,1,6,1,"{'minutes': 13, 'seconds': 55}",2,3,63,63,1,10,False,15,Rush,Wayne Taulapapa run for 15 yds to the UCLA 48 for a 1ST down,1.3642769572977932,2022-10-01T02:39:35.000Z,5,UCLA,2022
401404007101868901,Washington,Pac-12,UCLA,Pac-12,UCLA,Washington,0,0,401404007,4014040071,1,7,1,"{'minutes': 13, 'seconds': 10}",2,3,48,48,1,10,False,5,Rush,Wayne Taulapapa run for 5 yds to the UCLA 43,0.0988833853941654,2022-10-01T02:40:15.000Z,5,UCLA,2022
401404007101876901,Washington,Pac-12,UCLA,Pac-12,UCLA,Washington,0,0,401404007,4014040071,1,8,1,"{'minutes': 12, 'seconds': 30}",2,3,43,43,2,5,False,6,Pass Reception,Michael Penix Jr. pass complete to Jack Westover for 6 yds to the UCLA 37 for a 1ST down,0.5359418194090484,2022-10-01T02:41:04.000Z,5,UCLA,2022
401404007101884301,Washington,Pac-12,UCLA,Pac-12,UCLA,Washington,0,0,401404007,4014040071,1,9,1,"{'minutes': 11, 'seconds': 56}",2,3,37,37,1,10,False,2,Pass Reception,Michael Penix Jr. pass complete to Jalen McMillan for 2 yds to the UCLA 35,-0.4014146126260343,2022-10-01T02:41:32.000Z,5,UCLA,2022
401404007101888901,Washington,Pac-12,UCLA,Pac-12,UCLA,Washington,0,0,401404007,4014040071,1,10,1,"{'minutes': 11, 'seconds': 10}",2,3,35,35,2,8,False,2,Pass Reception,Michael Penix Jr. pass complete to Giles Jackson for 2 yds to the UCLA 33,-0.4785972422069449,2022-10-01T02:42:20.000Z,5,UCLA,2022
