id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401414782101849903,UMass,FBS Independents,Eastern Michigan,Mid-American,Eastern Michigan,UMass,0,0,401414782,4014147821,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,CJ Kolodziey kickoff for 65 yds for a touchback,,2022-10-01T18:03:18.000Z,5,UMass,2022
401414782101855301,Eastern Michigan,Mid-American,UMass,FBS Independents,Eastern Michigan,UMass,0,0,401414782,4014147821,1,2,1,"{'minutes': 14, 'seconds': 46}",3,3,25,75,1,10,False,6,Pass Reception,Austin Smith pass complete to Tanner Knue for 6 yds to the EMich 31,0.3333748010525683,2022-10-01T18:03:47.000Z,5,UMass,2022
401414782101857301,Eastern Michigan,Mid-American,UMass,FBS Independents,Eastern Michigan,UMass,0,0,401414782,4014147821,1,3,1,"{'minutes': 14, 'seconds': 26}",3,3,31,69,2,4,False,0,Pass Incompletion,Austin Smith pass incomplete to Samson Evans,-0.8681070846083454,2022-10-01T18:04:04.000Z,5,UMass,2022
401414782101858901,Eastern Michigan,Mid-American,UMass,FBS Independents,Eastern Michigan,UMass,0,0,401414782,4014147821,1,4,1,"{'minutes': 14, 'seconds': 10}",3,3,31,69,3,4,False,5,Pass Reception,Austin Smith pass complete to Darius Lassiter for 5 yds to the EMich 36 for a 1ST down,1.4652947955017676,2022-10-01T18:05:12.000Z,5,UMass,2022
401414782101858902,Eastern Michigan,Mid-American,UMass,FBS Independents,Eastern Michigan,UMass,0,0,401414782,4014147821,1,5,1,"{'minutes': 14, 'seconds': 10}",3,3,36,64,1,10,False,5,Penalty,"(14:10) No Huddle-Shotgun Smith,Austin pass incomplete short left to Westmoreland,Zach PENALTY MASS Offside 5 yards from EMU36 to EMU41. NO PLAY.",,2022-10-01T18:05:12.000Z,5,UMass,2022
401414782101859801,Eastern Michigan,Mid-American,UMass,FBS Independents,Eastern Michigan,UMass,0,0,401414782,4014147821,1,6,1,"{'minutes': 14, 'seconds': 1}",3,3,41,59,1,5,False,6,Rush,Samson Evans run for 6 yds to the EMich 47 for a 1ST down,-0.4848304286626952,2022-10-01T18:06:04.000Z,5,UMass,2022
401414782101865701,Eastern Michigan,Mid-American,UMass,FBS Independents,Eastern Michigan,UMass,0,0,401414782,4014147821,1,7,1,"{'minutes': 13, 'seconds': 42}",3,3,47,53,1,10,False,8,Rush,Samson Evans run for 8 yds to the UMass 45,0.9027604054456207,2022-10-01T18:40:03.000Z,5,UMass,2022
401414782101867501,Eastern Michigan,Mid-American,UMass,FBS Independents,Eastern Michigan,UMass,0,0,401414782,4014147821,1,8,1,"{'minutes': 13, 'seconds': 24}",3,3,55,45,2,2,False,6,Fumble Recovery (Own),"Austin Smith pass complete to Aaron Jackson for 6 yds Aaron Jackson fumbled, recovered by UMass Jordan Mahoney",0.052100473196136,2022-10-01T18:07:12.000Z,5,UMass,2022
401414782101868801,UMass,FBS Independents,Eastern Michigan,Mid-American,Eastern Michigan,UMass,0,0,401414782,4014147822,2,1,1,"{'minutes': 13, 'seconds': 11}",3,3,49,49,1,10,False,-5,Sack,Gino Campiotti sacked by Jose Ramirez for a loss of 5 yards to the UMass 46,-2.1829984166845247,2022-10-01T18:07:29.000Z,5,UMass,2022
401414782101876401,UMass,FBS Independents,Eastern Michigan,Mid-American,Eastern Michigan,UMass,0,0,401414782,4014147822,2,2,1,"{'minutes': 12, 'seconds': 35}",3,3,54,54,2,15,False,4,Rush,Greg Desrosiers Jr. run for 4 yds to the 50 yard line,-0.1364259682548522,2022-10-01T18:08:07.000Z,5,UMass,2022
