id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404128101849904,UNLV,Mountain West,Notre Dame,FBS Independents,Notre Dame,UNLV,0,0,401404128,4014041281,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Ryan O'Hara kickoff for 65 yds for a touchback,,2022-10-22T18:36:46.000Z,8,UNLV,2022
401404128101849906,Notre Dame,FBS Independents,UNLV,Mountain West,Notre Dame,UNLV,0,0,401404128,4014041281,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,3,Rush,Logan Diggs run for 3 yds to the NDame 28,-0.2957674139440157,2022-10-22T18:36:46.000Z,8,UNLV,2022
401404128101849908,Notre Dame,FBS Independents,UNLV,Mountain West,Notre Dame,UNLV,0,0,401404128,4014041281,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,28,72,2,7,False,23,Pass Reception,Drew Pyne pass complete to Michael Mayer for 23 yds to the UNLV 49 for a 1ST down,2.6111919820280889,2022-10-22T18:36:46.000Z,8,UNLV,2022
401404128101849910,Notre Dame,FBS Independents,UNLV,Mountain West,Notre Dame,UNLV,0,0,401404128,4014041281,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,51,49,1,10,False,0,Pass Incompletion,Drew Pyne pass incomplete,-1.0955888671820907,2022-10-22T18:36:46.000Z,8,UNLV,2022
401404128101849912,Notre Dame,FBS Independents,UNLV,Mountain West,Notre Dame,UNLV,0,0,401404128,4014041281,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,51,49,2,10,False,0,Rush,Logan Diggs run for no gain to the UNLV 49,-1.0389251637196858,2022-10-22T18:36:46.000Z,8,UNLV,2022
401404128101849913,Notre Dame,FBS Independents,UNLV,Mountain West,Notre Dame,UNLV,0,0,401404128,4014041281,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,51,49,3,10,False,37,Pass Reception,Drew Pyne pass complete to Jayden Thomas for 37 yds to the UNLV 12 for a 1ST down,3.3667500405030993,2022-10-22T18:36:46.000Z,8,UNLV,2022
401404128101876401,Notre Dame,FBS Independents,UNLV,Mountain West,Notre Dame,UNLV,7,0,401404128,4014041281,1,7,1,"{'minutes': 12, 'seconds': 35}",3,3,88,12,1,10,True,12,Rushing Touchdown,"Audric Estime run for 12 yds for a TD, (Blake Grupe KICK)",2.5300945420359255,2022-10-22T18:41:18.000Z,8,UNLV,2022
401404128101876403,Notre Dame,FBS Independents,UNLV,Mountain West,Notre Dame,UNLV,7,0,401404128,4014041282,2,1,1,"{'minutes': 12, 'seconds': 35}",3,3,35,65,0,0,False,0,Kickoff,Zac Yoakam kickoff for 65 yds for a touchback,,2022-10-22T18:41:18.000Z,8,UNLV,2022
401404128101876405,UNLV,Mountain West,Notre Dame,FBS Independents,Notre Dame,UNLV,0,7,401404128,4014041282,2,2,1,"{'minutes': 12, 'seconds': 35}",3,3,75,75,1,10,False,0,Pass Incompletion,Cameron Friel pass incomplete,-0.70297002204365193,2022-10-22T18:41:18.000Z,8,UNLV,2022
401404128101876406,UNLV,Mountain West,Notre Dame,FBS Independents,Notre Dame,UNLV,0,7,401404128,4014041282,2,3,1,"{'minutes': 12, 'seconds': 35}",3,3,75,75,2,10,False,0,Pass Incompletion,Cameron Friel pass incomplete,-0.34710487712173865,2022-10-22T18:41:18.000Z,8,UNLV,2022
