id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403980101849902,USC,Pac-12,Stanford,Pac-12,Stanford,USC,0,0,401403980,4014039801,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Alex Stadthaus kickoff for 65 yds for a touchback,,2022-09-10T23:44:11.000Z,2,USC,2022
401403980101854801,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,0,401403980,4014039801,1,2,1,"{'minutes': 14, 'seconds': 51}",3,3,25,75,1,10,False,12,Pass Reception,Tanner McKee pass complete to Michael Wilson for 12 yds to the Stanf 37 for a 1ST down,1.0272443261435713,2022-09-10T23:45:30.000Z,2,USC,2022
401403980101857101,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,0,401403980,4014039801,1,3,1,"{'minutes': 14, 'seconds': 28}",3,3,37,63,1,10,False,2,Rush,E.J. Smith run for 2 yds to the Stanf 39,-0.6556647600661254,2022-09-10T23:45:57.000Z,2,USC,2022
401403980101859901,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,0,401403980,4014039801,1,4,1,"{'minutes': 14, 'seconds': 0}",3,3,39,61,2,8,False,32,Pass Interception Return,Tanner McKee pass intercepted Max Williams return for 32 yds to the Stanf 33,-1.2938244463561244,2022-09-10T23:47:02.000Z,2,USC,2022
401403980101864501,USC,Pac-12,Stanford,Pac-12,Stanford,USC,0,0,401403980,4014039802,2,1,1,"{'minutes': 13, 'seconds': 54}",3,3,33,33,1,10,False,7,Rush,Travis Dye run for 7 yds to the Stanf 26,0.376233844475481,2022-09-10T23:47:42.000Z,2,USC,2022
401403980101867301,USC,Pac-12,Stanford,Pac-12,Stanford,USC,0,0,401403980,4014039802,2,2,1,"{'minutes': 13, 'seconds': 26}",3,3,26,26,2,3,False,10,Rush,Caleb Williams run for 10 yds to the Stanf 16 for a 1ST down,-0.0418817922658674,2022-09-10T23:47:52.000Z,2,USC,2022
401403980101874901,USC,Pac-12,Stanford,Pac-12,Stanford,USC,0,0,401403980,4014039802,2,3,1,"{'minutes': 12, 'seconds': 50}",3,3,16,16,1,10,False,11,Rush,Travis Dye run for 11 yds to the Stanf 5 for a 1ST down,0.6849418807335004,2022-09-10T23:48:26.000Z,2,USC,2022
401403980101876101,USC,Pac-12,Stanford,Pac-12,Stanford,USC,7,0,401403980,4014039802,2,4,1,"{'minutes': 12, 'seconds': 38}",3,3,5,5,1,5,True,5,Passing Touchdown,Lake McRee 5 Yd pass from Caleb Williams (Denis Lynch Kick),1.883780840558874,2022-09-10T23:49:02.000Z,2,USC,2022
401403980101876103,USC,Pac-12,Stanford,Pac-12,Stanford,USC,7,0,401403980,4014039803,3,1,1,"{'minutes': 12, 'seconds': 38}",3,3,65,65,1,10,False,0,Kickoff,Alex Stadthaus kickoff for 65 yds for a touchback,,2022-09-10T23:49:02.000Z,2,USC,2022
401403980101876701,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,2,1,"{'minutes': 12, 'seconds': 32}",3,3,25,75,1,10,False,15,Rush,E.J. Smith run for 15 yds to the Stanf 40 for a 1ST down,1.3208545155776461,2022-09-10T23:51:41.000Z,2,USC,2022
401403980101878401,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,3,1,"{'minutes': 12, 'seconds': 15}",3,3,40,60,1,10,False,8,Penalty,"McKee, Tanner pass incomplete to Tremayne, Brycen, PENALTY USC pass interference (Blackmon, Mekhi) 8 yards to the STANFORD48, NO PLAY, 1ST DOWN STANFORD.",,2022-09-10T23:52:34.000Z,2,USC,2022
401403980101878402,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,4,1,"{'minutes': 12, 'seconds': 15}",3,3,48,52,1,10,False,-5,Penalty,"STANFORD Penalty, False Start (Walter Rouse) to the Stanf 43",,2022-09-10T23:52:34.000Z,2,USC,2022
401403980101879001,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,5,1,"{'minutes': 12, 'seconds': 9}",3,3,43,57,1,15,False,18,Rush,E.J. Smith run for 18 yds to the USC 39 for a 1ST down,2.0792713420638442,2022-09-10T23:53:20.000Z,2,USC,2022
401403980101884801,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,6,1,"{'minutes': 11, 'seconds': 51}",3,3,61,39,1,10,False,6,Rush,E.J. Smith run for 6 yds to the USC 33,0.258293699621337,2022-09-10T23:53:43.000Z,2,USC,2022
401403980101887601,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,7,1,"{'minutes': 11, 'seconds': 23}",3,3,67,33,2,4,False,5,Rush,Casey Filkins run for 5 yds to the USC 28 for a 1ST down,0.118130381171783,2022-09-10T23:54:12.000Z,2,USC,2022
401403980101894501,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,8,1,"{'minutes': 10, 'seconds': 54}",3,3,72,28,1,10,False,5,Rush,Casey Filkins run for 5 yds to the USC 23,0.076570349594624,2022-09-10T23:55:08.000Z,2,USC,2022
401403980101897801,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,9,1,"{'minutes': 10, 'seconds': 21}",3,3,77,23,2,5,False,-4,Sack,Tanner McKee sacked by Solomon Byrd for a loss of 4 yards to the USC 27,-1.117862315881999,2022-09-10T23:55:33.000Z,2,USC,2022
401403980101905401,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,10,1,"{'minutes': 9, 'seconds': 45}",3,3,73,27,3,9,False,8,Rush,E.J. Smith run for 8 yds to the USC 19,0.5001832316478457,2022-09-10T23:55:58.000Z,2,USC,2022
401403980101908001,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,11,1,"{'minutes': 9, 'seconds': 19}",3,3,81,19,4,1,False,3,Rush,E.J. Smith run for 3 yds to the USC 16 for a 1ST down,0.7364004874855859,2022-09-10T23:59:47.000Z,2,USC,2022
401403980101914801,Stanford,Pac-12,USC,Pac-12,Stanford,USC,0,7,401403980,4014039803,3,12,1,"{'minutes': 8, 'seconds': 51}",3,3,84,16,1,10,False,13,Pass Reception,Tanner McKee pass complete to E.J. Smith for 13 yds to the USC 3 for a 1ST down,1.1042709885610374,2022-09-11T00:00:27.000Z,2,USC,2022
