id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426618101849903,UTEP,Conference USA,UT San Antonio,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Gavin Baechle kickoff for 65 yds for a touchback,,2022-11-26T20:35:33.000Z,13,UT San Antonio,2022
401426618101849905,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,1,Rush,Brenden Brady run for 1 yd to the TexSA 26,-0.58747954310168553,2022-11-26T20:35:33.000Z,13,UT San Antonio,2022
401426618101849906,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,26,74,2,9,False,0,Pass Incompletion,Frank Harris pass incomplete to Tykee Ogle-Kellogg,-0.40831395320271024,2022-11-26T20:36:20.000Z,13,UT San Antonio,2022
401426618101849907,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,26,74,3,9,False,10,Rush,Frank Harris run for 10 yds to the TexSA 36 for a 1ST down,1.92635600825038627,2022-11-26T20:37:09.000Z,13,UT San Antonio,2022
401426618101849908,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,36,64,1,10,False,0,Rush,Brenden Brady run for no gain to the TexSA 36,-1.0411553203440639,2022-11-26T20:37:09.000Z,13,UT San Antonio,2022
401426618101849909,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,36,64,2,10,False,0,Pass Incompletion,Frank Harris pass incomplete to Isaiah Davis,-0.63103783382599236,2022-11-26T20:37:09.000Z,13,UT San Antonio,2022
401426618101849910,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,36,64,3,10,False,12,Pass Reception,Frank Harris pass complete to Zakhari Franklin for 12 yds to the TexSA 48 for a 1ST down,2.81133147323495626,2022-11-26T20:37:09.000Z,13,UT San Antonio,2022
401426618101874801,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,8,1,"{'minutes': 12, 'seconds': 51}",3,2,48,52,1,10,False,0,Timeout,"Timeout UTEP, clock 12:51",,2022-11-26T20:37:09.000Z,13,UT San Antonio,2022
401426618101874802,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,9,1,"{'minutes': 12, 'seconds': 51}",3,2,48,52,1,10,False,1,Rush,Kevorian Barnes run for 1 yd to the TexSA 47,-0.9023678946876946,2022-11-26T20:44:15.000Z,13,UT San Antonio,2022
401426618101874803,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,10,1,"{'minutes': 12, 'seconds': 51}",3,2,47,53,2,11,False,22,Pass Reception,Frank Harris pass complete to Kevorian Barnes for 22 yds to the UTEP 31 for a 1ST down,2.541059955275104,2022-11-26T20:44:15.000Z,13,UT San Antonio,2022
401426618101874804,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,11,1,"{'minutes': 12, 'seconds': 51}",3,2,69,31,1,10,False,0,Pass Incompletion,Frank Harris pass incomplete to Tykee Ogle-Kellogg,-0.5824837756999946,2022-11-26T20:44:15.000Z,13,UT San Antonio,2022
401426618101874805,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,12,1,"{'minutes': 12, 'seconds': 51}",3,2,69,31,2,10,False,2,Rush,Kevorian Barnes run for 2 yds to the UTEP 33,-0.4246561670172914,2022-11-26T20:44:15.000Z,13,UT San Antonio,2022
401426618101874806,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,13,1,"{'minutes': 12, 'seconds': 51}",3,2,67,33,3,12,False,3,Rush,Frank Harris run for 3 yds to the UTEP 30,-0.3783491748211940,2022-11-26T20:44:15.000Z,13,UT San Antonio,2022
401426618101895501,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266181,1,14,1,"{'minutes': 10, 'seconds': 44}",3,2,70,30,4,9,False,47,Field Goal Missed,Jared Sackett 47 yd FG MISSED,,2022-11-26T20:37:09.000Z,13,UT San Antonio,2022
401426618101895503,UTEP,Conference USA,UT San Antonio,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266182,2,1,1,"{'minutes': 10, 'seconds': 44}",2,3,70,70,1,10,False,7,Rush,Ronald Awatt run for 7 yds to the UTEP 37,0.6714265021529684,2022-11-26T20:47:29.000Z,13,UT San Antonio,2022
401426618101895504,UTEP,Conference USA,UT San Antonio,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266182,2,2,1,"{'minutes': 10, 'seconds': 44}",2,3,63,63,2,3,False,11,Pass Reception,Calvin Brownholtz pass complete to Kelly Akharaiyi for 11 yds to the UTEP 48 for a 1ST down,1.013305728040944,2022-11-26T20:48:06.000Z,13,UT San Antonio,2022
401426618101895505,UTEP,Conference USA,UT San Antonio,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266182,2,3,1,"{'minutes': 10, 'seconds': 44}",2,3,52,52,1,10,False,37,Rush,Ronald Awatt run for 37 yds to the TexSA 15 for a 1ST down,1.449855199145348,2022-11-26T20:48:06.000Z,13,UT San Antonio,2022
401426618101895506,UTEP,Conference USA,UT San Antonio,Conference USA,UT San Antonio,UTEP,0,0,401426618,4014266182,2,4,1,"{'minutes': 10, 'seconds': 44}",2,3,15,15,1,10,False,0,Rush,Reynaldo Flores run for no gain to the TexSA 15,-0.320977659489319,2022-11-26T20:48:06.000Z,13,UT San Antonio,2022
401426618101924301,UTEP,Conference USA,UT San Antonio,Conference USA,UT San Antonio,UTEP,7,0,401426618,4014266182,2,5,1,"{'minutes': 7, 'seconds': 56}",2,3,15,15,2,10,True,15,Passing Touchdown,"Calvin Brownholtz pass complete to James Tupou for 15 yds for a TD, (Gavin Baechle KICK)",2.879176749054402,2022-11-26T20:50:54.000Z,13,UT San Antonio,2022
401426618101924901,UTEP,Conference USA,UT San Antonio,Conference USA,UT San Antonio,UTEP,7,0,401426618,4014266183,3,1,1,"{'minutes': 7, 'seconds': 50}",2,3,65,65,1,10,False,18,Kickoff Return (Offense),"Gavin Baechle kickoff for 65 yds , Chris Carpenter return for 18 yds to the TexSA 18",,2022-11-26T20:52:53.000Z,13,UT San Antonio,2022
401426618101924903,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,7,401426618,4014266183,3,2,1,"{'minutes': 7, 'seconds': 50}",3,2,18,82,1,10,False,10,Pass Reception,Frank Harris pass complete to Zakhari Franklin for 10 yds to the TexSA 28 for a 1ST down,0.6326655370267984,2022-11-26T20:52:53.000Z,13,UT San Antonio,2022
401426618101924904,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,7,401426618,4014266183,3,3,1,"{'minutes': 7, 'seconds': 50}",3,2,28,72,1,10,False,0,Rush,Brenden Brady run for no gain to the TexSA 28,-0.79820084755085575,2022-11-26T20:53:55.000Z,13,UT San Antonio,2022
401426618101924905,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,7,401426618,4014266183,3,4,1,"{'minutes': 7, 'seconds': 50}",3,2,28,72,2,10,False,-5,Sack,Frank Harris sacked by Jalen Rudolph for a loss of 5 yards to the TexSA 23,-0.61266936030140685,2022-11-26T20:53:55.000Z,13,UT San Antonio,2022
401426618101924906,UT San Antonio,Conference USA,UTEP,Conference USA,UT San Antonio,UTEP,0,7,401426618,4014266183,3,5,1,"{'minutes': 7, 'seconds': 50}",3,2,23,77,3,15,False,-6,Sack,Frank Harris sacked for a loss of 6 yards to the TexSA 17,-0.1220280973394523,2022-11-26T20:53:55.000Z,13,UT San Antonio,2022
