id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426609101849902,Florida International,Conference USA,UTEP,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Lucas Matias kickoff for 65 yds for a touchback,,2022-11-19T21:05:36.000Z,12,UTEP,2022
401426609101908401,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,7,0,401426609,4014266091,1,2,1,"{'minutes': 9, 'seconds': 15}",3,3,99,1,3,1,True,1,Rushing Touchdown,Calvin Brownholtz 1 Yd Run (Gavin Baechle Kick),2.45399822917955,2022-11-19T21:13:54.000Z,12,UTEP,2022
401426609101908403,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,-6,0,401426609,4014266091,1,3,1,"{'minutes': 9, 'seconds': 15}",3,3,35,65,1,10,False,0,Kickoff,Mark Ramos kickoff for 65 yds for a touchback,,2022-11-19T21:13:54.000Z,12,UTEP,2022
401426609101989403,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,-6,0,401426609,4014266091,1,4,1,"{'minutes': 1, 'seconds': 5}",3,3,35,65,1,10,False,0,Kickoff,Gavin Baechle kickoff for 65 yds for a touchback,,2022-11-19T21:38:24.000Z,12,UTEP,2022
401426609101000001,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,5,1,"{'minutes': 0, 'seconds': 0}",3,3,25,75,1,10,False,2,Rush,Ronald Awatt run for 2 yds to the UTEP 27,-0.45260367932203764,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609101000002,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,6,1,"{'minutes': 0, 'seconds': 0}",3,3,27,73,2,8,False,2,Rush,Reynaldo Flores run for 2 yds to the UTEP 29,-0.31258983252795591,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609101000003,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,7,1,"{'minutes': 0, 'seconds': 0}",3,3,29,71,3,6,False,10,Rush,Calvin Brownholtz run for 10 yds to the UTEP 39 for a 1ST down,1.98793259510644905,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609101000004,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,8,1,"{'minutes': 0, 'seconds': 0}",3,3,39,61,1,10,False,20,Rush,"Ronald Awatt run for 5 yds to the FlaIn 44 for a 1ST down FLORIDA INTL Penalty, unsportsmanlike conduct (Shaun Peterson Jr.) to the FlaIn 41 for a 1ST down",1.6144964105683466,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609101000005,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,9,1,"{'minutes': 0, 'seconds': 0}",3,3,59,41,1,10,False,11,Pass Reception,Calvin Brownholtz pass complete to Tyrin Smith for 11 yds to the FlaIn 30 for a 1ST down,0.4262764929737484,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609101000006,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,10,1,"{'minutes': 0, 'seconds': 0}",3,3,70,30,1,10,False,9,Pass Reception,Calvin Brownholtz pass complete to Reynaldo Flores for 9 yds to the FlaIn 21,0.687915414120443,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609101000007,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,11,1,"{'minutes': 0, 'seconds': 0}",3,3,79,21,2,1,False,4,Rush,Ronald Awatt run for 4 yds to the FlaIn 17 for a 1ST down,-0.453575383982086,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609101000008,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,12,1,"{'minutes': 0, 'seconds': 0}",3,3,83,17,1,10,False,5,Rush,Ronald Awatt run for 5 yds to the FlaIn 12,0.0743089920947465,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609101000009,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,13,1,"{'minutes': 0, 'seconds': 0}",3,3,88,12,2,5,False,10,Pass Incompletion,"Calvin Brownholtz pass incomplete to Kelly Akharaiyi, broken up by Andrew Volmar for a 1ST down FLORIDA INTL Penalty, Defensive pass interference (Andrew Volmar) to the FlaIn 2 for a 1ST down",1.2923588130175695,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609101000010,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,14,1,"{'minutes': 0, 'seconds': 0}",3,3,98,2,1,2,False,1,Rush,Deion Hankins run for 1 yd to the FlaIn 1,-0.687116939800908,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609101000011,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,0,0,401426609,4014266091,1,15,1,"{'minutes': 0, 'seconds': 0}",3,3,99,1,2,1,False,0,Rush,,-0.553645991706544,2022-11-19T21:40:43.000Z,12,UTEP,2022
401426609102909403,UTEP,Conference USA,Florida International,Conference USA,UTEP,Florida International,-15,0,401426609,4014266091,1,16,2,"{'minutes': 9, 'seconds': 5}",3,3,35,65,1,10,False,0,Kickoff,Gavin Baechle kickoff for 41 yds,,2022-11-19T22:00:29.000Z,12,UTEP,2022
