id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403892101849902,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,0,0,401403892,4014038921,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Joseph Bulovas kickoff for 65 yds for a touchback,,2022-09-24T23:39:26.000Z,4,Vanderbilt,2022
401403892101854901,Alabama,SEC,Vanderbilt,SEC,Alabama,Vanderbilt,0,0,401403892,4014038921,1,2,1,"{'minutes': 14, 'seconds': 50}",3,3,25,75,1,10,False,8,Pass Reception,Bryce Young pass complete to Jermaine Burton for 8 yds to the Alab 33,0.9104368550610653,2022-09-24T23:40:49.000Z,4,Vanderbilt,2022
401403892101857201,Alabama,SEC,Vanderbilt,SEC,Alabama,Vanderbilt,0,0,401403892,4014038921,1,3,1,"{'minutes': 14, 'seconds': 27}",3,3,33,67,2,2,False,2,Rush,Jase McClellan run for 2 yds to the Alab 35 for a 1ST down,-0.0753987460310786,2022-09-24T23:41:08.000Z,4,Vanderbilt,2022
401403892101864001,Alabama,SEC,Vanderbilt,SEC,Alabama,Vanderbilt,0,0,401403892,4014038921,1,4,1,"{'minutes': 13, 'seconds': 59}",3,3,35,65,1,10,False,-10,Penalty,"Young, Bryce pass incomplete, PENALTY ALABAMA holding (Dalcourt, Darrian) 10 yards to the ALABAMA25, NO PLAY.",,2022-09-24T23:41:55.000Z,4,Vanderbilt,2022
401403892101864901,Alabama,SEC,Vanderbilt,SEC,Alabama,Vanderbilt,0,0,401403892,4014038921,1,5,1,"{'minutes': 13, 'seconds': 50}",3,3,25,75,1,20,False,8,Rush,Jase McClellan run for 8 yds to the Alab 33,0.34808350451167504,2022-09-24T23:42:44.000Z,4,Vanderbilt,2022
401403892101868301,Alabama,SEC,Vanderbilt,SEC,Alabama,Vanderbilt,0,0,401403892,4014038921,1,6,1,"{'minutes': 13, 'seconds': 16}",3,3,33,67,2,12,False,4,Pass Reception,Bryce Young pass complete to Jase McClellan for 4 yds to the Alab 37,-0.08728383511259176,2022-09-24T23:42:56.000Z,4,Vanderbilt,2022
401403892101876301,Alabama,SEC,Vanderbilt,SEC,Alabama,Vanderbilt,0,0,401403892,4014038921,1,7,1,"{'minutes': 12, 'seconds': 36}",3,3,37,63,3,8,False,5,Pass Reception,Bryce Young pass complete to Cameron Latu for 5 yds to the Alab 42,0.04037212028549406,2022-09-24T23:43:36.000Z,4,Vanderbilt,2022
401403892101879601,Alabama,SEC,Vanderbilt,SEC,Alabama,Vanderbilt,0,0,401403892,4014038921,1,8,1,"{'minutes': 12, 'seconds': 3}",3,3,42,58,4,3,False,0,Punt,"James Burnip punt for 40 yds, punt out-of-bounds at the Vandy 18",,2022-09-24T23:44:14.000Z,4,Vanderbilt,2022
401403892101886902,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,0,0,401403892,4014038922,2,1,1,"{'minutes': 11, 'seconds': 30}",3,3,82,82,1,10,False,4,Pass Reception,AJ Swann pass complete to Ray Davis for 4 yds to the Vandy 22,-0.07889451759108735,2022-09-24T23:45:19.000Z,4,Vanderbilt,2022
401403892101888402,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,0,0,401403892,4014038922,2,2,1,"{'minutes': 11, 'seconds': 15}",3,3,78,78,2,6,False,5,Pass Reception,AJ Swann pass complete to Jayden McGowan for 5 yds to the Vandy 27,0.07896249162654275,2022-09-24T23:46:41.000Z,4,Vanderbilt,2022
