id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404065101849902,Kansas,Big 12,West Virginia,Big 12,West Virginia,Kansas,0,0,401404065,4014040651,1,1,1,"{'minutes': 15, 'seconds': 0}",3.0,3.0,65,65,1,10,False,0,Kickoff,Tabor Allen kickoff for 65 yds for a touchback,,2022-09-10T22:05:13.000Z,2,West Virginia,2022
401404065101868001,West Virginia,Big 12,Kansas,Big 12,West Virginia,Kansas,7,0,401404065,4014040651,1,2,1,"{'minutes': 13, 'seconds': 19}",3.0,3.0,41,59,2,4,True,59,Passing Touchdown,Sam James 59 Yd pass from JT Daniels (Casey Legg Kick),4.8443705262865002,2022-09-10T18:06:36.000Z,2,West Virginia,2022
401404065101868701,West Virginia,Big 12,Kansas,Big 12,West Virginia,Kansas,-6,0,401404065,4014040651,1,3,1,"{'minutes': 13, 'seconds': 12}",3.0,3.0,35,65,1,10,False,15,Kickoff Return (Offense),"Parker Grothaus kickoff for 60 yds , Kenny Logan Jr. return for 15 yds to the 50 yard line KANSAS Penalty, Offensive holding (Edwin White-Schultz) to the Kans 10",,2022-09-10T22:12:32.000Z,2,West Virginia,2022
401404065101954101,West Virginia,Big 12,Kansas,Big 12,West Virginia,Kansas,0,0,401404065,4014040651,1,4,1,"{'minutes': 4, 'seconds': 58}",3.0,3.0,35,65,1,10,False,15,Kickoff Return (Offense),"Parker Grothaus kickoff for 59 yds , Kenny Logan Jr. return for 15 yds to the Kans 21",,2022-09-10T22:05:13.000Z,2,West Virginia,2022
401404065101000001,West Virginia,Big 12,Kansas,Big 12,West Virginia,Kansas,0,0,401404065,4014040651,1,5,1,"{'minutes': 0, 'seconds': 0}",3.0,3.0,25,75,1,10,False,2,Rush,Tony Mathis Jr. run for 2 yds to the WVirg 27,-0.45260367932203764,2022-09-10T22:05:13.000Z,2,West Virginia,2022
401404065101000002,West Virginia,Big 12,Kansas,Big 12,West Virginia,Kansas,0,0,401404065,4014040651,1,6,1,"{'minutes': 0, 'seconds': 0}",3.0,3.0,27,73,2,8,False,8,Pass Reception,JT Daniels pass complete to Kaden Prather for 8 yds to the WVirg 35 for a 1ST down,1.28764178835202434,2022-09-10T22:05:13.000Z,2,West Virginia,2022
401404065101000003,West Virginia,Big 12,Kansas,Big 12,West Virginia,Kansas,0,0,401404065,4014040651,1,7,1,"{'minutes': 0, 'seconds': 0}",3.0,3.0,35,65,1,10,False,6,Pass Reception,JT Daniels pass complete to Bryce Ford-Wheaton for 6 yds to the WVirg 41,0.3983464844048346,2022-09-10T22:05:13.000Z,2,West Virginia,2022
401404065102854203,Kansas,Big 12,West Virginia,Big 12,West Virginia,Kansas,0,0,401404065,4014040651,1,8,2,"{'minutes': 14, 'seconds': 57}",3.0,3.0,65,65,1,10,False,0,Kickoff,Tabor Allen kickoff for 65 yds for a touchback,,2022-09-10T22:43:27.000Z,2,West Virginia,2022
401404065102868403,West Virginia,Big 12,Kansas,Big 12,West Virginia,Kansas,0,-6,401404065,4014040651,1,9,2,"{'minutes': 13, 'seconds': 15}",3.0,3.0,35,65,1,10,False,0,Kickoff,Parker Grothaus kickoff for 65 yds for a touchback,,2022-09-10T22:48:03.000Z,2,West Virginia,2022
401404065102917303,Kansas,Big 12,West Virginia,Big 12,West Virginia,Kansas,-6,-6,401404065,4014040651,1,10,2,"{'minutes': 8, 'seconds': 26}",3.0,3.0,65,65,1,10,False,0,Kickoff,Tabor Allen kickoff for 65 yds for a touchback,,2022-09-10T23:09:05.000Z,2,West Virginia,2022
