id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415230101849903,Wyoming,Mountain West,San José State,Mountain West,Wyoming,San José State,0,0,401415230,4014152301,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,John Hoyland kickoff for 65 yds for a touchback,,2022-10-01T23:38:04.000Z,5,Wyoming,2022
401415230101849905,San José State,Mountain West,Wyoming,Mountain West,Wyoming,San José State,0,0,401415230,4014152301,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,6,Pass Reception,Chevan Cordeiro pass complete to Elijah Cooks for 6 yds to the SJSt 31,0.3333748010525683,2022-10-01T23:38:04.000Z,5,Wyoming,2022
401415230101849906,San José State,Mountain West,Wyoming,Mountain West,Wyoming,San José State,0,0,401415230,4014152301,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,69,69,2,4,False,0,Rush,Kairee Robinson run for no gain to the SJSt 31,-0.8681070846083454,2022-10-01T23:38:04.000Z,5,Wyoming,2022
401415230101849907,San José State,Mountain West,Wyoming,Mountain West,Wyoming,San José State,0,0,401415230,4014152301,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,69,69,3,4,False,0,Pass Incompletion,Chevan Cordeiro pass incomplete,-0.43770162015070736,2022-10-01T23:38:04.000Z,5,Wyoming,2022
401415230101865501,San José State,Mountain West,Wyoming,Mountain West,Wyoming,San José State,0,0,401415230,4014152301,1,5,1,"{'minutes': 13, 'seconds': 44}",3,3,69,69,4,4,False,0,Punt,Travis Benham punt for 30 yds,,2022-10-01T23:38:04.000Z,5,Wyoming,2022
401415230101865503,Wyoming,Mountain West,San José State,Mountain West,Wyoming,San José State,0,0,401415230,4014152302,2,1,1,"{'minutes': 13, 'seconds': 44}",3,3,39,61,1,10,False,0,Pass Incompletion,Andrew Peasley pass incomplete,-1.1077677360468863,2022-10-01T23:38:04.000Z,5,Wyoming,2022
401415230101865504,Wyoming,Mountain West,San José State,Mountain West,Wyoming,San José State,0,0,401415230,4014152302,2,2,1,"{'minutes': 13, 'seconds': 44}",3,3,39,61,2,10,False,5,Penalty,"SAN JOSÉ ST Penalty, Offsides (Travis Benham) to the Wyom 44",,2022-10-01T23:38:04.000Z,5,Wyoming,2022
401415230101865505,Wyoming,Mountain West,San José State,Mountain West,Wyoming,San José State,0,0,401415230,4014152302,2,3,1,"{'minutes': 13, 'seconds': 44}",3,3,44,56,2,5,False,2,Rush,Titus Swen run for 2 yds to the Wyom 46,-0.6991340910089860,2022-10-01T23:38:04.000Z,5,Wyoming,2022
401415230101865506,Wyoming,Mountain West,San José State,Mountain West,Wyoming,San José State,0,0,401415230,4014152302,2,4,1,"{'minutes': 13, 'seconds': 44}",3,3,46,54,3,3,False,25,Pass Reception,Jayden Clemons pass complete to Joshua Cobbs for 25 yds to the SJSt 29 for a 1ST down,2.6552236394361404,2022-10-01T23:38:04.000Z,5,Wyoming,2022
401415230101865507,Wyoming,Mountain West,San José State,Mountain West,Wyoming,San José State,0,0,401415230,4014152302,2,5,1,"{'minutes': 13, 'seconds': 44}",3,3,71,29,1,10,False,0,Pass Incompletion,Andrew Peasley pass incomplete,-0.534372502378378,2022-10-01T23:38:04.000Z,5,Wyoming,2022
