player,team,week,year,aqs,qpi,sei,crae,dmi,ppi,adpsr,reer,defense_score
Bishop Davenport,Utah State,1.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Davenport,Utah State,2.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Davenport,Utah State,4.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Davenport,Utah State,5.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Davenport,Utah State,6.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Davenport,Utah State,7.0,2022.0,58.33333333333333,122.2222222222222,462.5,-28.627617471868177,50.0,44.61121923140304,0.0,50.0,48.5890471351606
Bishop Davenport,Utah State,8.0,2022.0,57.00000000000001,121.0,336.3636363636364,34.58478933822492,47.82608695652174,45.45546293536578,-3.03030303030303,20.0,62.329415272440144
Bishop Davenport,Utah State,10.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Davenport,Utah State,11.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Davenport,Utah State,12.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Davenport,Utah State,13.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
