player,team,week,year,aqs,qpi,sei,crae,dmi,ppi,adpsr,reer,defense_score
Cade Klubnik,Clemson,1.0,2022.0,70.83333333333333,229.16666666666663,400.0,-33.333333333333336,100.0,53.46961013867296,7.692307692307692,100.0,58.80271548945677
Cade Klubnik,Clemson,2.0,2022.0,6.25,-6.25,0.0,25.0,0.0,0.0,0.0,0.0,0.0
Cade Klubnik,Clemson,3.0,2022.0,10.0,105.0,350.0,17.063334341838505,100.0,45.29080455717705,0.0,0.0,53.5446818981801
Cade Klubnik,Clemson,4.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cade Klubnik,Clemson,5.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cade Klubnik,Clemson,6.0,2022.0,0.0,0.0,100.0,0.0,0.0,38.267226636580624,0.0,0.0,51.7579426466678
Cade Klubnik,Clemson,7.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cade Klubnik,Clemson,8.0,2022.0,12.5,131.25,1000.0,36.43324539291859,33.33333333333333,49.11238402337281,0.0,50.0,55.78812894299628
Cade Klubnik,Clemson,10.0,2022.0,0.0,0.0,0.0,0.0,0.0,38.65014468509719,0.0,0.0,52.50941632799305
Cade Klubnik,Clemson,11.0,2022.0,0.0,0.0,1300.0,0.0,0.0,53.42347536927652,0.0,0.0,48.90790331083394
Cade Klubnik,Clemson,12.0,2022.0,75.0,187.5,1000.0,0.0,100.0,49.46310356194491,0.0,0.0,48.58655542168222
Cade Klubnik,Clemson,13.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cade Klubnik,Clemson,14.0,2022.0,72.0,313.99999999999994,740.0,-16.000000000000004,100.0,51.696882135324685,12.5,40.0,51.206122337817135
