player,team,week,year,aqs,qpi,sei,crae,dmi,ppi,adpsr,reer,defense_score
Calvin Brownholtz,UTEP,1.0,2022.0,17.857142857142858,175.0,450.0,-5.353208392445241,66.66666666666666,50.82145283963519,-6.666666666666667,0.0,53.88025775239214
Calvin Brownholtz,UTEP,2.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Brownholtz,UTEP,3.0,2022.0,0.0,0.0,0.0,0.0,0.0,49.020095883562526,-12.499999999999998,0.0,53.42864128350092
Calvin Brownholtz,UTEP,4.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Brownholtz,UTEP,5.0,2022.0,0.0,0.0,133.33333333333331,0.0,0.0,57.56988242043631,0.0,0.0,62.734138133402666
Calvin Brownholtz,UTEP,6.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Brownholtz,UTEP,8.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Brownholtz,UTEP,9.0,2022.0,75.0,375.0,0.0,0.0,100.0,65.79088079087552,0.0,0.0,61.51438609984723
Calvin Brownholtz,UTEP,10.0,2022.0,67.5,247.49999999999997,557.1428571428571,-30.000000000000004,100.0,47.05505619422823,5.555555555555555,0.0,50.77903157856892
Calvin Brownholtz,UTEP,12.0,2022.0,25.0,422.22222222222223,600.0,-22.22222222222222,100.0,53.41629213047688,0.0,28.57142857142857,49.79571810225463
Calvin Brownholtz,UTEP,13.0,2022.0,40.476190476190474,240.47619047619045,450.0,-37.003484245864726,100.0,47.74907989277013,3.7037037037037033,25.0,50.08247321201583
