player,team,week,year,aqs,qpi,sei,crae,dmi,ppi,adpsr,reer,defense_score
Donovan Smith,Texas Tech,1.0,2022.0,78.125,373.4375,450.0,-12.5,100.0,0.0,5.0,25.0,0.0
Donovan Smith,Texas Tech,2.0,2022.0,17.796610169491526,175.4237288135593,487.5,15.080554445170812,77.77777777777779,47.686421797514534,0.0,20.0,55.69883813217123
Donovan Smith,Texas Tech,3.0,2022.0,28.676470588235293,173.52941176470588,283.33333333333337,9.341253046370168,68.0,48.37139971599112,0.0,50.0,54.98655341351244
Donovan Smith,Texas Tech,4.0,2022.0,42.727272727272734,167.27272727272725,363.6363636363636,9.266535493455574,89.74358974358975,49.73740620186796,4.918032786885246,18.75,47.32665634085819
Donovan Smith,Texas Tech,5.0,2022.0,47.88961038961039,188.63636363636363,536.3636363636364,15.660311078002875,64.1025641025641,48.00978875310576,6.000000000000001,37.5,54.73395669849009
Donovan Smith,Texas Tech,6.0,2022.0,0.0,0.0,0.0,0.0,0.0,42.51208465108897,0.0,0.0,49.204315974565446
Donovan Smith,Texas Tech,8.0,2022.0,81.25,218.75,300.0,0.0,100.0,53.988193892813605,9.09090909090909,100.0,49.74917139563959
Donovan Smith,Texas Tech,9.0,2022.0,0.0,0.0,0.0,0.0,0.0,41.707272082745135,0.0,0.0,65.51013709838807
Donovan Smith,Texas Tech,10.0,2022.0,0.0,0.0,150.0,0.0,0.0,48.87301909441716,0.0,0.0,59.60266332945224
Donovan Smith,Texas Tech,11.0,2022.0,0.0,0.0,0.0,0.0,0.0,44.56187048514773,0.0,50.0,45.66654105545189
Donovan Smith,Texas Tech,12.0,2022.0,0.0,0.0,100.0,0.0,0.0,49.4570997696101,0.0,100.0,51.4567808953484
Donovan Smith,Texas Tech,13.0,2022.0,50.0,425.0,0.0,0.0,100.0,55.608613602478485,0.0,100.0,47.72205325887106
