player,team,week,year,aqs,qpi,sei,crae,dmi,ppi,adpsr,reer,defense_score
Dylan Morris,Washington,1.0,2022.0,15.0,254.99999999999997,0.0,-19.56452222428394,50.0,46.98343760282203,7.692307692307692,0.0,56.28876010877033
Dylan Morris,Washington,2.0,2022.0,8.333333333333332,133.33333333333331,0.0,-31.706615099673268,100.0,0.0,0.0,0.0,0.0
Dylan Morris,Washington,3.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Morris,Washington,4.0,2022.0,0.0,0.0,-100.0,0.0,0.0,41.915536738232895,0.0,0.0,46.56705948623127
Dylan Morris,Washington,5.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Morris,Washington,6.0,2022.0,25.0,350.0,0.0,5.562208821131143,100.0,62.95369083473879,0.0,0.0,44.72083240458605
Dylan Morris,Washington,7.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Morris,Washington,8.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Morris,Washington,10.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Morris,Washington,11.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Morris,Washington,12.0,2022.0,20.833333333333332,295.8333333333333,800.0,-33.333333333333336,100.0,46.50516413277532,15.384615384615383,50.0,45.3676029610163
Dylan Morris,Washington,13.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
