player,team,week,year,aqs,qpi,sei,crae,dmi,ppi,adpsr,reer,defense_score
Jarrett Guest,Coastal Carolina,1.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Guest,Coastal Carolina,2.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Guest,Coastal Carolina,3.0,2022.0,25.0,825.0,0.0,0.0,100.0,64.70561358503937,11.11111111111111,0.0,53.77763077813577
Jarrett Guest,Coastal Carolina,4.0,2022.0,0.0,0.0,1400.0,0.0,0.0,72.69100420443368,0.0,100.0,47.65970183290148
Jarrett Guest,Coastal Carolina,5.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Guest,Coastal Carolina,6.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Guest,Coastal Carolina,7.0,2022.0,6.25,56.25,600.0,-5.228651893241542,0.0,45.06940572689191,0.0,0.0,67.51322298875937
Jarrett Guest,Coastal Carolina,9.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Guest,Coastal Carolina,10.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Guest,Coastal Carolina,11.0,2022.0,64.58333333333334,354.1666666666667,459.99999999999994,-41.666666666666664,75.0,47.44558426537946,5.0,0.0,51.22704504845984
Jarrett Guest,Coastal Carolina,12.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Guest,Coastal Carolina,13.0,2022.0,37.5,125.0,450.0,-0.9316159747751628,42.857142857142854,45.04356150120459,-3.4482758620689653,0.0,59.50740853210323
Jarrett Guest,Coastal Carolina,14.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
